budget,cap_factor,regime,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,budget_ratio,s_train,s_Q,s_attn,N_cap_active,D_cap_active,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
1e+22,1,capped,5.43315411419,245.591207271,1,2.15470427308,1e+22,8.00600926917e+21,9.00903598609e+20,1.09308713222e+21,1,0.800600926917,0.0900903598609,0.109308713222,False,False,,,,,,,,,
1e+22,2,capped,5.43315429324,245.591199907,1,2.15470427308,1e+22,8.00600929294e+21,9.00903571595e+20,1.09308713546e+21,1,0.800600929294,0.0900903571595,0.109308713546,False,False,,,,,,,,,
1e+22,3,capped,5.43315464592,245.591185401,1,2.15470427308,1e+22,8.00600933976e+21,9.00903518383e+20,1.09308714186e+21,1,0.800600933976,0.0900903518383,0.109308714186,False,False,,,,,,,,,
1e+22,5,capped,5.43315442278,245.591194579,1,2.15470427308,1e+22,8.00600931014e+21,9.0090355205e+20,1.09308713781e+21,1,0.800600931014,0.090090355205,0.109308713781,False,False,,,,,,,,,
1e+22,10,capped,5.4331541407,245.591206181,1,2.15470427308,1e+22,8.00600927269e+21,9.00903594609e+20,1.0930871327e+21,1,0.800600927269,0.0900903594609,0.10930871327,False,False,,,,,,,,,
1e+22,,free,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,1,0.800600932813,0.0900903531598,0.109308714027,,,1.95399252334e-14,True,-3.54436480166e-11,False,False,False,False,False,True
1e+24,1,capped,11.965825,299.893,1,2.09337947149,2.55705744036e+22,2.15308029404e+22,1.10009916845e+21,2.93967229479e+21,0.0255705744036,0.0215308029404,0.00110009916845,0.00293967229479,True,True,,,,,,,,,
1e+24,2,capped,23.93165,599.786,1,2.01709612352,1.00082099277e+23,8.61232117614e+22,2.2001983369e+21,1.17586891792e+22,0.100082099277,0.0861232117614,0.0022001983369,0.0117586891792,True,True,,,,,,,,,
1e+24,3,capped,35.897475,899.679,1,1.97939925133,2.23534574622e+23,1.93777226463e+23,3.30029750535e+21,2.64570506531e+22,0.223534574622,0.193777226463,0.00330029750535,0.0264570506531,True,True,,,,,,,,,
1e+24,5,capped,59.829125,1499.465,1,1.93807287406,6.17262376721e+23,5.38270073509e+23,5.50049584224e+21,7.34918073697e+22,0.617262376721,0.538270073509,0.00550049584224,0.0734918073697,True,True,,,,,,,,,
1e+24,10,capped,48.361092068,2998.93,1,1.91643217539,9.99999999939e+23,8.70189179013e+23,1.10009916845e+22,1.18809829241e+23,0.999999999939,0.870189179013,0.0110009916845,0.118809829241,False,True,,,,,,,,,
1e+24,,free,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,1,0.868065185239,0.0134149814699,0.118519833291,,,1.43796086149e-12,True,-1.31064048503e-11,False,False,False,False,False,True
