experiment_id_b6,N_params_B,D_tokens_B,Q_score,val_loss_b6,experiment_id_b8,val_loss_b8,data_type,loss_diff_b8_minus_b6
N0.70_D0010_Q0.1,0.7,10,0.1,3.1919,N0.7_D0010_Q0.1,0.615,calibrated,-2.5769
N0.70_D0010_Q0.2,0.7,10,0.2,3.1552,N0.7_D0010_Q0.2,0.8685,calibrated,-2.2866999999999997
N0.70_D0010_Q0.3,0.7,10,0.3,3.0155,N0.7_D0010_Q0.3,1.081,calibrated,-1.9344999999999999
N0.70_D0010_Q0.4,0.7,10,0.4,3.0148,N0.7_D0010_Q0.4,1.3192,calibrated,-1.6956000000000002
N0.70_D0010_Q0.6,0.7,10,0.6,2.9615,N0.7_D0010_Q0.6,1.7963,calibrated,-1.1652
N0.70_D0010_Q0.8,0.7,10,0.8,2.8692,N0.7_D0010_Q0.8,2.222,calibrated,-0.6472000000000002
N0.70_D0010_Q0.9,0.7,10,0.9,2.7928,N0.7_D0010_Q0.9,2.5041,calibrated,-0.28869999999999996
N0.70_D0010_Q1.0,0.7,10,1.0,2.8304,N0.7_D0010_Q1.0,2.6504,calibrated,-0.18000000000000016
N0.70_D0050_Q0.1,0.7,50,0.1,2.8444,N0.7_D0050_Q0.1,0.5587,calibrated,-2.2857
N0.70_D0050_Q0.2,0.7,50,0.2,2.8069,N0.7_D0050_Q0.2,0.7563,calibrated,-2.0506
N0.70_D0050_Q0.3,0.7,50,0.3,2.7973,N0.7_D0050_Q0.3,1.0221,calibrated,-1.7752
N0.70_D0050_Q0.4,0.7,50,0.4,2.7324,N0.7_D0050_Q0.4,1.1864,calibrated,-1.5460000000000003
N0.70_D0050_Q0.6,0.7,50,0.6,2.6134,N0.7_D0050_Q0.6,1.6494,calibrated,-0.964
N0.70_D0050_Q0.8,0.7,50,0.8,2.6409,N0.7_D0050_Q0.8,2.0562,calibrated,-0.5846999999999998
N0.70_D0050_Q0.9,0.7,50,0.9,2.5496,N0.7_D0050_Q0.9,2.294,calibrated,-0.2555999999999998
N0.70_D0050_Q1.0,0.7,50,1.0,2.5581,N0.7_D0050_Q1.0,2.492,calibrated,-0.06610000000000005
N0.70_D0150_Q0.1,0.7,150,0.1,2.7893,N0.7_D0150_Q0.1,0.5295,calibrated,-2.2598
N0.70_D0150_Q0.2,0.7,150,0.2,2.6375,N0.7_D0150_Q0.2,0.7452,calibrated,-1.8923
N0.70_D0150_Q0.3,0.7,150,0.3,2.6856,N0.7_D0150_Q0.3,0.9382,calibrated,-1.7473999999999998
N0.70_D0150_Q0.4,0.7,150,0.4,2.5991,N0.7_D0150_Q0.4,1.1468,calibrated,-1.4523
N0.70_D0150_Q0.6,0.7,150,0.6,2.5608,N0.7_D0150_Q0.6,1.5755,calibrated,-0.9853000000000001
N0.70_D0150_Q0.8,0.7,150,0.8,2.5043,N0.7_D0150_Q0.8,2.0079,calibrated,-0.4964000000000004
N0.70_D0150_Q0.9,0.7,150,0.9,2.4035,N0.7_D0150_Q0.9,2.2463,calibrated,-0.1572
N0.70_D0150_Q1.0,0.7,150,1.0,2.3542,N0.7_D0150_Q1.0,2.3563,calibrated,0.0020999999999999908
N0.70_D0300_Q0.1,0.7,300,0.1,2.6722,N0.7_D0300_Q0.1,0.5247,calibrated,-2.1475
N0.70_D0300_Q0.2,0.7,300,0.2,2.6214,N0.7_D0300_Q0.2,0.7291,calibrated,-1.8923
N0.70_D0300_Q0.3,0.7,300,0.3,2.5759,N0.7_D0300_Q0.3,0.9233,calibrated,-1.6525999999999998
N0.70_D0300_Q0.4,0.7,300,0.4,2.5792,N0.7_D0300_Q0.4,1.1189,calibrated,-1.4603000000000002
N0.70_D0300_Q0.6,0.7,300,0.6,2.4842,N0.7_D0300_Q0.6,1.5399,calibrated,-0.9442999999999999
N0.70_D0300_Q0.8,0.7,300,0.8,2.4416,N0.7_D0300_Q0.8,1.9103,calibrated,-0.5313000000000001
N0.70_D0300_Q0.9,0.7,300,0.9,2.4128,N0.7_D0300_Q0.9,2.1926,calibrated,-0.22019999999999973
N0.70_D0300_Q1.0,0.7,300,1.0,2.3149,N0.7_D0300_Q1.0,2.3162,calibrated,0.0012999999999996348
N1.00_D0010_Q0.1,1.0,10,0.1,3.0483,N1.0_D0010_Q0.1,0.5575,calibrated,-2.4907999999999997
N1.00_D0010_Q0.2,1.0,10,0.2,2.968,N1.0_D0010_Q0.2,0.7909,calibrated,-2.1771
N1.00_D0010_Q0.3,1.0,10,0.3,2.8948,N1.0_D0010_Q0.3,1.009,calibrated,-1.8858000000000001
N1.00_D0010_Q0.4,1.0,10,0.4,2.8223,N1.0_D0010_Q0.4,1.2421,calibrated,-1.5801999999999998
N1.00_D0010_Q0.6,1.0,10,0.6,2.8442,N1.0_D0010_Q0.6,1.7308,calibrated,-1.1134
N1.00_D0010_Q0.8,1.0,10,0.8,2.7546,N1.0_D0010_Q0.8,2.1998,calibrated,-0.5547999999999997
N1.00_D0010_Q0.9,1.0,10,0.9,2.7505,N1.0_D0010_Q0.9,2.4605,calibrated,-0.29000000000000004
N1.00_D0010_Q1.0,1.0,10,1.0,2.6827,N1.0_D0010_Q1.0,2.6513,calibrated,-0.031400000000000095
N1.00_D0050_Q0.1,1.0,50,0.1,2.8264,N1.0_D0050_Q0.1,0.5001,calibrated,-2.3263
N1.00_D0050_Q0.2,1.0,50,0.2,2.8076,N1.0_D0050_Q0.2,0.7393,calibrated,-2.0683
N1.00_D0050_Q0.3,1.0,50,0.3,2.6823,N1.0_D0050_Q0.3,0.948,calibrated,-1.7343000000000002
N1.00_D0050_Q0.4,1.0,50,0.4,2.6528,N1.0_D0050_Q0.4,1.1772,calibrated,-1.4756
N1.00_D0050_Q0.6,1.0,50,0.6,2.6707,N1.0_D0050_Q0.6,1.5703,calibrated,-1.1004
N1.00_D0050_Q0.8,1.0,50,0.8,2.4922,N1.0_D0050_Q0.8,2.0222,calibrated,-0.46999999999999975
N1.00_D0050_Q0.9,1.0,50,0.9,2.5805,N1.0_D0050_Q0.9,2.24,calibrated,-0.3404999999999996
N1.00_D0050_Q1.0,1.0,50,1.0,2.5615,N1.0_D0050_Q1.0,2.4688,calibrated,-0.09270000000000023
N1.00_D0150_Q0.1,1.0,150,0.1,2.6482,N1.0_D0150_Q0.1,0.5,calibrated,-2.1482
N1.00_D0150_Q0.2,1.0,150,0.2,2.6343,N1.0_D0150_Q0.2,0.692,calibrated,-1.9423000000000001
N1.00_D0150_Q0.3,1.0,150,0.3,2.6133,N1.0_D0150_Q0.3,0.898,calibrated,-1.7153
N1.00_D0150_Q0.4,1.0,150,0.4,2.5016,N1.0_D0150_Q0.4,1.1376,calibrated,-1.3639999999999999
N1.00_D0150_Q0.6,1.0,150,0.6,2.5859,N1.0_D0150_Q0.6,1.5017,calibrated,-1.0842
N1.00_D0150_Q0.8,1.0,150,0.8,2.3211,N1.0_D0150_Q0.8,1.9303,calibrated,-0.39080000000000004
N1.00_D0150_Q0.9,1.0,150,0.9,2.3833,N1.0_D0150_Q0.9,2.1019,calibrated,-0.2814000000000001
N1.00_D0150_Q1.0,1.0,150,1.0,2.334,N1.0_D0150_Q1.0,2.2789,calibrated,-0.05509999999999993
N1.00_D0300_Q0.1,1.0,300,0.1,2.6943,N1.0_D0300_Q0.1,0.5,calibrated,-2.1943
N1.00_D0300_Q0.2,1.0,300,0.2,2.5728,N1.0_D0300_Q0.2,0.6746,calibrated,-1.8982
N1.00_D0300_Q0.3,1.0,300,0.3,2.4688,N1.0_D0300_Q0.3,0.8578,calibrated,-1.6109999999999998
N1.00_D0300_Q0.4,1.0,300,0.4,2.5249,N1.0_D0300_Q0.4,1.1116,calibrated,-1.4133000000000002
N1.00_D0300_Q0.6,1.0,300,0.6,2.4469,N1.0_D0300_Q0.6,1.5153,calibrated,-0.9315999999999998
N1.00_D0300_Q0.8,1.0,300,0.8,2.4239,N1.0_D0300_Q0.8,2.0053,calibrated,-0.4186000000000001
N1.00_D0300_Q0.9,1.0,300,0.9,2.2509,N1.0_D0300_Q0.9,2.0139,calibrated,-0.2370000000000001
N1.00_D0300_Q1.0,1.0,300,1.0,2.342,N1.0_D0300_Q1.0,2.3325,calibrated,-0.009500000000000064
N2.80_D0010_Q0.1,2.8,10,0.1,2.9592,N2.8_D0010_Q0.1,0.5,calibrated,-2.4592
N2.80_D0010_Q0.2,2.8,10,0.2,2.8431,N2.8_D0010_Q0.2,0.6187,calibrated,-2.2244
N2.80_D0010_Q0.3,2.8,10,0.3,2.8867,N2.8_D0010_Q0.3,0.8552,calibrated,-2.0315
N2.80_D0010_Q0.4,2.8,10,0.4,2.771,N2.8_D0010_Q0.4,1.1197,calibrated,-1.6513
