source,N_params_B,D_tokens_B,n_q,loss_vs_q_slope,loss_q_spearman
B6,0.07,10,8,-0.6164021909233178,-0.9761904761904763
B6,0.07,50,8,-0.5252832550860718,-0.9761904761904763
B6,0.07,150,8,-0.5503896713615022,-0.9523809523809524
B6,0.07,300,8,-0.5205790297339592,-0.880952380952381
B6,0.07,600,8,-0.5176009389671362,-0.9761904761904763
B6,0.16,10,8,-0.5259968701095461,-0.9285714285714287
B6,0.16,50,8,-0.5388982785602501,-0.9523809523809524
B6,0.16,150,8,-0.47709702660406866,-0.9761904761904763
B6,0.16,300,8,-0.427909233176839,-0.9761904761904763
B6,0.16,600,8,-0.459904538341158,-1.0
B6,0.41,10,8,-0.39212832550860716,-0.9285714285714287
B6,0.41,50,8,-0.45459154929577467,-0.9761904761904763
B6,0.41,150,8,-0.47659937402190905,-0.9761904761904763
B6,0.41,300,8,-0.4696494522691705,-0.9047619047619048
B6,0.41,600,8,-0.32493583724569625,-0.9761904761904763
B6,0.7,10,8,-0.4160798122065724,-0.9761904761904763
B6,0.7,50,8,-0.3353896713615024,-0.9523809523809524
B6,0.7,150,8,-0.41084976525821576,-0.9761904761904763
B6,0.7,300,8,-0.348998435054773,-0.9761904761904763
B6,0.7,600,8,-0.35718309859154934,-0.9523809523809524
B6,1.0,10,8,-0.3408607198748041,-0.9761904761904763
B6,1.0,50,8,-0.30632237871674495,-0.9047619047619048
B6,1.0,150,8,-0.373037558685446,-0.9047619047619048
B6,1.0,300,8,-0.36589514866979644,-0.9523809523809524
B6,1.0,600,8,-0.3016744913928011,-0.9523809523809524
B6,2.8,10,8,-0.438211267605634,-0.9761904761904763
B6,2.8,50,8,-0.3058701095461658,-0.7142857142857144
B6,2.8,150,8,-0.26665258215962445,-0.8095238095238096
B6,2.8,300,8,-0.28451799687010965,-0.9047619047619048
B6,2.8,600,8,-0.3085086071987481,-0.9761904761904763
B6,4.0,10,8,-0.3583677621283256,-0.880952380952381
B6,4.0,50,8,-0.25000782472613475,-0.8571428571428572
B6,4.0,150,8,-0.3135117370892019,-1.0
B6,4.0,300,8,-0.2539374021909235,-0.9047619047619048
B6,4.0,600,8,-0.20490297339593108,-0.5952380952380953
B6,6.9,10,8,-0.29355086071987485,-0.8333333333333335
B6,6.9,50,8,-0.30266979655712073,-0.880952380952381
B6,6.9,150,8,-0.2117683881064163,-0.7380952380952381
B6,6.9,300,8,-0.28190453834115825,-0.9047619047619048
B6,6.9,600,8,-0.2252363067292647,-0.8571428571428572
