scale,version,repetition,calibration_rows,calibrated_slope,intercept_only_rmse,affine_rmse,gain
1m,v1,0,64,1.0687330562169344,0.22634167530770258,0.22779928430772592,-0.001457609000023341
1m,v1,1,64,0.9058161802661966,0.2434720737714324,0.24296657997309426,0.0005054937983381413
1m,v1,2,64,0.7240366639535816,0.2423904640694899,0.24490091510892414,-0.0025104510394342305
1m,v1,3,64,0.8896570799434603,0.24029111542346404,0.23977235784679643,0.0005187575766676111
1m,v1,4,64,1.0244149653315453,0.23907437416510346,0.23944589666003377,-0.0003715224949303042
1m,v1,5,64,0.7671587473492057,0.24281449531410382,0.24416318933965953,-0.0013486940255557078
1m,v1,6,64,0.7108339314602317,0.2420611651733709,0.24531691407200165,-0.003255748898630756
1m,v1,7,64,1.0532545148986983,0.2284077924964583,0.22946412033828564,-0.0010563278418273536
1m,v1,8,64,0.8741649628337151,0.2424277857853059,0.2429462405727886,-0.0005184547874826917
1m,v1,9,64,0.9385382367727994,0.2398959924096055,0.23929300336158657,0.0006029890480189204
1m,v1,10,64,0.9460498178722305,0.24399427573415347,0.24338601158634937,0.0006082641478040995
1m,v1,11,64,0.7989000895724396,0.24418398757720972,0.24497183097826145,-0.0007878434010517299
1m,v1,12,64,1.080498532321662,0.24103832638952125,0.24271969008842117,-0.0016813636988999292
1m,v1,13,64,0.9287398188599624,0.2410355648812055,0.24033846182240604,0.0006971030587994698
1m,v1,14,64,1.1551147412089904,0.2456624693432917,0.24981445886402706,-0.004151989520735366
1m,v1,15,64,0.7725682571240985,0.24094941507172535,0.24289280348657816,-0.0019433884148528091
1m,v1,16,64,0.6854991348349643,0.22636650973348965,0.23406355114768534,-0.007697041414195693
1m,v1,17,64,0.6954938934525188,0.25086362802746237,0.25494800127672695,-0.0040843732492645834
1m,v1,18,64,0.9766823641240757,0.23297578503643854,0.2327537825098893,0.00022200252654924757
1m,v1,19,64,1.1078541868916727,0.2416068818139087,0.244095741598376,-0.002488859784467279
1m,v2,0,64,0.9366813206594502,0.19360470842613103,0.18997611024336095,0.0036285981827700875
1m,v2,1,64,0.742868646239595,0.19746294075711157,0.19533031662677833,0.002132624130333244
1m,v2,2,64,0.8224016233584943,0.20592778365090017,0.200961242589751,0.00496654106114916
1m,v2,3,64,0.9023337763717953,0.2020557010225678,0.1974043591330406,0.004651341889527205
1m,v2,4,64,0.8226627887395004,0.1990036593065991,0.19464846634139987,0.004355192965199234
1m,v2,5,64,0.6983657427558754,0.19682945263098878,0.19742972467916214,-0.000600272048173367
1m,v2,6,64,0.8220074244633007,0.20678731486771768,0.20215786115677722,0.004629453710940451
1m,v2,7,64,0.9792534997878583,0.20046217277414327,0.19904393099565132,0.001418241778491952
1m,v2,8,64,0.7668731126659024,0.20607101304100647,0.2054219607789511,0.0006490522620553607
1m,v2,9,64,1.0121358896973922,0.19818611561225385,0.19906389949779713,-0.0008777838855432707
1m,v2,10,64,0.8023510152469276,0.19659072950296771,0.19249425542114182,0.004096474081825896
1m,v2,11,64,0.7604632130611281,0.203386880916628,0.19979887941589708,0.0035880015007309085
1m,v2,12,64,0.8933229005048207,0.20471592648084272,0.2001759182397044,0.004540008241138316
1m,v2,13,64,0.8581577528408859,0.20713408824124319,0.20238527639557688,0.004748811845666306
1m,v2,14,64,0.9518658935119233,0.21174459320001582,0.20903673734012082,0.0027078558598949976
1m,v2,15,64,0.7624233143058164,0.20454390973227363,0.20293160673975572,0.001612302992517911
1m,v2,16,64,0.857076522570573,0.19427184895975208,0.19118490885276992,0.0030869401069821556
1m,v2,17,64,0.6488797612645112,0.2026665699318949,0.2085222639758637,-0.0058556940439687954
1m,v2,18,64,0.9157533859016692,0.20055718725727614,0.1967115241092556,0.0038456631480205394
1m,v2,19,64,0.8791070755805579,0.20336312126596987,0.19852437965666705,0.00483874160930281
60m,v1,0,64,0.6688538111359084,0.20364278209252024,0.1958781076920534,0.0077646744004668256
60m,v1,1,64,0.6355452550189288,0.20620136797648406,0.19853313239370723,0.007668235582776822
60m,v1,2,64,0.6068319973868181,0.199996708881445,0.1938672802335659,0.006129428647879104
60m,v1,3,64,0.6162303571739098,0.20307095008137363,0.19543849267774635,0.00763245740362728
60m,v1,4,64,0.4523861747693193,0.20450947111417098,0.20481338194958656,-0.0003039108354155884
60m,v1,5,64,0.6963082194469411,0.20148405980939002,0.1922284037058443,0.009255656103545729
60m,v1,6,64,0.9023970788740058,0.20701639516666545,0.20215173393018754,0.004864661236477913
60m,v1,7,64,0.7056474914016555,0.21255156399800154,0.20301731177114327,0.009534252226858275
60m,v1,8,64,0.6727627854252474,0.19654319240210283,0.189416041122757,0.0071271512793458225
60m,v1,9,64,0.5408203775909481,0.20012792247573238,0.19629456846164667,0.003833354014085716
60m,v1,10,64,0.9189607526556892,0.20474120307076274,0.20018873620949848,0.004552466861264259
60m,v1,11,64,0.8886725907398967,0.2012269270904732,0.19616144379583061,0.005065483294642598
60m,v1,12,64,0.6596528386922383,0.20304005311288842,0.1956437499551168,0.007396303157771622
60m,v1,13,64,0.8978948377580386,0.19027789961948333,0.18507064019789174,0.005207259421591587
60m,v1,14,64,0.8073881969853497,0.19498691964554882,0.1880090567064736,0.006977862939075208
60m,v1,15,64,0.6825513879114399,0.20699195791747593,0.19978485517674333,0.007207102740732607
