dataset,status,model,n_mixtures,rmse,mae,bias,domain_spearman_mean,mixture_mean_spearman,centered_mean_rmse
train_nested_oof,observed_train_oof,v2,512,0.3340097260320916,0.22438318061913756,-0.00020456527896487649,0.9243789617066024,0.6314280278321374,0.2578838989014653
train_nested_oof,observed_train_oof,additive_clr_spline,512,0.25221883135504797,0.17067573999842944,0.0019130535892678915,0.9590381724089816,0.9191464677675925,0.13775765693835
train_nested_oof,observed_train_oof,lowrank_ilr_quadratic,512,0.36758326147795517,0.2510148809790772,-0.00838775174409816,0.9060942662240427,0.5791074969100835,0.2744154861784497
test_1m,observed,v2,256,0.2701792457048059,0.18895674382142044,0.04636179268008989,0.9452244396711093,0.7152845330739298,0.19763777117687883
test_1m,observed,additive_clr_spline,256,0.20817256438217724,0.14672020583755047,0.011795994031651965,0.9645873681708539,0.9288774605172807,0.1077107774201288
test_1m,observed,lowrank_ilr_quadratic,256,0.2962558370441398,0.21412539430562127,0.04605885029446425,0.9214403929785023,0.654002632181277,0.2202431614784744
test_60m,observed,v2,256,1.5959032456361935,1.5086601993763016,1.50573258136836,0.9408450270260752,0.6822950045777064,0.18701522098183748
test_60m,observed,additive_clr_spline,256,1.5614059700293539,1.4728440418144413,1.471166782719922,0.9605314761343026,0.8932142652780954,0.13472049393352947
test_60m,observed,lowrank_ilr_quadratic,256,1.599619494034776,1.5085400438614633,1.5054296389827342,0.9157819735197279,0.6137338349736782,0.20839060172846818
test_1B,observed,v2,64,2.702111047518439,2.620239559032141,2.618575902709615,0.8766659622428852,0.5666666666666665,0.1294972875593735
test_1B,observed,additive_clr_spline,64,2.7357058924478177,2.6575223605700535,2.6574671932619287,0.8768843336151028,0.6630036630036629,0.1444374903774667
test_1B,observed,lowrank_ilr_quadratic,64,2.788291683778672,2.7052818073427387,2.704502493755441,0.7970519864750633,0.28937728937728935,0.14131448128367793
est_10b,estimated_label,v2,63,3.6212152419184935,3.558920289376837,3.558920289376837,0.6327508658580455,-0.6062307987711214,0.3328318331643779
est_10b,estimated_label,additive_clr_spline,63,3.639506102613519,3.5664662564717777,3.5664662564717777,0.5330609588385629,-0.728878648233487,0.4025203461513092
est_10b,estimated_label,lowrank_ilr_quadratic,63,3.632768501660937,3.5733286732690783,3.5733286732690783,0.646961669537397,-0.4961597542242704,0.3133912204453375
est_70b,estimated_label,v2,63,4.008987833388895,3.9418333540899013,3.9418333540899013,0.553628829142216,-0.6796274961597543,0.3453542286161753
est_70b,estimated_label,additive_clr_spline,63,4.026818912221916,3.9493793211848427,3.9493793211848427,0.4445155880195243,-0.799347158218126,0.41580316302851955
est_70b,estimated_label,lowrank_ilr_quadratic,63,4.020379930164509,3.956241737982143,3.956241737982143,0.5715875753439974,-0.5657162058371735,0.3250067465363171
