outer_fold,model,n_mixtures,rmse,mae,bias,domain_spearman_mean,mixture_mean_spearman,centered_mean_rmse,selected_spec
1,v2,103,0.3044283891040219,0.2110689823500033,0.04300107752856678,0.9269022942088883,0.6586456091024909,0.2212858740497951,
1,additive_clr_spline,103,0.2645017709211736,0.1814843581013195,0.015090517932155764,0.947705284216289,0.835390765716294,0.15806287570885988,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}"
1,lowrank_ilr_quadratic,103,0.35359475375596244,0.24614329301326074,0.033551155051487265,0.9016724171141429,0.5912225980758249,0.25427103797590783,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}"
2,v2,103,0.3795829521911419,0.25136619526706416,-0.06103873399711824,0.9030900347730291,0.6267627289900277,0.29731427588139214,
2,additive_clr_spline,103,0.27006277255945804,0.1786311038064168,-0.02457459490734533,0.955747180816372,0.9443394983086589,0.1457666371242033,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}"
2,lowrank_ilr_quadratic,103,0.4376342310061626,0.29627484548054,-0.06596636332071906,0.8745754750455361,0.4977046083556649,0.3303678464534785,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}"
3,v2,102,0.31078860756798715,0.211556917869836,0.03950804900280953,0.9202335908150407,0.6566601263210273,0.23569423844340015,
3,additive_clr_spline,102,0.234472383413778,0.16251840272334114,0.0039214249814928685,0.9546537002248308,0.914334665905197,0.12533221717363188,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}"
3,lowrank_ilr_quadratic,102,0.31555906259862965,0.22236344613379883,0.028040296371806137,0.9207720710567739,0.6640561828884203,0.23625372404804196,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}"
4,v2,102,0.3593595563742431,0.23128745358164615,-0.020659412351653538,0.9166182048947769,0.5702031653765034,0.28083352296520114,
4,additive_clr_spline,102,0.2550276369439902,0.1667080936955079,-0.0009471149462448084,0.9598071040245526,0.9328021894136872,0.1409555354483504,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}"
4,lowrank_ilr_quadratic,102,0.382511916139256,0.2551753294486557,-0.02529322357290275,0.9033371421313814,0.5713453698311008,0.2776545308641798,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}"
5,v2,102,0.3085289276717185,0.2165023460234245,-0.0016609778920306608,0.9320036032070457,0.6508133965880883,0.23038153401041886,
5,additive_clr_spline,102,0.23453490158635537,0.16385278105859238,0.016205526887788063,0.9615791302804664,0.9355955012977026,0.10906871794613598,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}"
5,lowrank_ilr_quadratic,102,0.3356893116261867,0.23472152634329116,-0.012117292811132628,0.9134151608720595,0.589812893339591,0.2506726847782115,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}"
