dataset,model,n,v2_minus_candidate_rmse,ci_low,ci_high
train_nested_oof,additive_clr_spline,512,0.0817908946770437,0.0652777260863963,0.09731491847292098
train_nested_oof,lowrank_ilr_quadratic,512,-0.0335735354458635,-0.044247032422637285,-0.022301460973340067
test_1m,additive_clr_spline,256,0.062006681322628654,0.044716112982851546,0.07889523119283477
test_1m,lowrank_ilr_quadratic,256,-0.026076591339333932,-0.03785021196069168,-0.014084693532257737
test_60m,additive_clr_spline,256,0.03449727560684024,0.007644393574143838,0.06123586030038482
test_60m,lowrank_ilr_quadratic,256,-0.0037162483985824224,-0.01773549770852833,0.010501220830741885
test_1B,additive_clr_spline,64,-0.03359484492937881,-0.061259034306654456,-0.007335164226646038
test_1B,lowrank_ilr_quadratic,64,-0.08618063626023309,-0.10759027615324886,-0.0641128722427321
est_10b,additive_clr_spline,63,-0.01829086069502539,-0.059787944512693224,0.02070750211613118
est_10b,lowrank_ilr_quadratic,63,-0.011553259742442812,-0.0373961615342691,0.013558786343935985
est_70b,additive_clr_spline,63,-0.017831078833021152,-0.05903063180586521,0.021496202032224437
est_70b,lowrank_ilr_quadratic,63,-0.011392096775614036,-0.03592360909700969,0.012960185495261256
