dataset,model,validation_domain,n,rmse,bias,spearman
test_1m,v2,arxiv,256,0.30458787773706575,0.09418331666745369,0.9402537766079192
test_1m,v2,freelaw,256,0.20848865703982952,0.03850010960468838,0.9660048065918974
test_1m,v2,pubmed_central,256,0.2528186648885988,0.061919242449578096,0.9576891165026321
test_1m,v2,wikipedia_en,256,0.15459963111101882,0.031703756315392725,0.966869563973449
test_1m,v2,dm_mathematics,256,0.5721194943838119,0.03670778561564131,0.8928473334859234
test_1m,v2,github,256,0.3107365185395603,0.08393591854071525,0.9531929503318836
test_1m,v2,stackexchange,256,0.22763485492132549,0.05804625695847013,0.9573851281757838
test_1m,v2,gutenberg_pg_19,256,0.14853525940332585,0.020666621824239315,0.9596282043945981
test_1m,v2,pile_cc,256,0.11013549945522644,0.02146845447840302,0.9533302815289539
test_1m,v2,ubuntu_irc,256,0.3802178908628179,0.0818606756740739,0.8888790341039137
test_1m,v2,hackernews,256,0.13696120517389612,0.019103094106079063,0.9254835202563515
test_1m,v2,pubmed_abstracts,256,0.18161106263335236,0.03637480811338788,0.959977254520485
test_1m,v2,uspto_backgrounds,256,0.13676414389601343,0.018233264493045923,0.9663767452506292
test_1m,additive_clr_spline,arxiv,256,0.2991537040517508,0.0666311596482343,0.9583078221560997
test_1m,additive_clr_spline,freelaw,256,0.14404475838988154,0.0049545058182968,0.9860909246967268
test_1m,additive_clr_spline,pubmed_central,256,0.15655389608630446,0.04004562161368192,0.9792272259098189
test_1m,additive_clr_spline,wikipedia_en,256,0.12793539607999335,0.0015492500198725397,0.9825124456397344
test_1m,additive_clr_spline,dm_mathematics,256,0.3518166531572163,-0.02328384776982768,0.9224371995880062
test_1m,additive_clr_spline,github,256,0.31066477621639854,0.014238847890074256,0.9555855172808422
test_1m,additive_clr_spline,stackexchange,256,0.24459956822711443,0.003778901089109544,0.9581061169604027
test_1m,additive_clr_spline,gutenberg_pg_19,256,0.13399737417934257,0.0022646886501715216,0.9689509899290454
test_1m,additive_clr_spline,pile_cc,256,0.08546142592389572,0.0036636152409674667,0.970666199359121
test_1m,additive_clr_spline,ubuntu_irc,256,0.22754156056417021,0.03145591862573381,0.9515642881666284
test_1m,additive_clr_spline,hackernews,256,0.09748158591274002,0.0007102419272425678,0.9706247138933393
test_1m,additive_clr_spline,pubmed_abstracts,256,0.18457304234952565,0.00021586495040198245,0.9623419260700388
test_1m,additive_clr_spline,uspto_backgrounds,256,0.10736249781985702,0.007123154707516552,0.9732204165712977
test_1m,lowrank_ilr_quadratic,arxiv,256,0.31923123600483183,0.08020583862879885,0.9365494106202791
test_1m,lowrank_ilr_quadratic,freelaw,256,0.23155050636757352,0.03868218962606579,0.9562786106660561
test_1m,lowrank_ilr_quadratic,pubmed_central,256,0.2780075498627128,0.060153321383914785,0.9509977969787136
test_1m,lowrank_ilr_quadratic,wikipedia_en,256,0.1763956117723567,0.03256414713654516,0.9569688429846646
test_1m,lowrank_ilr_quadratic,dm_mathematics,256,0.5925854110093922,0.023600364256260713,0.8952477683680474
test_1m,lowrank_ilr_quadratic,github,256,0.3508892398716414,0.0829516819774191,0.938493505378805
test_1m,lowrank_ilr_quadratic,stackexchange,256,0.26335159865679314,0.06234769663011171,0.9427665083543143
test_1m,lowrank_ilr_quadratic,gutenberg_pg_19,256,0.16673996821888482,0.028084372423967576,0.9450324731059736
test_1m,lowrank_ilr_quadratic,pile_cc,256,0.133887992424779,0.02442175161728919,0.922187571526665
test_1m,lowrank_ilr_quadratic,ubuntu_irc,256,0.4118032031577513,0.08545678448224668,0.873647430762188
test_1m,lowrank_ilr_quadratic,hackernews,256,0.21621882057201405,0.022486539664156317,0.7589386873426412
test_1m,lowrank_ilr_quadratic,pubmed_abstracts,256,0.21598790951067262,0.03415155617356795,0.945736295490959
test_1m,lowrank_ilr_quadratic,uspto_backgrounds,256,0.1571741280093165,0.023658809827691477,0.9558802071412221
test_60m,v2,arxiv,256,1.7288176448361698,1.6877827525407834,0.940248054474708
test_60m,v2,freelaw,256,1.3966730555924785,1.3815467058784683,0.9639090753032731
test_60m,v2,pubmed_central,256,1.7529498521962368,1.7257499483679497,0.9529933909361409
test_60m,v2,wikipedia_en,256,1.3923967374658208,1.3840146745869344,0.961282616159304
test_60m,v2,dm_mathematics,256,1.5658683899041175,1.3377438780683462,0.896289196612497
test_60m,v2,github,256,2.5531254801579184,2.5235406041825406,0.9511365587090866
test_60m,v2,stackexchange,256,1.6983554787957442,1.6812033921694014,0.954358834973678
test_60m,v2,gutenberg_pg_19,256,0.9993788384954307,0.9895264452448831,0.9557550354772256
test_60m,v2,pile_cc,256,1.0926087414860033,1.0863713207376202,0.9429388876173036
test_60m,v2,ubuntu_irc,256,2.0502989940523166,2.008312074665122,0.8831111238269626
test_60m,v2,hackernews,256,1.0045465954739012,0.9954471076927194,0.9156314373998626
test_60m,v2,pubmed_abstracts,256,1.3901905326561275,1.3786381937668837,0.9572148947127487
test_60m,v2,uspto_backgrounds,256,1.4020909160299089,1.3946464598870254,0.9561162451361865
test_60m,additive_clr_spline,arxiv,256,1.7034671079027612,1.660230595521564,0.9644362268253603
test_60m,additive_clr_spline,freelaw,256,1.3593187585722604,1.3480011020920768,0.9846560997940029
test_60m,additive_clr_spline,pubmed_central,256,1.7348097323636538,1.7038763275320536,0.9719486724650949
test_60m,additive_clr_spline,wikipedia_en,256,1.3604465132018382,1.3538601682914142,0.9794210631723504
test_60m,additive_clr_spline,dm_mathematics,256,1.5356662568505772,1.277752244682877,0.918945267795834
test_60m,additive_clr_spline,github,256,2.485933968390557,2.4538435335318995,0.9513840409704736
test_60m,additive_clr_spline,stackexchange,256,1.6490794584218806,1.626936036300041,0.957236352712291
test_60m,additive_clr_spline,gutenberg_pg_19,256,0.9806737362559168,0.9711245120708153,0.9642652780956739
test_60m,additive_clr_spline,pile_cc,256,1.072591058870558,1.0685664815001845,0.9626451991302356
test_60m,additive_clr_spline,ubuntu_irc,256,1.9956986294962853,1.9579073176167823,0.9355365930418859
test_60m,additive_clr_spline,hackernews,256,0.9832467383611735,0.9770542555138829,0.9634598878461887
test_60m,additive_clr_spline,pubmed_abstracts,256,1.3545659902794194,1.3424792506038976,0.9627868219272144
test_60m,additive_clr_spline,uspto_backgrounds,256,1.3891415657169996,1.3835363501014961,0.9701876859693291
test_60m,lowrank_ilr_quadratic,arxiv,256,1.7189404064993943,1.6738052745021283,0.9354328793774318
test_60m,lowrank_ilr_quadratic,freelaw,256,1.4021865606007218,1.3817287858998457,0.9518847276264589
test_60m,lowrank_ilr_quadratic,pubmed_central,256,1.7571577993963168,1.7239840273022866,0.9442571240558478
