dataset,model,n,candidate_minus_v2_mean_spearman,ci_low,ci_high
train_nested_oof,additive_clr_spline,512,0.2877184399354551,0.2350842446521441,0.34733647808915497
train_nested_oof,lowrank_ilr_quadratic,512,-0.05232053092205391,-0.09533853307866283,-0.011530123174786501
test_1m,additive_clr_spline,256,0.2135929274433509,0.15253874189327804,0.28358317146000656
test_1m,lowrank_ilr_quadratic,256,-0.06128190089265284,-0.10791609971114278,-0.014002876625998865
test_60m,additive_clr_spline,256,0.21091926070038902,0.14250823109183527,0.287131465877088
test_60m,lowrank_ilr_quadratic,256,-0.06856116960402825,-0.11769951569902795,-0.021379550718209156
test_1B,additive_clr_spline,64,0.09633699633699633,-0.05138723858022429,0.26574359115208074
test_1B,lowrank_ilr_quadratic,64,-0.2772893772893772,-0.44310677334087806,-0.12204451800780006
est_10b,additive_clr_spline,63,-0.12264784946236562,-0.2586009731859488,0.001986688156258312
est_10b,lowrank_ilr_quadratic,63,0.11007104454685102,0.02609243102997981,0.21019133911642462
est_70b,additive_clr_spline,63,-0.1197196620583717,-0.24768158265674245,-0.005710206805705876
est_70b,lowrank_ilr_quadratic,63,0.11391129032258074,0.03191284877117159,0.21575200515216034
