protocol,model,calibration_rows,calibration_ND_cells,calibration_N_groups,calibration_Q_levels,heldout_rows,heldout_ND_cells,heldout_N_groups,heldout_Q_levels,rmse,mae,alpha,calibration_group_cv_rmse
ND_cells_disjoint,zero_shot_Model_C,200,30,15,12,1280,120,15,12,1.33505300458,1.10618785375,,
ND_cells_disjoint,source_intercept,200,30,15,12,1280,120,15,12,0.751672393289,0.661265802261,,
ND_cells_disjoint,source_Q_only,200,30,15,12,1280,120,15,12,0.1901104968,0.132535920525,0.01,0.214024505315
ND_cells_disjoint,source_Q_N_D_main,200,30,15,12,1280,120,15,12,0.163640684508,0.133198741526,0.1,0.182321059883
ND_cells_disjoint,source_Q_interactions,200,30,15,12,1280,120,15,12,0.133570642789,0.105784305931,0.001,0.149060991971
one_ND_cell_per_N,zero_shot_Model_C,100,15,15,12,1380,135,15,12,1.32908420191,1.10066307602,,
one_ND_cell_per_N,source_intercept,100,15,15,12,1380,135,15,12,0.760758799949,0.66146828035,,
one_ND_cell_per_N,source_Q_only,100,15,15,12,1380,135,15,12,0.238699064628,0.163834649735,0.1,0.162587348107
one_ND_cell_per_N,source_Q_N_D_main,100,15,15,12,1380,135,15,12,0.239097920146,0.165488639303,0.1,0.162811214135
one_ND_cell_per_N,source_Q_interactions,100,15,15,12,1380,135,15,12,0.755008730165,0.5696180259,0.001,0.149627416935
one_ND_cell_per_N_Q_disjoint,zero_shot_Model_C,51,15,15,5,777,111,15,7,1.2744755918,1.03251227263,,
one_ND_cell_per_N_Q_disjoint,source_intercept,51,15,15,5,777,111,15,7,0.80803488144,0.701721194039,,
one_ND_cell_per_N_Q_disjoint,source_Q_only,51,15,15,5,777,111,15,7,0.220724690074,0.154647595019,0.001,0.184123183844
one_ND_cell_per_N_Q_disjoint,source_Q_N_D_main,51,15,15,5,777,111,15,7,0.22014536809,0.155488857209,0.001,0.184410095178
one_ND_cell_per_N_Q_disjoint,source_Q_interactions,51,15,15,5,777,111,15,7,0.719230775093,0.550993182903,0.001,0.156865999194
ND_and_Q_values_disjoint,zero_shot_Model_C,102,30,15,5,728,104,15,7,1.28257978908,1.03810465918,,
ND_and_Q_values_disjoint,source_intercept,102,30,15,5,728,104,15,7,0.780420734408,0.691942311745,,
ND_and_Q_values_disjoint,source_Q_only,102,30,15,5,728,104,15,7,0.176225152406,0.124904622236,0.001,0.227046684088
ND_and_Q_values_disjoint,source_Q_N_D_main,102,30,15,5,728,104,15,7,0.152457630261,0.126978474914,0.001,0.19611527024
ND_and_Q_values_disjoint,source_Q_interactions,102,30,15,5,728,104,15,7,0.127891424318,0.102474191413,0.001,0.153364011318
calibrated_to_extrapolated_N,zero_shot_Model_C,56,18,9,12,720,60,6,12,1.27666472584,1.07712847344,,
calibrated_to_extrapolated_N,source_intercept,56,18,9,12,720,60,6,12,0.698724023916,0.610384878608,,
calibrated_to_extrapolated_N,source_Q_only,56,18,9,12,720,60,6,12,0.240936621364,0.155214313504,0.001,0.188642705422
calibrated_to_extrapolated_N,source_Q_N_D_main,56,18,9,12,720,60,6,12,0.220578902116,0.189563617145,0.1,0.161630724192
calibrated_to_extrapolated_N,source_Q_interactions,56,18,9,12,720,60,6,12,0.185790330232,0.152705042096,0.001,0.106041747743
