dataset,current,candidate,n_rows,n_groups,current_rmse,candidate_rmse,delta_new_minus_current,relative_change_pct,cluster_bootstrap_delta_lo95,cluster_bootstrap_delta_median,cluster_bootstrap_delta_hi95,bootstrap_p_improvement
B1,classic_current,generalized_ND_new,1176,8,0.000151179778685,0.000152483909119,1.30413043408e-06,0.862635496239,2.07479413302e-07,1.23851583488e-06,2.48145467407e-06,0
B2,classic_current,generalized_ND_new,1029,7,1.24308486658,1.24308482953,-3.70491564095e-08,-2.98042052149e-06,-2.47341426085e-07,-3.70491566315e-08,1.50280072386e-07,0.64
B4,classic_current,generalized_ND_new,57,42,0.292666677545,0.292666804716,1.27171228825e-07,4.34525822657e-05,-5.82892047407e-09,1.21370184902e-07,2.49437201245e-07,0.037
B5,classic_current,generalized_ND_new,44,32,0.197595074038,0.197594916562,-1.57476201246e-07,-7.9696420574e-05,-2.50739469667e-07,-1.55483966577e-07,-6.15605882388e-08,0.999
B6,quality_model_current,quality_joint_nd_new,360,9,0.0523464439588,0.051060694395,-0.00128574956387,-2.45623096171,-0.00231946568224,-0.00131635502451,-0.000241895871301,0.9915
B6,quality_model_current,quality_compute_new,360,9,0.0523464439588,0.0591438113414,0.00679736738258,12.9853469854,0.00311105203205,0.00680561611327,0.0104500038873,0
B7_new,quality_model_current,quality_joint_nd_new,90,45,0.0421270559856,0.0411674971604,-0.000959558825182,-2.27777328069,-0.0034184049712,-0.000922923326386,0.00145753484039,0.7665
B7_new,quality_model_current,quality_compute_new,90,45,0.0421270559856,0.0463560310496,0.00422897506399,10.0386199915,-0.00245810069436,0.00422166897425,0.010734327064,0.1085
B8_new,quality_model_current,quality_joint_nd_new,1480,150,1.34175547485,1.34226342099,0.000507946149374,0.0378568344901,-0.00200987549472,0.000522469499835,0.00289871519086,0.3425
B8_new,quality_model_current,quality_compute_new,1480,150,1.34175547485,1.35798334312,0.016227868279,1.20945049848,0.00851035479467,0.0162423783366,0.0232803538832,0
B8_new,quality_model_current_raw,source_quality_interaction_new,1280,120,1.33505300458,0.133570642789,-1.20148236179,-89.9951056377,-1.2330067605,-1.20123220252,-1.16956100612,1
B8_new,source_intercept_control,source_quality_interaction_new,1280,120,0.751672393289,0.133570642789,-0.6181017505,-82.2302050758,-0.641392600867,-0.617835256233,-0.594770247313,1
B8_overlap_B6,quality_model_current_raw,source_quality_interaction_new,160,20,1.39246529307,0.0652159024953,-1.32724939057,-95.3165150457,-1.3718401151,-1.32590805737,-1.28340609478,1
B8_overlap_B6,source_intercept_control,source_quality_interaction_new,160,20,0.780854931172,0.0652159024953,-0.715639028677,-91.6481410449,-0.744119496114,-0.71488968185,-0.687847303795,1
B8_new,source_intercept_control,source_quality_interaction_new,1480,15,0.758235122437,0.13716306051,-0.621072061927,-81.9102206623,-0.675559145269,-0.62132512513,-0.575293202285,1
