budget,bootstrap_replicate,cost_model,Q0,L_ctx,optimum_loss
1e+19,8,exponential,0.2,2048,3.19811263026
1e+19,8,exponential,0.2,32768,3.32914588071
1e+19,8,exponential,0.8,2048,3.09172646232
1e+19,8,exponential,0.8,32768,3.23910883544
1e+19,8,power,0.2,2048,3.2422291757
1e+19,8,power,0.2,32768,3.37453872147
1e+19,8,power,0.8,2048,3.09172646232
1e+19,8,power,0.8,32768,3.23910883544
1e+19,8,logarithmic,0.2,2048,3.20245182919
1e+19,8,logarithmic,0.2,32768,3.31580654674
1e+19,8,logarithmic,0.8,2048,3.04695211402
1e+19,8,logarithmic,0.8,32768,3.17972173581
1e+19,12,exponential,0.2,2048,3.19481537155
1e+19,12,exponential,0.2,32768,3.32597255314
1e+19,12,exponential,0.8,2048,3.08848424643
1e+19,12,exponential,0.8,32768,3.23547004296
1e+19,12,power,0.2,2048,3.23803099911
1e+19,12,power,0.2,32768,3.37058159711
1e+19,12,power,0.8,2048,3.08848424643
1e+19,12,power,0.8,32768,3.23547004296
1e+19,12,logarithmic,0.2,2048,3.20240079902
1e+19,12,logarithmic,0.2,32768,3.31575901637
1e+19,12,logarithmic,0.8,2048,3.04689185631
1e+19,12,logarithmic,0.8,32768,3.17966469195
1e+19,13,exponential,0.2,2048,3.20215116904
1e+19,13,exponential,0.2,32768,3.33316277249
1e+19,13,exponential,0.8,2048,3.09567192621
1e+19,13,exponential,0.8,32768,3.24276292458
1e+19,13,power,0.2,2048,3.24522428367
1e+19,13,power,0.2,32768,3.37799023577
1e+19,13,power,0.8,2048,3.09567192621
1e+19,13,power,0.8,32768,3.24276292458
1e+19,13,logarithmic,0.2,2048,3.20245561514
1e+19,13,logarithmic,0.2,32768,3.3158232633
1e+19,13,logarithmic,0.8,2048,3.04695371865
1e+19,13,logarithmic,0.8,32768,3.17974051525
1e+19,29,exponential,0.2,2048,3.19357774196
1e+19,29,exponential,0.2,32768,3.32499181873
1e+19,29,exponential,0.8,2048,3.08752823131
1e+19,29,exponential,0.8,32768,3.23459961935
1e+19,29,power,0.2,2048,3.23644522971
1e+19,29,power,0.2,32768,3.36933882633
1e+19,29,power,0.8,2048,3.08752823131
1e+19,29,power,0.8,32768,3.23459961935
1e+19,29,logarithmic,0.2,2048,3.20246762649
1e+19,29,logarithmic,0.2,32768,3.31583194772
1e+19,29,logarithmic,0.8,2048,3.04696966208
1e+19,29,logarithmic,0.8,32768,3.17975393368
1e+19,53,exponential,0.2,2048,3.19506601303
1e+19,53,exponential,0.2,32768,3.32613601871
1e+19,53,exponential,0.8,2048,3.08862708197
1e+19,53,exponential,0.8,32768,3.23541127339
1e+19,53,power,0.2,2048,3.23798533468
1e+19,53,power,0.2,32768,3.37051146371
1e+19,53,power,0.8,2048,3.08862708197
1e+19,53,power,0.8,32768,3.23541127339
1e+19,53,logarithmic,0.2,2048,3.20246482158
1e+19,53,logarithmic,0.2,32768,3.31582383454
1e+19,53,logarithmic,0.8,2048,3.04695430728
1e+19,53,logarithmic,0.8,32768,3.17972924819
1e+19,68,exponential,0.2,2048,3.19865524952
1e+19,68,exponential,0.2,32768,3.33017350562
1e+19,68,exponential,0.8,2048,3.09280415783
1e+19,68,exponential,0.8,32768,3.24052757196
1e+19,68,power,0.2,2048,3.24223935565
1e+19,68,power,0.2,32768,3.3753248821
1e+19,68,power,0.8,2048,3.09280415783
1e+19,68,power,0.8,32768,3.24052757196
1e+19,68,logarithmic,0.2,2048,3.20244140744
1e+19,68,logarithmic,0.2,32768,3.31579897929
1e+19,68,logarithmic,0.8,2048,3.04694199537
1e+19,68,logarithmic,0.8,32768,3.17971378469
1e+19,101,exponential,0.2,2048,3.20039959138
1e+19,101,exponential,0.2,32768,3.33162475888
1e+19,101,exponential,0.8,2048,3.0942412607
1e+19,101,exponential,0.8,32768,3.24178896217
1e+19,101,power,0.2,2048,3.24415625811
1e+19,101,power,0.2,32768,3.37692156343
1e+19,101,power,0.8,2048,3.0942412607
1e+19,101,power,0.8,32768,3.24178896217
1e+19,101,logarithmic,0.2,2048,3.20239284612
1e+19,101,logarithmic,0.2,32768,3.31574878818
1e+19,101,logarithmic,0.8,2048,3.04689548868
1e+19,101,logarithmic,0.8,32768,3.17966546795
1e+19,102,exponential,0.2,2048,3.19835488663
1e+19,102,exponential,0.2,32768,3.32914865018
1e+19,102,exponential,0.8,2048,3.09162870744
1e+19,102,exponential,0.8,32768,3.23844581409
1e+19,102,power,0.2,2048,3.2417489107
1e+19,102,power,0.2,32768,3.37397243911
1e+19,102,power,0.8,2048,3.09162870744
1e+19,102,power,0.8,32768,3.23844581409
1e+19,102,logarithmic,0.2,2048,3.20244419191
1e+19,102,logarithmic,0.2,32768,3.31580386184
