policy,budget,N_B,D_B,Q_B
mean_regret,1e+19,0.309079186403,1.63440823854,0.818705344159
cvar90_regret,1e+19,0.309064085914,1.63445887856,0.818705344156
robust_minimax,1e+19,0.309944348005,1.63151211976,0.818705344157
nominal_moderate_repaired,1e+19,0.311384953048,1.63767256804,0.8
mean_regret,1e+22,4.11367665227,176.574088003,1
cvar90_regret,1e+22,4.11379480903,176.569463454,1
robust_minimax,1e+22,4.11292365837,176.603565201,1
nominal_moderate_repaired,1e+22,5.43315464592,136.616407463,1
mean_regret,1e+24,35.897475,899.679,1
cvar90_regret,1e+24,35.897475,899.679,1
robust_minimax,1e+24,35.897475,899.679,1
nominal_moderate_repaired,1e+24,35.897475,899.679,1
