split,budget,policy,scenario_count,replicate_count,mean_regret,q90_regret,cvar90_regret,max_regret,mean_loss,feasible_fraction,worst_cost_ratio
heldout,1e+19,cvar90_regret,144,12,0.166280290516,0.287598953168,0.322383000153,0.335891640822,3.37798706324,1,1
heldout,1e+19,mean_regret,144,12,0.166280251331,0.287598958479,0.322382969507,0.335891601517,3.37798702406,1,1
heldout,1e+19,nominal_moderate_repaired,144,12,0.172388827015,0.293571692592,0.328466580053,0.342099051635,3.38409559974,1,1
heldout,1e+19,robust_minimax,144,12,0.166278675169,0.287599927005,0.322381881631,0.335890018014,3.37798544789,1,0.999999999999
train,1e+19,cvar90_regret,36,3,0.166107727747,0.287765745317,0.319349571731,0.334081126048,3.37680738105,1,1
train,1e+19,mean_regret,36,3,0.166107727545,0.287765746797,0.31934957195,0.334081103102,3.37680738084,1,1
train,1e+19,nominal_moderate_repaired,36,3,0.172142148002,0.293674991664,0.325352698509,0.340255760087,3.3828418013,1,1
train,1e+19,robust_minimax,36,3,0.166108380794,0.28776649673,0.31935024937,0.334080455256,3.37680803409,1,0.999999999999
heldout,1e+22,cvar90_regret,144,12,0.0270451258066,0.0516707940911,0.0552343694435,0.0561304728755,2.20016981031,1,1
heldout,1e+22,mean_regret,144,12,0.027045126091,0.0516707946704,0.0552343697569,0.0561304730307,2.2001698106,1,1
heldout,1e+22,nominal_moderate_repaired,144,12,0.028995948237,0.0536225776088,0.0571857077351,0.0580876667235,2.20212063274,1,1
heldout,1e+22,robust_minimax,144,12,0.0270451288892,0.0516707993475,0.0552343727396,0.0561304750053,2.20016981339,1,1
train,1e+22,cvar90_regret,36,3,0.027045540991,0.0516694415172,0.0550123424287,0.0561293311834,2.20016844112,1,1
train,1e+22,mean_regret,36,3,0.02704554097,0.0516694414477,0.0550123424496,0.056129330898,2.2001684411,1,1
train,1e+22,nominal_moderate_repaired,36,3,0.0289994581822,0.0536238677141,0.056966874613,0.0580859176145,2.20212235831,1,1
train,1e+22,robust_minimax,36,3,0.0270455418219,0.0516694419898,0.0550123435679,0.0561293300644,2.20016844195,1,1
heldout,1e+24,cvar90_regret,144,12,8.51170985546e-16,1.11022302463e-15,1.99840144433e-15,2.22044604925e-15,1.97940173579,1,0.409924829256
heldout,1e+24,mean_regret,144,12,1.66533453694e-16,4.4408920985e-16,4.4408920985e-16,4.4408920985e-16,1.97940173579,1,0.409924829256
heldout,1e+24,nominal_moderate_repaired,144,12,0,0,0,0,1.97940173579,1,0.409924829256
heldout,1e+24,robust_minimax,144,12,0,0,0,0,1.97940173579,1,0.409924829256
train,1e+24,cvar90_regret,36,3,8.37404220041e-13,4.92450524803e-12,4.92450524803e-12,4.92450524803e-12,1.97940945358,1,0.409924829256
train,1e+24,mean_regret,36,3,8.36664071358e-13,4.92450524803e-12,4.92450524803e-12,4.92450524803e-12,1.97940945358,1,0.409924829256
train,1e+24,nominal_moderate_repaired,36,3,8.36590056489e-13,4.92428320342e-12,4.92428320342e-12,4.92428320342e-12,1.97940945358,1,0.409924829256
train,1e+24,robust_minimax,36,3,8.36590056489e-13,4.92428320342e-12,4.92428320342e-12,4.92428320342e-12,1.97940945358,1,0.409924829256
