kind,fold,a,b,train_loss_min,train_loss_max,train_n_min_B,train_n_max_B,intercept,left_slope,right_slope,knot,loss_slope,scale_coefficient
logistic,0,1.9735039610376728,-1.7881168337132733,1.65,2.75,0.162405,70.554,,,,,,
logistic,1,1.0958077180992034,-1.1637440995936132,1.65,2.84,0.494,72.706,,,,,,
logistic,2,1.9791562267001168,-1.6735125355071765,1.65,2.84,0.162405,72.706,,,,,,
logistic,3,2.10945366438313,-1.7242105309487836,1.65,2.84,0.162405,72.706,,,,,,
logistic,4,2.7885954127037325,-2.023819044350869,1.71,2.84,0.162405,72.706,,,,,,
monotone_kink,0,,,1.65,2.75,0.162405,70.554,-1.6140277145631547,1.1074039815579806,3.484078130288785,2.1,,
monotone_kink,1,,,1.65,2.84,0.494,72.706,-1.0942124669015705,0.0003354626293296368,2.6665276646904723,2.1,,
monotone_kink,2,,,1.65,2.84,0.162405,72.706,-1.4619038671750104,1.196173435764114,2.682110495822023,2.125,,
monotone_kink,3,,,1.65,2.84,0.162405,72.706,-1.3864913271279082,1.0807617612157157,2.791490363053028,2.1,,
monotone_kink,4,,,1.71,2.84,0.162405,72.706,-1.4256003598466147,1.729571753690084,2.510710976747359,2.1125,,
loss_plus_scale,0,,,1.65,2.75,0.162405,70.554,-0.8203535916993344,,,,0.43238751803504477,0.7602822056679908
loss_plus_scale,1,,,1.65,2.84,0.494,72.706,-1.3688729783362747,,,,0.00033546262796770076,0.7795070775065869
loss_plus_scale,2,,,1.65,2.84,0.162405,72.706,-1.4974864037819335,,,,0.0003354626281800192,0.9230789709944149
loss_plus_scale,3,,,1.65,2.84,0.162405,72.706,-1.473190284065258,,,,0.000335462628734077,0.8774812609478246
loss_plus_scale,4,,,1.71,2.84,0.162405,72.706,-1.4153293678692644,,,,0.00033546262790377067,0.9659856976133298
fixed_loss_plus_scale,0,,,1.65,2.75,0.162405,70.554,1.9236994057746375,,,,1.7881168337132733,0.3985300466230382
fixed_loss_plus_scale,1,,,1.65,2.84,0.494,72.706,1.0476059806058704,,,,1.1637440995936132,0.3549436619022743
fixed_loss_plus_scale,2,,,1.65,2.84,0.162405,72.706,1.9382881140475787,,,,1.6735125355071765,0.42756796550291154
fixed_loss_plus_scale,3,,,1.65,2.84,0.162405,72.706,2.0700307189709792,,,,1.7242105309487836,0.4284294029027867
fixed_loss_plus_scale,4,,,1.71,2.84,0.162405,72.706,2.741083640029518,,,,2.023819044350869,0.3944229114504074
scale_only_diagnostic,0,,,1.65,2.75,0.162405,70.554,-1.7122138682419268,,,,,0.8894492393161836
scale_only_diagnostic,1,,,1.65,2.84,0.494,72.706,-1.3695795406129778,,,,,0.7796425826316323
scale_only_diagnostic,2,,,1.65,2.84,0.162405,72.706,-1.4981866985223604,,,,,0.923191256247397
scale_only_diagnostic,3,,,1.65,2.84,0.162405,72.706,-1.473888941062795,,,,,0.877580409636119
scale_only_diagnostic,4,,,1.71,2.84,0.162405,72.706,-1.416028922097538,,,,,0.966094782092892
gompertz,0,,,1.65,2.75,0.162405,70.554,-1.1321980415051958,,,,0.8503892555272653,
gompertz,1,,,1.65,2.84,0.494,72.706,-0.8196518469277247,,,,0.6044526717198915,
gompertz,2,,,1.65,2.84,0.162405,72.706,-1.180356698640426,,,,0.8181147263771889,
gompertz,3,,,1.65,2.84,0.162405,72.706,-1.2534069652897393,,,,0.8481579612043163,
gompertz,4,,,1.71,2.84,0.162405,72.706,-1.564523231534653,,,,0.9827986232633521,
