dataset,status,model,alpha,mae,rmse,r2_flat,r2_domain_mean,mape,spearman_mean,bias,mean_loss_mae
est_10b,estimated_extrapolation,dummy,1,3.547197801812203,3.5764990543452293,-182.7156795186763,-232.98895314562196,2.0559280713658645,,3.5471978018122026,3.5471978018122026
est_10b,estimated_extrapolation,raw_ridge,1,3.5786689903037336,3.624672660146759,-187.69812225319717,-237.2848214417671,2.0338150596847124,0.48921203681599884,3.57713287093653,3.57713287093653
est_10b,estimated_extrapolation,alr_ridge,1,3.5525668729165925,3.6053638863811317,-185.69307237352905,-234.51441210054648,2.001002944962885,0.6948984069130575,3.5515473544612934,3.551547354461293
est_10b,estimated_extrapolation,quadratic_ridge,100,3.5639990130996484,3.616881102802967,-186.88774727111792,-236.16125866021963,2.0222486132309108,0.4982807960044049,3.563428939192676,3.5634289391926766
est_10b,estimated_extrapolation,extra_trees,1,3.573290713197829,3.6262735124298784,-187.86483773630056,-236.89959496584802,2.020226623355732,0.46631050404135954,3.573290713197829,3.5732907131978284
est_70b,estimated_extrapolation,dummy,1,3.9301108665252684,3.957772498140231,-322.8514646986418,-377.9105947528707,2.893352712002962,,3.930110866525268,3.9301108665252684
est_70b,estimated_extrapolation,raw_ridge,1,3.9612433492780927,4.010010470456451,-331.45680441482176,-386.03107094530964,2.866031979565173,0.41252692347397424,3.9600459356495947,3.9600459356495943
est_70b,estimated_extrapolation,alr_ridge,1,3.935163942513662,3.992690589272752,-328.5911374615277,-381.8419225655796,2.8245782346282775,0.6283256754634128,3.934460419174358,3.934460419174359
est_70b,estimated_extrapolation,quadratic_ridge,100,3.9465733720740084,4.002850766460744,-330.27068913013863,-384.30206094167545,2.8534376995406356,0.41436034500599983,3.9463420039057406,3.9463420039057406
est_70b,estimated_extrapolation,extra_trees,1,3.956203777910893,4.013350028737582,-332.0107786237499,-385.74520277910534,2.852555332052378,0.3803369434412228,3.956203777910894,3.9562037779108943
