component,explained_variance,cumulative
1,0.3151498535185983,0.3151498535185983
2,0.18748166142561837,0.5026315149442167
3,0.10019953507608768,0.6028310500203043
4,0.08415632714589907,0.6869873771662034
5,0.05551905503986812,0.7425064322060715
6,0.05289684087187674,0.7954032730779482
7,0.03848317364744846,0.8338864467253967
8,0.030212807995075162,0.8640992547204719
9,0.028919729322333793,0.8930189840428057
10,0.023247712231148084,0.9162666962739537
11,0.01761656946744693,0.9338832657414007
12,0.013697592792123195,0.9475808585335239
13,0.011743103726977757,0.9593239622605017
14,0.010248299930536572,0.9695722621910382
15,0.009590943803919885,0.9791632059949581
16,0.0067824891442077725,0.9859456951391659
17,0.006535412850354493,0.9924811079895204
18,0.003103046878777542,0.9955841548682979
19,0.002784430035659436,0.9983685849039573
20,0.0010833677728723148,0.9994519526768296
21,0.0004799750394167142,0.9999319277162464
22,6.807228375349169e-05,0.9999999999999999
