,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.2546249298163822,0.30361372178890506,0.32678044548279983,0.5424720161802814,0.38872215085367856,-0.36972000150133455,-0.36876066831960064,-0.36061280478977725,0.5446377217452081,0.18145274173282558,0.1653595585821067,0.1483982839300349,0.32097108496479465,-0.3749569911045892,-0.019199462218317087,0.06201991922810497,-0.10006010381027902,0.09974896821580713,-0.08239350326728093,0.1159926271736937,0.14960259384944816
fluency_en,0.2546249298163822,1.0,0.5651116228669475,0.5767856827380137,0.18245411879085782,-0.20545107212649963,0.01379743728840453,0.014713158631043844,-0.010210301489169763,0.5643280454317302,0.1597210327056828,0.10666267080198212,0.08575048550987319,0.19772478597391746,-0.14819184242356936,0.4713322230023438,0.007182789226964298,-0.02242703522469203,-0.15089917127976754,0.37440580543323204,0.04877007835979961,0.17228557461572794
modernbert_cleanliness,0.30361372178890506,0.5651116228669475,1.0,0.6491222208477588,0.48985239766733185,-0.06092752920290668,-0.1922460123475876,-0.19569070810271663,-0.2115379064601017,0.559728718022583,0.06385074287108515,0.12428446083289854,0.14957371704341052,0.44433644464562705,-0.2568057545820997,0.31898673099493674,0.1242290309244262,0.036158298655544804,-0.17868720368488772,0.424566464280732,0.08440479551665446,0.2633871448863887
modernbert_readability,0.32678044548279983,0.5767856827380137,0.6491222208477588,1.0,0.3012562075843892,-0.11999308609177728,-0.28672347621084937,-0.27927069772893515,-0.3087265626562711,0.5998442823879521,-0.020580674654686965,0.06047400659704522,0.10187539201261767,0.48260160191427254,-0.3359687828836454,0.37849955263898666,0.09607230416329512,-0.012895121797021264,-0.014423083484820453,0.2116630639986974,0.1251962096707501,0.376542715790051
modernbert_reasoning,0.5424720161802814,0.18245411879085782,0.48985239766733185,0.3012562075843892,1.0,0.5256094386377134,-0.5533714052631266,-0.5631646302880107,-0.5453309563115414,0.4977662960413404,0.03750972383195356,0.09688452223469188,0.0728700605946098,0.5709347759233977,-0.529267839926649,-0.044710115234222164,0.2202455926192072,-0.01682373508200006,0.09009385647416107,-0.000633983623312598,0.1526406671146714,0.13651438334126734
modernbert_professionalism,0.38872215085367856,-0.20545107212649963,-0.06092752920290668,-0.11999308609177728,0.5256094386377134,1.0,-0.47955601357927197,-0.4782578927582773,-0.4356627672568204,0.22994046039375235,0.18604238718497929,-0.07002038545538994,-0.10202115646027161,0.1267880407903884,-0.324347169897388,-0.4835411209249611,0.15520612382655055,0.008797283799730958,0.31628046065982157,-0.5191553192749491,0.03887564719180885,-0.14989116850514467
dsir_books,-0.36972000150133455,0.01379743728840453,-0.1922460123475876,-0.28672347621084937,-0.5533714052631266,-0.47955601357927197,1.0,0.9990020424975229,0.9969385246953527,-0.25601691028440976,0.1481004555728442,-0.013486868687232836,0.0440689625884435,-0.804566271393319,0.8183878545364379,0.18043491711986676,-0.28839663956722583,0.028480441127222395,-0.25606646394886673,0.26286956956292934,-0.24493979035284552,-0.012225583554547741
dsir_wiki,-0.36876066831960064,0.014713158631043844,-0.19569070810271663,-0.27927069772893515,-0.5631646302880107,-0.4782578927582773,0.9990020424975229,1.0,0.996793149301298,-0.25425704612551076,0.15159973330038942,-0.012044357847329313,0.04391395998646793,-0.8076062507935465,0.8225819463973657,0.1781771014702057,-0.29353573432901325,0.02524561973793484,-0.24769694780858703,0.2514713331396366,-0.24328759713081363,0.001107118583816953
dsir_math,-0.36061280478977725,-0.010210301489169763,-0.2115379064601017,-0.3087265626562711,-0.5453309563115414,-0.4356627672568204,0.9969385246953527,0.996793149301298,1.0,-0.26398837220907323,0.1636587686124669,-0.0076871422134650634,0.04162530606195503,-0.831066928097652,0.8257013863694828,0.13585344607651734,-0.2986031063735632,0.01862782571639931,-0.2346521277233715,0.22611163090119427,-0.2525664328863746,-0.020447020512314406
qurater,0.5446377217452081,0.5643280454317302,0.559728718022583,0.5998442823879521,0.4977662960413404,0.22994046039375235,-0.25601691028440976,-0.25425704612551076,-0.26398837220907323,1.0,0.07280694549481644,0.04345494033252789,0.08886739537006948,0.38213082814430743,-0.3113298856006616,0.3096003046268138,0.16256759524554348,0.042321627774284595,-0.03928240089729315,0.17334127443485367,0.06890848912488216,0.22533700965620396
