field,group,baseline,critic
fineweb_edu,educational,0.05,0.03564551668041071
fluency_en,readability,0.08333333333333333,0.05466138016949411
modernbert_cleanliness,cleanliness,0.05,0.050676890170274956
modernbert_readability,readability,0.08333333333333333,0.047297338067060615
modernbert_reasoning,educational,0.05,0.04704498698200305
modernbert_professionalism,educational,0.05,0.07413592739431452
dsir_books,educational,0.016666666666666666,0.026223310051741083
dsir_wiki,educational,0.016666666666666666,0.025659341648011084
dsir_math,educational,0.016666666666666666,0.026604280331465103
qurater,educational,0.05,0.035772865784014764
ad_en,cleanliness,0.05,0.04084223292286827
rps_doc_word_count,structure,0.03571428571428571,0.04432394187911559
rps_doc_num_sentences,structure,0.03571428571428571,0.04480268188503973
rps_doc_unigram_entropy,structure,0.03571428571428571,0.03756618041759684
rps_doc_frac_unique_words,structure,0.03571428571428571,0.04258539065033786
rps_doc_frac_no_alph_words,cleanliness,0.05,0.03192715819968359
rps_doc_frac_chars_top_2gram,cleanliness,0.05,0.044616084826973774
rps_doc_frac_chars_top_3gram,cleanliness,0.05,0.05165902241335897
rps_lines_uppercase_letter_fraction,structure,0.03571428571428571,0.05927797001434763
rps_lines_ending_with_terminal_punctution_mark,readability,0.08333333333333333,0.05921977463740777
rps_lines_numerical_chars_fraction,structure,0.03571428571428571,0.07216985389808839
rps_doc_mean_word_length,structure,0.03571428571428571,0.047287870976391574
