family,N_params_B,D_tokens_B,val_loss,is_converged,model_name,FLOPs,publication_date,organization,accessibility,country,predicted,residual,scale_band
Ling-flash-base-2.0-20T,100,20000,1.8412,1,Ling-flash-base-2.0-20T,7.32e+23,2025-09-10,Ant Group,Open weights (unrestricted),China,1.841345136,0.0001451361537,100-300B
FaXin,100,3670,1.8882,1,FaXin,,2024-11-15,,,,1.888459691,0.0002596905464,100-300B
PLaMo-100B,100,2000,1.9112,1,PLaMo-100B,1.2e+24,2024-06-14,Preferred Networks Inc,API access,Japan,1.911551678,0.000351677643,100-300B
Yi-Large,100,3000,1.8954,1,Yi-Large,1.8e+24,2024-05-13,01.AI,API access,China,1.895697051,0.0002970512602,100-300B
Hunyuan,100,2000,1.9112,1,Hunyuan,1.2e+24,2023-09-07,Tencent,API access,China,1.911551678,0.000351677643,100-300B
Luca 2.0,100,2000,1.9112,1,Luca 2.0,1.2e+24,2023-08-29,Mianbi Intelligence,Hosted access (no API),China,1.911551678,0.000351677643,100-300B
xTrimoPGLM -100B,100,275,2.0206,1,xTrimoPGLM -100B,6.2e+23,2023-07-06,"Tsinghua University,BioMap Research",Unreleased,"China,China",2.021283617,0.0006836170162,100-300B
YaLM,100,300,2.0144,1,YaLM,2.2e+23,2022-06-23,Yandex,Open weights (unrestricted),Russia,2.015088058,0.0006880584303,100-300B
FLM-101B,101,311.5,2.0116,1,FLM-101B,5.72e+22,2023-09-07,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",Open weights (unrestricted),"China,China,Singapore,China",2.012206157,0.000606156699,100-300B
"Solar Open 100B
",102,19700,1.841,1,"Solar Open 100B
",,2025-12-31,Upstage,API access,Korea (Republic of),1.841177713,0.0001777126092,100-300B
Odyssey 102B,102,179.7,2.0526,1,Odyssey 102B,1.1e+23,2025-10-18,Anthrogen,Unreleased,United States of America,2.053354379,0.0007543785895,100-300B
Yuan 2.0,102.6,289.1,2.0164,1,Yuan 2.0,1.78e+23,2023-11-27,Inspur,Open weights (restricted use),China,2.017062236,0.0006622363045,100-300B
InternLM,104,1600,1.9197,1,InternLM,9.984e+23,2023-07-06,"Shanghai AI Lab,SenseTime",Unreleased,"China,Hong Kong",1.920096155,0.0003961545587,100-300B
Ring-flash-linear-2.0,104.2,1000,1.9417,1,Ring-flash-linear-2.0,7.686e+23,2025-10-23,Ant Group,Open weights (unrestricted),China,1.942164835,0.0004648353394,100-300B
GLM-4.5-Air,106,2603.8,1.8993,1,GLM-4.5-Air,1.656e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",1.899581424,0.0002814240717,100-300B
