N_B,D_B,Q,delta_Q,N_equivalent_B,delta_N_B,multiplier,local_dN_dQ,quality_loss_gain
0.1,20,0.3,0.1,0.1150416347,0.01504163468,1.150416347,-0.1367434371,0.03602578026
0.1,20,0.6,0.1,0.1151370295,0.01513702954,1.151370295,-0.1374542643,0.03623381897
0.1,20,0.9,0.1,0.1154885537,0.0154885537,1.154885537,-0.1392310986,0.03699843963
0.1,300,0.3,0.1,0.1150416347,0.01504163468,1.150416347,-0.1367434371,0.03602578026
0.1,300,0.6,0.1,0.1151370295,0.01513702954,1.151370295,-0.1374542643,0.03623381897
0.1,300,0.9,0.1,0.1154885537,0.0154885537,1.154885537,-0.1392310986,0.03699843963
0.1,2000,0.3,0.1,0.1150416347,0.01504163468,1.150416347,-0.1367434371,0.03602578026
0.1,2000,0.6,0.1,0.1151370295,0.01513702954,1.151370295,-0.1374542643,0.03623381897
0.1,2000,0.9,0.1,0.1154885537,0.0154885537,1.154885537,-0.1392310986,0.03699843963
1,20,0.3,0.1,1.371228087,0.3712280866,1.371228087,-2.991459131,0.03602578026
1,20,0.6,0.1,1.373870496,0.3738704957,1.373870496,-3.007009497,0.03623381897
1,20,0.9,0.1,1.383641177,0.3836411772,1.383641177,-3.045880299,0.03699843963
1,300,0.3,0.1,1.371228087,0.3712280866,1.371228087,-2.991459131,0.03602578026
1,300,0.6,0.1,1.373870496,0.3738704957,1.373870496,-3.007009497,0.03623381897
1,300,0.9,0.1,1.383641177,0.3836411772,1.383641177,-3.045880299,0.03699843963
1,2000,0.3,0.1,1.371228087,0.3712280866,1.371228087,-2.991459131,0.03602578026
1,2000,0.6,0.1,1.373870496,0.3738704957,1.373870496,-3.007009497,0.03623381897
1,2000,0.9,0.1,1.383641177,0.3836411772,1.383641177,-3.045880299,0.03699843963
7,20,0.3,0.1,13.35714076,6.357140764,1.908162966,-40.57837552,0.03602578026
7,20,0.6,0.1,13.41303423,6.413034235,1.916147748,-40.78931225,0.03623381897
7,20,0.9,0.1,13.6211774,6.621177396,1.945882485,-41.3165847,0.03699843963
7,300,0.3,0.1,13.35714076,6.357140764,1.908162966,-40.57837552,0.03602578026
7,300,0.6,0.1,13.41303423,6.413034235,1.916147748,-40.78931225,0.03623381897
7,300,0.9,0.1,13.6211774,6.621177396,1.945882485,-41.3165847,0.03699843963
7,2000,0.3,0.1,13.35714076,6.357140764,1.908162966,-40.57837552,0.03602578026
7,2000,0.6,0.1,13.41303423,6.413034235,1.916147748,-40.78931225,0.03623381897
7,2000,0.9,0.1,13.6211774,6.621177396,1.945882485,-41.3165847,0.03699843963
70,20,0.3,0.1,368.4705705,298.4705705,5.263865293,-887.7102588,0.03602578026
70,20,0.6,0.1,373.2612494,303.2612494,5.332303562,-892.3248027,0.03623381897
70,20,0.9,0.1,391.6033902,321.6033902,5.594334145,-903.8596451,0.03699843963
70,300,0.3,0.1,368.4705705,298.4705705,5.263865293,-887.7102588,0.03602578026
70,300,0.6,0.1,373.2612494,303.2612494,5.332303562,-892.3248027,0.03623381897
70,300,0.9,0.1,391.6033902,321.6033902,5.594334145,-903.8596451,0.03699843963
70,2000,0.3,0.1,368.4705705,298.4705705,5.263865293,-887.7102588,0.03602578026
70,2000,0.6,0.1,373.2612494,303.2612494,5.332303562,-892.3248027,0.03623381897
70,2000,0.9,0.1,391.6033902,321.6033902,5.594334145,-903.8596451,0.03699843963
120,20,0.3,0.1,1028.066538,908.0665376,8.567221147,-1827.836111,0.03602578026
120,20,0.6,0.1,1047.081342,927.0813425,8.725677854,-1837.337669,0.03623381897
120,20,0.9,0.1,1121.158694,1001.158694,9.342989115,-1861.088438,0.03699843963
120,300,0.3,0.1,1028.066538,908.0665376,8.567221147,-1827.836111,0.03602578026
120,300,0.6,0.1,1047.081342,927.0813425,8.725677854,-1837.337669,0.03623381897
120,300,0.9,0.1,1121.158694,1001.158694,9.342989115,-1861.088438,0.03699843963
120,2000,0.3,0.1,1028.066538,908.0665376,8.567221147,-1827.836111,0.03602578026
120,2000,0.6,0.1,1047.081342,927.0813425,8.725677854,-1837.337669,0.03623381897
120,2000,0.9,0.1,1121.158694,1001.158694,9.342989115,-1861.088438,0.03699843963
300,20,0.3,0.1,11167.42589,10867.42589,37.22475297,-6239.755115,0.03602578026
300,20,0.6,0.1,11639.43612,11339.43612,38.79812039,-6272.190951,0.03623381897
300,20,0.9,0.1,13623.0459,13323.0459,45.41015301,-6353.269874,0.03699843963
300,300,0.3,0.1,11167.42589,10867.42589,37.22475297,-6239.755115,0.03602578026
300,300,0.6,0.1,11639.43612,11339.43612,38.79812039,-6272.190951,0.03623381897
300,300,0.9,0.1,13623.0459,13323.0459,45.41015301,-6353.269874,0.03699843963
300,2000,0.3,0.1,11167.42589,10867.42589,37.22475297,-6239.755115,0.03602578026
300,2000,0.6,0.1,11639.43612,11339.43612,38.79812039,-6272.190951,0.03623381897
300,2000,0.9,0.1,13623.0459,13323.0459,45.41015301,-6353.269874,0.03699843963
