mapping,Q_model,N_B,D_B,Q_B_start,Q_B_end,N_equiv_B,multiplier
conservative,additive,7,300,0.6,0.65,9.515454124,1.359350589
conservative,effective_power,7,300,0.6,0.65,7.827261567,1.118180224
conservative,effective_exp,7,300,0.6,0.65,8.346205987,1.192315141
conservative,saturating,7,300,0.6,0.65,9.525479192,1.360782742
conservative,quality_data,7,300,0.6,0.65,9.383336074,1.340476582
conservative,quality_model,7,300,0.6,0.65,8.286374626,1.183767804
neutral,additive,7,300,0.6,0.7,13.41302837,1.91614691
neutral,effective_power,7,300,0.6,0.7,8.692875048,1.241839293
neutral,effective_exp,7,300,0.6,0.7,10.0005584,1.4286512
neutral,saturating,7,300,0.6,0.7,13.43831548,1.919759355
neutral,quality_data,7,300,0.6,0.7,12.99839512,1.856913589
neutral,quality_model,7,300,0.6,0.7,9.900224654,1.414317808
optimistic,additive,7,300,0.6,0.8,31.04482929,4.434975612
optimistic,effective_power,7,300,0.6,0.8,10.54138097,1.505911567
optimistic,effective_exp,7,300,0.6,0.8,14.60036952,2.085767074
optimistic,saturating,7,300,0.6,0.8,31.10561825,4.443659751
optimistic,quality_data,7,300,0.6,0.8,28.56564921,4.08080703
optimistic,quality_model,7,300,0.6,0.8,14.59431116,2.084901595
