source,fraction,protocol,calibration_rows,n,rmse,mae,bias,relative_error,spearman
B2,0.1,raw,98,931,1.092532308,1.075851782,-1.075851782,0.3224317309,0.8093614326
B2,0.1,affine,98,931,0.9448509748,0.9135712475,0.9135712475,0.2767894753,0.8093614326
B2,0.1,logD,98,931,0.5841240976,0.5474732691,-0.5474732691,0.1697878441,0.9482544679
B2,0.2,raw,203,826,1.033103055,1.024923743,-1.024923743,0.3138495264,0.8703599892
B2,0.2,affine,203,826,0.6955152609,0.6647600087,0.6647600087,0.2031321161,0.8703599892
B2,0.2,logD,203,826,0.3673624804,0.3457538596,-0.3457538596,0.1081841444,0.951821728
B2,0.3,raw,308,721,0.9936051297,0.9891117841,-0.9891117841,0.3073225008,0.9189828143
B2,0.3,affine,308,721,0.5751468355,0.5459795147,0.5459795147,0.168021235,0.9189828143
B2,0.3,logD,308,721,0.2680387397,0.2543545001,-0.2543545001,0.08014466649,0.9619537372
B4,0.1,raw,12,45,0.2482042842,0.1969713316,-0.1890486349,0.07797730371,0.9825405277
B4,0.1,affine,12,45,0.09164613899,0.06953564096,0.0324042165,0.03032916626,0.9825405277
B4,0.1,logD,12,45,0.1612311627,0.1229043959,0.103468381,0.0537110682,0.9492686866
B4,0.2,raw,12,45,0.2482042842,0.1969713316,-0.1890486349,0.07797730371,0.9825405277
B4,0.2,affine,12,45,0.09164613899,0.06953564096,0.0324042165,0.03032916626,0.9825405277
B4,0.2,logD,12,45,0.1612311627,0.1229043959,0.103468381,0.0537110682,0.9492686866
B4,0.3,raw,16,41,0.2085044097,0.1710953826,-0.1623997398,0.07084807543,0.9787864352
B4,0.3,affine,16,41,0.09431941689,0.06995224128,0.04913324221,0.03146360565,0.9787864352
B4,0.3,logD,16,41,0.1785081218,0.1398307267,0.1311155183,0.06155086621,0.9400183031
B5,0.1,raw,9,35,0.1889336428,0.1621582918,0.001697334576,0.08135561104,0.9459383754
B5,0.1,affine,9,35,0.1618818926,0.1445616903,0.01643347736,0.07232376117,0.9459383754
B5,0.1,logD,9,35,0.1898870084,0.1589590485,0.08413905147,0.08197195108,0.9358543417
B5,0.2,raw,9,35,0.1889336428,0.1621582918,0.001697334576,0.08135561104,0.9459383754
B5,0.2,affine,9,35,0.1618818926,0.1445616903,0.01643347736,0.07232376117,0.9459383754
B5,0.2,logD,9,35,0.1898870084,0.1589590485,0.08413905147,0.08197195108,0.9358543417
B5,0.3,raw,12,32,0.1878169699,0.1610220775,0.01819501383,0.08283454784,0.9325513196
B5,0.3,affine,12,32,0.1694124308,0.1467710469,0.04090460729,0.07592589898,0.9325513196
B5,0.3,logD,12,32,0.2075700471,0.1679036114,0.1170865101,0.08990724778,0.9270527859
