model,source,comparison,n,rmse,mae,bias,relative_error,spearman
classic,B2,raw,1029,1.243084867,1.178441812,-1.178441812,0.3360082542,0.7881022687
classic,B4,raw,57,0.2926666775,0.2272632933,-0.2210085327,0.08594374257,0.9829816455
classic,B5,raw,44,0.197595074,0.1707215315,-0.02056986315,0.08143185828,0.9588075696
interaction,B2,raw,1029,1.243084667,1.178441571,-1.178441571,0.3360081504,0.7881022687
interaction,B4,raw,57,0.2926656829,0.2272620532,-0.2210068689,0.08594320044,0.9829816455
interaction,B5,raw,44,0.197595893,0.1707220419,-0.02056865192,0.08143218292,0.9588075696
compute_ratio,B2,raw,1029,1.312828318,1.263906172,-1.263906172,0.3619029369,0.8844270959
compute_ratio,B4,raw,57,0.3171192611,0.2783704656,-0.2783704656,0.1112388987,0.9715063947
compute_ratio,B5,raw,44,0.1817405292,0.1614162523,-0.06634009397,0.07313998165,0.9368899544
broken_N,B2,raw,1029,1.243082575,1.178439395,-1.178439395,0.3360076126,0.7880991573
broken_N,B4,raw,57,0.292666034,0.2272649446,-0.2210190724,0.08594454269,0.9829816455
broken_N,B5,raw,44,0.1975706856,0.1707176991,-0.02060675341,0.08142746047,0.9588075696
classic_huber,B2,raw,1029,1.243084867,1.178441812,-1.178441812,0.3360082542,0.7881022687
classic_huber,B4,raw,57,0.2926666775,0.2272632933,-0.2210085327,0.08594374257,0.9829816455
classic_huber,B5,raw,44,0.197595074,0.1707215315,-0.02056986315,0.08143185828,0.9588075696
classic_soft_l1,B2,raw,1029,1.243084867,1.178441812,-1.178441812,0.3360082542,0.7881022687
classic_soft_l1,B4,raw,57,0.2926666775,0.2272632933,-0.2210085327,0.08594374257,0.9829816455
classic_soft_l1,B5,raw,44,0.197595074,0.1707215315,-0.02056986315,0.08143185828,0.9588075696
classic_relative,B2,raw,1029,1.243073397,1.178427164,-1.178427164,0.3360036733,0.7880956934
classic_relative,B4,raw,57,0.292661944,0.2272515138,-0.2209925394,0.08593825584,0.9829816455
classic_relative,B5,raw,44,0.1976016756,0.1707257083,-0.02056036795,0.08143456055,0.9588075696
classic_log,B2,raw,1029,1.243079655,1.178435169,-1.178435169,0.3360061729,0.7881004294
classic_log,B4,raw,57,0.2926646102,0.227257843,-0.2210010915,0.08594119181,0.9829816455
classic_log,B5,raw,44,0.1975983771,0.1707235715,-0.02056507339,0.08143317581,0.9588075696
