model,axis,train_fraction,max_train_N_B,n,rmse,mae,bias,relative_error,spearman
classic,N_small_to_large,0.5,1.040867,588,0.0001513231485,0.0001171696112,-8.262831475e-05,5.029074989e-05,0.9999987752
classic,D_early_to_late,0.5,,584,0.0001194861808,9.18146891e-05,-3.375806082e-05,3.804769745e-05,0.9999996385
classic,N_small_to_large,0.6,1.040867,588,0.0001513231485,0.0001171696112,-8.262831475e-05,5.029074989e-05,0.9999987752
classic,D_early_to_late,0.6,,472,0.000116943933,8.877942786e-05,-2.738960704e-05,3.674493088e-05,0.9999996862
classic,N_small_to_large,0.7,1.416184,441,0.0001340472394,9.831330506e-05,-6.347254367e-05,4.224219902e-05,0.9999980762
classic,D_early_to_late,0.7,,352,0.0001168424974,8.973476399e-05,-2.836061906e-05,3.72221587e-05,1
classic,N_small_to_large,0.8,2.782831,294,0.000119714173,7.99237765e-05,-1.372435791e-05,3.434754875e-05,0.9999965764
classic,D_early_to_late,0.8,,240,0.000109183435,8.376273802e-05,-1.688640998e-05,3.485494625e-05,1
interaction,N_small_to_large,0.5,1.040867,588,0.000155271993,0.0001157530745,-8.263832693e-05,4.925630122e-05,0.9999987162
interaction,D_early_to_late,0.5,,584,0.0001196702271,9.17219718e-05,-3.37578148e-05,3.796661914e-05,0.9999996385
interaction,N_small_to_large,0.6,1.040867,588,0.000155271993,0.0001157530745,-8.263832693e-05,4.925630122e-05,0.9999987162
interaction,D_early_to_late,0.6,,472,0.0001170645265,8.876805786e-05,-2.738942512e-05,3.671528846e-05,0.9999996862
interaction,N_small_to_large,0.7,1.416184,441,0.0001339585935,9.806835656e-05,-6.347278564e-05,4.212132432e-05,0.9999980762
interaction,D_early_to_late,0.7,,352,0.0001169522256,8.969338283e-05,-2.836047536e-05,3.718357613e-05,1
interaction,N_small_to_large,0.8,2.782831,294,0.0001201617219,7.99794477e-05,-1.372516997e-05,3.433865058e-05,0.9999965764
interaction,D_early_to_late,0.8,,240,0.0001092555987,8.376827466e-05,-1.688629552e-05,3.484634913e-05,1
compute_ratio,N_small_to_large,0.5,1.040867,588,0.1252324278,0.05933827504,-0.05761130948,0.02336694172,0.9729175729
compute_ratio,D_early_to_late,0.5,,584,0.09930787789,0.07291947522,-0.07291947522,0.02890863284,0.9987560856
compute_ratio,N_small_to_large,0.6,1.040867,588,0.1252324278,0.05933827504,-0.05761130948,0.02336694172,0.9729175729
compute_ratio,D_early_to_late,0.6,,472,0.09009327105,0.06366020405,-0.06366020405,0.02513970225,0.9989514478
compute_ratio,N_small_to_large,0.7,1.416184,441,0.1250716468,0.07046708011,-0.07046708011,0.02869385666,0.9782600643
compute_ratio,D_early_to_late,0.7,,352,0.08256102289,0.05601363821,-0.05601122838,0.02203103399,0.9997691559
compute_ratio,N_small_to_large,0.8,2.782831,294,0.1220874722,0.07516979968,-0.07516979968,0.0310981629,0.989046966
compute_ratio,D_early_to_late,0.8,,240,0.07700778375,0.05032227413,-0.0503081716,0.01972025284,1
broken_N,N_small_to_large,0.5,1.040867,588,0.000130539195,9.523618525e-05,3.992264532e-05,4.040723737e-05,0.9999988047
broken_N,D_early_to_late,0.5,,584,0.0001207729031,9.277299464e-05,-3.375805824e-05,3.842827637e-05,0.9999996385
broken_N,N_small_to_large,0.6,1.040867,588,0.000130539195,9.523618525e-05,3.992264532e-05,4.040723737e-05,0.9999988047
broken_N,D_early_to_late,0.6,,472,0.0001178055032,8.936880458e-05,-2.738960591e-05,3.699548577e-05,0.9999996862
broken_N,N_small_to_large,0.7,1.416184,441,0.0001311878861,9.430535997e-05,5.505944362e-05,4.044839762e-05,0.9999979362
broken_N,D_early_to_late,0.7,,352,0.0001174518254,9.00516959e-05,-2.836060659e-05,3.735894693e-05,1
broken_N,N_small_to_large,0.8,2.782831,294,0.0001227616921,8.338587105e-05,-2.011353485e-05,3.589506243e-05,0.9999965764
broken_N,D_early_to_late,0.8,,240,0.0001094258067,8.367032699e-05,-1.688636745e-05,3.481447634e-05,1
