draw,budget,N_B,Q_B,L_ctx,cost_model,D_analytic,D_numeric,relative_error
0,7.76560594982e+21,0.157686296976,0.662521351135,4096,power,5584.30796106,5584.30796106,3.25732287014e-16
1,1.05631678561e+21,0.133439960951,0.850807081095,2048,logarithmic,719.680252241,719.680252241,0
2,4.04167062057e+20,0.492763942008,0.736039056591,32768,logarithmic,61.7883666853,61.7883666853,2.29992399501e-16
3,3.06139665705e+20,0.324945161943,0.978551609701,4096,logarithmic,99.3813458368,99.3813458368,0
4,9.29094596361e+18,51.4113925339,0.712324321969,2048,exponential,0.0281647494622,0.0281647494622,0
5,2.45704648559e+20,0.705889943299,0.634424385341,2048,exponential,53.3162585807,53.3162585807,1.33269429378e-16
6,7.58511227174e+18,0.560447032872,0.815974980283,4096,exponential,1.58248867425,1.58248867425,0
7,2.02453394785e+20,48.5372727278,0.820912370927,4096,power,0.608684578219,0.608684578219,0
8,2.91191499669e+22,0.204532634037,0.884315673661,32768,logarithmic,8961.52108016,8961.52108016,0
9,5.80928515395e+21,0.287113212484,0.996241196888,4096,power,931.702457349,931.702457349,1.22020540812e-16
10,8.50058117192e+23,39.9924425734,0.960000239433,2048,power,3270.28070997,3270.28070997,0
11,7.48564103861e+23,24.2726903629,0.6892707621,2048,exponential,4803.49024524,4803.49024524,0
12,2.26555602941e+20,0.209683564106,0.705470897162,4096,exponential,129.238172452,129.238172452,0
13,5.11121871544e+19,2.89326057113,0.964441008479,2048,power,2.30001914063,2.30001914063,0
14,2.32402901673e+22,31.8099446051,0.656389513695,2048,power,113.828598393,113.828598393,0
15,3.12770896644e+19,0.151638421711,0.631389085601,4096,power,26.4909550837,26.4909550837,1.34110441378e-16
16,3.49652937108e+20,10.6999541992,0.77846785497,4096,power,4.71526624262,4.71526624262,1.88362305329e-16
17,3.05346504928e+23,0.485863049365,0.843480702623,32768,logarithmic,45599.1403003,45599.1403003,0
18,1.53587269403e+18,1.99889116966,0.708994441815,2048,power,0.1143826745,0.1143826745,0
19,2.91065227897e+22,9.91252650001,0.9851667061,2048,logarithmic,451.879407101,451.879407101,0
20,1.62370890564e+18,6.55885071727,0.880046473723,4096,exponential,0.035050851099,0.035050851099,0
21,3.7655274825e+22,0.277550594503,0.753180383621,32768,logarithmic,9704.86653102,9704.86653102,1.8743064603e-16
22,1.43230744519e+23,1.54015426336,0.949764887835,32768,power,6294.47855746,6294.47855746,1.44490872988e-16
23,5.03649809218e+19,2.20641254603,0.965419930479,4096,logarithmic,3.1703891614,3.1703891614,1.40074037363e-16
24,5.60139085096e+20,17.7538257081,0.733516695488,2048,exponential,4.90299182027,4.90299182027,0
25,3.32614866688e+23,20.5143723959,0.646152728888,32768,exponential,1290.97627824,1290.97627824,0
26,1.16889501237e+19,0.618027776608,0.841039145116,4096,exponential,2.16348499944,2.16348499944,2.05265675503e-16
27,2.11389894235e+19,0.119564989586,0.638498971804,4096,exponential,23.2184672492,23.2184672492,1.53012412089e-16
28,1.42171180971e+18,1.32216524894,0.786471553316,4096,exponential,0.145510693815,0.145510693815,1.9074595061e-16
29,2.97588108656e+20,9.34086364186,0.658903657919,4096,exponential,4.66056488913,4.66056488913,0
30,1.673330026e+21,0.515582993269,0.956367562121,32768,exponential,181.656489864,181.656489864,0
31,1.46079115e+20,3.92770957126,0.681470459273,2048,exponential,5.7498421391,5.7498421391,1.54470052953e-16
32,7.94553626933e+20,0.238569811499,0.679076324639,32768,exponential,246.977179614,246.977179614,2.30156563248e-16
33,4.29554653153e+20,7.08206210444,0.641964547222,2048,exponential,9.44118195767,9.44118195767,0
34,4.25226269908e+23,38.8001273512,0.808409574793,2048,power,1699.67602555,1699.67602555,0
35,2.51499595626e+21,4.10622295962,0.904673185081,32768,logarithmic,48.1149655799,48.1149655799,0
36,6.1445320092e+21,2.2833428091,0.986463698108,4096,logarithmic,373.532836591,373.532836591,0
37,4.38686795343e+19,0.15658969111,0.81896166591,32768,exponential,14.8139967134,14.8139967134,0
38,4.87276334959e+21,14.4163822399,0.686076265461,2048,power,52.4725811049,52.4725811049,0
39,2.30787629629e+19,0.137052102892,0.745056887914,2048,power,13.0301371855,13.0301371855,2.72653589768e-16
40,5.26523891004e+22,2.7961124179,0.939335855213,4096,exponential,2448.41297758,2448.41297758,0
41,4.12699222176e+22,0.117588900716,0.845755477957,4096,logarithmic,29401.448938,29401.448938,0
42,7.40549420503e+23,60.345597967,0.715040292479,32768,exponential,977.083366924,977.083366924,2.32706525503e-16
43,1.71797350146e+20,1.4792798136,0.827469541161,32768,power,8.47695551301,8.47695551301,2.09551275416e-16
44,2.78148334203e+18,59.6678867623,0.755570238897,2048,logarithmic,0.00726522935294,0.00726522935294,0
45,1.85075725516e+23,27.5585630093,0.817630528213,2048,logarithmic,1044.55861639,1044.55861639,2.17674405127e-16
46,1.12226074984e+18,40.7433451558,0.709938938539,4096,power,0.00403025249534,0.00403025249534,2.15212753789e-16
47,3.48550962567e+20,1.98428710312,0.883445882568,4096,power,21.8815764451,21.8815764451,0
48,6.48082632113e+20,0.480727005517,0.821040293356,32768,logarithmic,98.4374273958,98.4374273958,0
49,1.00985942257e+22,0.908011890975,0.878758197008,2048,exponential,1364.0974332,1364.0974332,0
50,2.73352459893e+20,0.340230146506,0.674406669784,2048,logarithmic,114.720321979,114.720321979,1.23873908912e-16
51,4.16796991979e+21,0.161716823617,0.704006638594,2048,power,2577.97278359,2577.97278359,0
52,1.02248886033e+19,68.5342977293,0.630189183987,32768,power,0.0118825969762,0.0118825969762,0
53,3.55742552934e+20,0.337215661067,0.625394952179,2048,logarithmic,159.333653006,159.333653006,0
54,5.19728156159e+21,23.7752086521,0.741280996791,2048,logarithmic,34.0231376498,34.0231376498,0
55,3.55596937147e+21,15.5358367006,0.64642323494,4096,exponential,33.5280511703,33.5280511703,0
56,1.94067903183e+21,23.3491849204,0.846071050381,32768,power,6.57789434449,6.57789434449,0
57,1.99051110517e+22,54.3039787096,0.864205589996,2048,power,56.8380139182,56.8380139182,2.50023773449e-16
58,3.48400108681e+19,1.56203392009,0.938677487603,32768,power,1.52519612657,1.52519612657,1.45584296377e-16
59,6.13079291374e+21,1.60031679864,0.96110799043,2048,exponential,468.498037038,468.498037038,0
60,4.8029976604e+20,53.4997166409,0.700203989126,4096,logarithmic,1.31555514893,1.31555514893,1.6878395794e-16
61,2.65264476746e+23,10.231297464,0.834073048677,2048,power,3938.57533305,3938.57533305,1.15459858561e-16
62,6.35333186182e+22,37.4646485069,0.843997810862,4096,power,246.857862122,246.857862122,1.15133904126e-16
63,1.01225752018e+18,32.1499563371,0.90283976709,4096,power,0.00456154559332,0.00456154559332,0
64,7.92949486808e+19,21.0398831547,0.885570790603,2048,logarithmic,0.585023325983,0.585023325983,1.89774146656e-16
65,1.46757431708e+18,0.45029205862,0.761639138591,4096,exponential,0.399891538069,0.399891538069,1.38815518576e-16
66,7.22808559851e+21,0.257657635455,0.899151392751,32768,logarithmic,1831.66515134,1831.66515134,0
67,7.13895439352e+23,8.97056258099,0.626409970115,32768,exponential,6335.84232235,6335.84232235,0
68,1.24287461138e+20,0.124068481865,0.6880959856,2048,logarithmic,120.397600741,120.397600741,0
69,1.3302757782e+19,16.0561088557,0.96569356667,2048,power,0.124775413604,0.124775413604,0
70,1.31976594016e+21,0.244640286906,0.613535408211,2048,exponential,825.364942003,825.364942003,0
71,7.75376070278e+23,1.69838946705,0.672943882667,32768,logarithmic,36031.9026281,36031.9026281,2.01930985695e-16
72,1.31727957764e+23,19.8322080513,0.719662009461,4096,logarithmic,971.764618865,971.764618865,1.1699009772e-16
73,5.88918177239e+23,0.10775812946,0.709030429076,32768,exponential,348315.122746,348315.122746,0
74,1.45975717131e+22,17.2989875896,0.757724251027,4096,power,122.704270026,122.704270026,1.15813856455e-16
75,7.325631936e+22,91.4983020507,0.678689621063,32768,power,63.7540389113,63.7540389113,1.11450623034e-16
76,4.2506067928e+18,0.467242947867,0.829357805871,2048,exponential,1.04232447177,1.04232447177,0
77,1.74701385068e+23,13.9920847725,0.615576645989,32768,power,994.197577082,994.197577082,0
78,1.00484772511e+22,0.119019344489,0.759787899788,2048,exponential,7435.03758784,7435.03758784,0
79,2.80954844658e+23,35.5704455615,0.909354476854,4096,power,1145.19787848,1145.19787848,1.98545316678e-16
80,3.33241625055e+22,24.5307138598,0.723128470279,32768,logarithmic,108.099575743,108.099575743,1.31460781576e-16
81,4.02353659909e+22,0.139575954818,0.794190891908,32768,exponential,15718.9041523,15718.9041523,0
82,4.10285916087e+23,14.0882116435,0.853301502981,2048,logarithmic,4512.72749419,4512.72749419,2.01539911937e-16
83,2.52745005277e+20,1.61768807042,0.709965779228,32768,exponential,12.2395973281,12.2395973281,1.45131967318e-16
84,1.07832812689e+23,12.915701978,0.988375726519,32768,logarithmic,661.464646157,661.464646157,0
85,3.342305745e+20,0.44062989984,0.967571101929,4096,exponential,56.0815011073,56.0815011073,0
86,2.98596935821e+23,1.67888869961,0.966389175208,2048,logarithmic,25734.6558138,25734.6558138,1.41364968446e-16
87,9.85604026412e+22,0.362450656252,0.901302944361,4096,power,19238.1985386,19238.1985386,0
88,1.55635975685e+22,0.94554822313,0.718349649294,4096,exponential,2279.92031418,2279.92031418,1.9945756352e-16
89,7.62191765925e+19,24.2046727125,0.842211822554,2048,exponential,0.487516852593,0.487516852593,1.13865091916e-16
90,5.49160332333e+20,3.47306166003,0.887457540174,4096,exponential,21.6451302077,21.6451302077,0
91,1.30501848007e+20,5.91396884118,0.701918572504,32768,power,1.74450651317,1.74450651317,0
92,1.9075094137e+23,7.57958003812,0.719412545375,4096,power,3641.81518711,3641.81518711,1.24868321846e-16
