replicate,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
0,1e+19,0.307744073687,4.03197861463,0.719044007395,3.1730299252,1e+19,7.4449051433e+18,1.53861714113e+18,1.01647771557e+18,0.74449051433,0.153861714113,0.101647771557,1,1.4743761767e-13,False,not_applicable,False,False,False,False,False,False
0,1e+20,0.925567719556,11.4634029154,0.937802753042,2.70000205588,1e+20,6.36609341685e+19,2.76472262864e+19,8.69183954513e+18,0.636609341685,0.276472262864,0.0869183954513,1,9.68114477473e-14,False,not_applicable,False,False,False,False,False,False
0,1e+22,5.43473012187,245.526403128,1,2.15470669357,1e+22,8.00621843277e+21,9.00665877208e+20,1.09311569002e+21,0.800621843277,0.0900665877208,0.109311569002,1,6.66133814775e-15,False,not_applicable,False,False,False,False,False,True
0,1e+24,39.5843190379,3654.9481309,1,1.91601135746,1e+24,8.68071797283e+23,1.34074666615e+22,1.18520736056e+23,0.868071797283,0.0134074666615,0.118520736056,1,8.37108160567e-14,False,not_applicable,False,False,False,False,False,True
1,1e+19,0.312391557636,3.9252111951,0.726833577162,3.17953502354,1e+19,7.35721703572e+18,1.63827759834e+18,1.00450536594e+18,0.735721703572,0.163827759834,0.100450536594,1,1.73194791842e-14,False,not_applicable,False,False,False,False,False,False
1,1e+20,0.946219922817,10.9153394033,0.954742522541,2.70186539666,1e+20,6.19698696464e+19,2.95691774845e+19,8.46095286906e+18,0.619698696464,0.295691774845,0.0846095286906,1,2.53130849615e-13,False,not_applicable,False,False,False,False,False,False
1,1e+22,5.43332023888,245.584374748,1,2.15471564308,1e+22,8.00603132201e+21,9.00878534824e+20,1.09309014317e+21,0.800603132201,0.0900878534824,0.109309014317,1,9.32587340685e-15,False,not_applicable,False,False,False,False,False,True
1,1e+24,39.5649541728,3656.71303048,1,1.91602482672,1e+24,8.68066100845e+23,1.34139408525e+22,1.18519958302e+23,0.868066100845,0.0134139408525,0.118519958302,1,4.84057238737e-14,False,not_applicable,False,False,False,False,False,True
2,1e+19,0.313227579996,3.93476700368,0.724284881517,3.18158861421,1e+19,7.39486527846e+18,1.59548911552e+18,1.00964560602e+18,0.739486527846,0.159548911552,0.100964560602,1,7.9936057773e-15,False,not_applicable,False,False,False,False,False,False
2,1e+20,0.959742106588,10.5875425684,0.964808312656,2.70289892647,1e+20,6.09678624492e+19,3.07079920644e+19,8.32414548639e+18,0.609678624492,0.307079920644,0.0832414548639,1,0.000715293938827,False,not_applicable,False,False,False,False,False,False
2,1e+22,5.43172937418,245.64982086,1,2.15470159251,1e+22,8.00582008638e+21,9.01118611164e+20,1.09306130246e+21,0.800582008638,0.0901118611164,0.109306130246,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,True
2,1e+24,39.5383492648,3659.14056359,1,1.91600907751,1e+24,8.68058265674e+23,1.34228457858e+22,1.1851888854e+23,0.868058265674,0.0134228457858,0.11851888854,1,3.46389583683e-14,False,not_applicable,False,False,False,False,False,True
3,1e+19,0.311561258749,3.97456382663,0.721214030869,3.17993862266,1e+19,7.42992065281e+18,1.55564751406e+18,1.01443183313e+18,0.742992065281,0.155564751406,0.101443183313,1,2.52242671195e-13,False,not_applicable,False,False,False,False,False,False
3,1e+20,0.954383596758,10.7276611295,0.960318106603,2.70265259237,1e+20,6.14298228817e+19,3.01829586342e+19,8.38721848412e+18,0.614298228817,0.301829586342,0.0838721848412,1,0.000967269226878,False,not_applicable,False,False,False,False,False,False
3,1e+22,5.43132936942,245.666282026,1,2.15469864974,1e+22,8.00576695587e+21,9.01178995752e+20,1.09305404838e+21,0.800576695587,0.0901178995752,0.109305404838,1,3.15303338994e-14,False,not_applicable,False,False,False,False,False,True
3,1e+24,39.5318126445,3659.73748302,1,1.91599314757,1e+24,8.68056339041e+23,1.34250354687e+22,1.1851862549e+23,0.868056339041,0.0134250354687,0.11851862549,1,2.0872192863e-14,False,not_applicable,False,False,False,False,False,True
4,1e+19,0.311711574828,3.93849718426,0.725989518359,3.17759635061,1e+19,7.36605095858e+18,1.62823755054e+18,1.00571149088e+18,0.736605095858,0.162823755054,0.100571149088,1,6.70574706874e-14,False,not_applicable,False,False,False,False,False,False
4,1e+20,0.938215555912,11.1236244511,0.948279375925,2.70115971061,1e+20,6.26181449889e+19,2.88323909486e+19,8.54946406249e+18,0.626181449889,0.288323909486,0.0854946406249,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,False
4,1e+22,5.4337866384,245.565194285,1,2.15470158172,1e+22,8.00609322939e+21,9.00808175027e+20,1.09309859559e+21,0.800609322939,0.0900808175027,0.109309859559,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
4,1e+24,39.5714664284,3656.1193181,1,1.91599320951,1e+24,8.68068017127e+23,1.34117629341e+22,1.18520219938e+23,0.868068017127,0.0134117629341,0.118520219938,1,4.26325641456e-14,False,not_applicable,False,False,False,False,False,True
5,1e+19,0.307811455593,4.01509920293,0.721251391252,3.17896776841,1e+19,7.41536118002e+18,1.5721948402e+18,1.01244397978e+18,0.741536118002,0.15721948402,0.101244397978,1,4.03233002544e-13,False,not_applicable,False,False,False,False,False,False
5,1e+20,0.950641448932,10.7916522447,0.958750985778,2.70233462277,1e+20,6.15539515577e+19,3.00418822563e+19,8.40416618601e+18,0.615539515577,0.300418822563,0.0840416618601,1,1.90958360236e-14,False,not_applicable,False,False,False,False,False,False
5,1e+22,5.43770289663,245.404258118,1,2.15466417544,1e+22,8.00661267129e+21,9.00217811985e+20,1.09316951672e+21,0.800661267129,0.0900217811985,0.109316951672,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
5,1e+24,39.6214011291,3651.57324667,1,1.91594158282,1e+24,8.6808269015e+23,1.33950865548e+22,1.18522223295e+23,0.86808269015,0.0133950865548,0.118522223295,1,2.10942374679e-14,False,not_applicable,False,False,False,False,False,True
6,1e+19,0.312197273839,3.92331515838,0.727376520203,3.18118294658,1e+19,7.34908978116e+18,1.64751449405e+18,1.00339572479e+18,0.734908978116,0.164751449405,0.100339572479,1,2.13162820728e-14,False,not_applicable,False,False,False,False,False,False
6,1e+20,0.953900305022,10.7127817468,0.961167366559,2.70246444978,1e+20,6.13135546553e+19,3.03151013491e+19,8.37134399561e+18,0.613135546553,0.303151013491,0.0837134399561,1,7.23865412056e-14,False,not_applicable,False,False,False,False,False,False
