scenario,N_B,lambda_p,strategy,delta_loss,improvement,identified,evidence_note
S0_constant,1,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P1_observed_support,-0.502243797638,0.502243797638,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P2_continuous_support,-0.568650809983,0.568650809983,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,1,1,P3_loose_simplex,-1.19506525986,1.19506525986,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P1_observed_support,-0.502243797638,0.502243797638,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P2_continuous_support,-0.568650809983,0.568650809983,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,7,1,P3_loose_simplex,-1.19506525986,1.19506525986,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P1_observed_support,-0.502243797638,0.502243797638,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P2_continuous_support,-0.568650809983,0.568650809983,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,40,1,P3_loose_simplex,-1.19506525986,1.19506525986,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P1_observed_support,-0.502243797638,0.502243797638,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P2_continuous_support,-0.568650809983,0.568650809983,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S0_constant,100,1,P3_loose_simplex,-1.19506525986,1.19506525986,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P1_observed_support,-0.251718179545,0.251718179545,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P2_continuous_support,-0.285000526355,0.285000526355,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,1,0.501187233627,P3_loose_simplex,-0.598951451594,0.598951451594,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P1_observed_support,-0.207207169509,0.207207169509,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P2_continuous_support,-0.234604240668,0.234604240668,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,7,0.41256292359,P3_loose_simplex,-0.49303961749,0.49303961749,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P1_observed_support,-0.17406384917,0.17406384917,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P2_continuous_support,-0.197078688248,0.197078688248,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,40,0.346572421578,P3_loose_simplex,-0.414176661054,0.414176661054,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
