N_B,scenario,lambda_p,identified
0.001,constant,1,False
0.001,decay_N_power_0.1,1,False
0.001,grow_N_power_0.1,1,False
0.06,constant,1,False
0.06,decay_N_power_0.1,0.6640256796,False
0.06,grow_N_power_0.1,1.505965855,False
1,constant,1,False
1,decay_N_power_0.1,0.5011872336,False
1,grow_N_power_0.1,1.995262315,False
7,constant,1,False
7,decay_N_power_0.1,0.4125629236,False
7,grow_N_power_0.1,2.423872682,False
70,constant,1,False
70,decay_N_power_0.1,0.3277103788,False
70,grow_N_power_0.1,3.051474914,False
120,constant,1,False
120,decay_N_power_0.1,0.3105144931,False
120,grow_N_power_0.1,3.220461596,False
