budget,scenario,cost_model,Q0,L_ctx,bootstrap_replicate,optimum_loss,N_B,D_B,Q_B
1e+19,b172_exponential_q0.2_c2048,exponential,0.2,2048,172,3.18932272812,0.367703045347,3.13803975682,0.742985987707
1e+19,b172_exponential_q0.2_c32768,exponential,0.2,32768,172,3.32088135883,0.259325444703,2.29239500149,0.789363955569
1e+19,b172_exponential_q0.8_c2048,exponential,0.8,2048,172,3.08348301832,0.248288249733,6.28366329069,0.8
1e+19,b172_exponential_q0.8_c32768,exponential,0.8,32768,172,3.23032063375,0.18226658609,4.37043488793,0.8
1e+19,b172_power_q0.2_c2048,power,0.2,2048,172,3.23165924127,0.388277596568,2.98587853874,0.645560127472
1e+19,b172_power_q0.2_c32768,power,0.2,32768,172,3.36465941452,0.27858106373,2.08448445499,0.715191296201
1e+19,b172_power_q0.8_c2048,power,0.8,2048,172,3.08348301832,0.248288249733,6.28366329069,0.8
1e+19,b172_power_q0.8_c32768,power,0.8,32768,172,3.23032063375,0.18226657275,4.3704352078,0.8
1e+19,b172_logarithmic_q0.2_c2048,logarithmic,0.2,2048,172,3.2024270391,0.460841280182,1.80103133756,1
1e+19,b172_logarithmic_q0.2_c32768,logarithmic,0.2,32768,172,3.31578999251,0.300450731688,1.5697837294,1
1e+19,b172_logarithmic_q0.8_c2048,logarithmic,0.8,2048,172,3.04694716017,0.279891694013,4.55511305631,1
1e+19,b172_logarithmic_q0.8_c32768,logarithmic,0.8,32768,172,3.17972920976,0.194964820072,3.51018615775,1
1e+19,b124_exponential_q0.2_c2048,exponential,0.2,2048,124,3.2002867932,0.371493454157,3.07507394407,0.750713101718
1e+19,b124_exponential_q0.2_c32768,exponential,0.2,32768,124,3.33120553043,0.262605070595,2.23548584887,0.799279507275
1e+19,b124_exponential_q0.8_c2048,exponential,0.8,2048,124,3.09371067363,0.249156699059,6.26176123802,0.8
1e+19,b124_exponential_q0.8_c32768,exponential,0.8,32768,124,3.24067751944,0.182775104149,4.35827543614,0.8
1e+19,b124_power_q0.2_c2048,power,0.2,2048,124,3.24349894105,0.38943897478,2.96317826827,0.64891864617
1e+19,b124_power_q0.2_c32768,power,0.2,32768,124,3.37602585355,0.281068838315,2.04476634047,0.723512842807
1e+19,b124_power_q0.8_c2048,power,0.8,2048,124,3.09371067363,0.249156694068,6.26176136345,0.8
1e+19,b124_power_q0.8_c32768,power,0.8,32768,124,3.24067751944,0.182775104149,4.35827543614,0.8
1e+19,b124_logarithmic_q0.2_c2048,logarithmic,0.2,2048,124,3.20239564753,0.460755924088,1.80120881813,1
1e+19,b124_logarithmic_q0.2_c32768,logarithmic,0.2,32768,124,3.31575107344,0.30038176413,1.56999710847,1
1e+19,b124_logarithmic_q0.8_c2048,logarithmic,0.8,2048,124,3.04689595362,0.279830430891,4.55592795957,1
1e+19,b124_logarithmic_q0.8_c32768,logarithmic,0.8,32768,124,3.17966723283,0.194911100787,3.51101727371,1
1e+19,b88_exponential_q0.2_c2048,exponential,0.2,2048,88,3.19771405282,0.36932450286,3.08349554347,0.751636102813
1e+19,b88_exponential_q0.2_c32768,exponential,0.2,32768,88,3.32823988316,0.260753015837,2.25065709094,0.798325753442
1e+19,b88_exponential_q0.8_c2048,exponential,0.8,2048,88,3.09068216832,0.247186232424,6.31167741447,0.8
1e+19,b88_exponential_q0.8_c32768,exponential,0.8,32768,88,3.23733481918,0.181369238808,4.3920581681,0.8
1e+19,b88_power_q0.2_c2048,power,0.2,2048,88,3.24148925579,0.388383286277,2.94616604121,0.653670040512
1e+19,b88_power_q0.2_c32768,power,0.2,32768,88,3.37324660703,0.279719638174,2.04503106126,0.725655750091
1e+19,b88_power_q0.8_c2048,power,0.8,2048,88,3.09068216832,0.247186208823,6.31167801711,0.8
1e+19,b88_power_q0.8_c32768,power,0.8,32768,88,3.23733481918,0.181369238808,4.3920581681,0.8
1e+19,b88_logarithmic_q0.2_c2048,logarithmic,0.2,2048,88,3.20245654729,0.460744545208,1.80123248082,1
1e+19,b88_logarithmic_q0.2_c32768,logarithmic,0.2,32768,88,3.31581413287,0.300367964438,1.57003981037,1
1e+19,b88_logarithmic_q0.8_c2048,logarithmic,0.8,2048,88,3.04694648774,0.279809770765,4.55620283998,1
1e+19,b88_logarithmic_q0.8_c32768,logarithmic,0.8,32768,88,3.17971971683,0.19489234115,3.51130760548,1
1e+22,b172_exponential_q0.2_c2048,exponential,0.2,2048,172,2.15114459531,5.65229163206,248.570624387,1
1e+22,b172_exponential_q0.2_c32768,exponential,0.2,32768,172,2.19871672594,4.03586528576,182.929979622,1
1e+22,b172_exponential_q0.8_c2048,exponential,0.8,2048,172,2.14891956058,5.47470208826,263.783796315,1
1e+22,b172_exponential_q0.8_c32768,exponential,0.8,32768,172,2.19694193247,3.94050714446,191.253099734,1
1e+22,b172_power_q0.2_c2048,power,0.2,2048,172,2.15294065575,5.7943038014,237.353961073,1
1e+22,b172_power_q0.2_c32768,power,0.2,32768,172,2.20016270245,4.11293158942,176.603254675,1
1e+22,b172_power_q0.8_c2048,power,0.8,2048,172,2.14917442511,5.49514786536,261.96046135,1
1e+22,b172_power_q0.8_c32768,power,0.8,32768,172,2.1971442468,3.95142295219,190.271121073,1
1e+22,b172_logarithmic_q0.2_c2048,logarithmic,0.2,2048,172,2.14849336669,5.44044961321,266.882508365,1
1e+22,b172_logarithmic_q0.2_c32768,logarithmic,0.2,32768,172,2.19660420182,3.922256142,192.912395977,1
1e+22,b172_logarithmic_q0.8_c2048,logarithmic,0.8,2048,172,2.14403337239,5.0764267501,303.589585992,1
1e+22,b172_logarithmic_q0.8_c32768,logarithmic,0.8,32768,172,2.1931175951,3.73157837123,211.657755125,1
1e+22,b124_exponential_q0.2_c2048,exponential,0.2,2048,124,2.15115629526,5.65396408084,248.504407669,1
1e+22,b124_exponential_q0.2_c32768,exponential,0.2,32768,124,2.1987248785,4.03688343038,182.887218805,1
1e+22,b124_exponential_q0.8_c2048,exponential,0.8,2048,124,2.14893209288,5.47637124372,263.709374304,1
1e+22,b124_exponential_q0.8_c32768,exponential,0.8,32768,124,2.19695067842,3.94152610845,191.206322143,1
1e+22,b124_power_q0.2_c2048,power,0.2,2048,124,2.15295170583,5.79597981833,237.29345603,1
1e+22,b124_power_q0.2_c32768,power,0.2,32768,124,2.200170384,4.11395016579,176.563383299,1
1e+22,b124_power_q0.8_c2048,power,0.8,2048,124,2.14918686045,5.49681721848,261.887055796,1
1e+22,b124_power_q0.8_c32768,power,0.8,32768,124,2.19715292421,3.95244236491,190.22480216,1
1e+22,b124_logarithmic_q0.2_c2048,logarithmic,0.2,2048,124,2.14850606212,5.44211916875,266.806309587,1
1e+22,b124_logarithmic_q0.2_c32768,logarithmic,0.2,32768,124,2.1966130627,3.92327567864,192.864776549,1
1e+22,b124_logarithmic_q0.8_c2048,logarithmic,0.8,2048,124,2.14404785591,5.07809973551,303.490786329,1
1e+22,b124_logarithmic_q0.8_c32768,logarithmic,0.8,32768,124,2.19312768381,3.7326027496,211.60016091,1
1e+22,b88_exponential_q0.2_c2048,exponential,0.2,2048,88,2.15115304722,5.65432476711,248.49013176,1
1e+22,b88_exponential_q0.2_c32768,exponential,0.2,32768,88,2.19872665257,4.03707375332,182.879227694,1
1e+22,b88_exponential_q0.8_c2048,exponential,0.8,2048,88,2.14892874043,5.47671335593,263.694125861,1
1e+22,b88_exponential_q0.8_c32768,exponential,0.8,32768,88,2.19695235632,3.94170585719,191.19807279,1
1e+22,b88_power_q0.2_c2048,power,0.2,2048,88,2.15294854162,5.79635578801,237.279887574,1
1e+22,b88_power_q0.2_c32768,power,0.2,32768,88,2.20017223556,4.1141475146,176.555660315,1
1e+22,b88_power_q0.8_c2048,power,0.8,2048,88,2.14918351999,5.49716150008,261.871922006,1
1e+22,b88_power_q0.8_c32768,power,0.8,32768,88,2.19715461314,3.95262283948,190.216604312,1
1e+22,b88_logarithmic_q0.2_c2048,logarithmic,0.2,2048,88,2.14850268959,5.44245734876,266.790880297,1
1e+22,b88_logarithmic_q0.2_c32768,logarithmic,0.2,32768,88,2.19661472216,3.92345399227,192.856450481,1
1e+22,b88_logarithmic_q0.8_c2048,logarithmic,0.8,2048,88,2.14404427149,5.0784014352,303.472976026,1
1e+22,b88_logarithmic_q0.8_c32768,logarithmic,0.8,32768,88,2.19312914998,3.73276123615,211.591253029,1
1e+24,b172_exponential_q0.2_c2048,exponential,0.2,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_exponential_q0.2_c32768,exponential,0.2,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b172_exponential_q0.8_c2048,exponential,0.8,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_exponential_q0.8_c32768,exponential,0.8,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b172_power_q0.2_c2048,power,0.2,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_power_q0.2_c32768,power,0.2,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b172_power_q0.8_c2048,power,0.8,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_power_q0.8_c32768,power,0.8,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b172_logarithmic_q0.2_c2048,logarithmic,0.2,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_logarithmic_q0.2_c32768,logarithmic,0.2,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b172_logarithmic_q0.8_c2048,logarithmic,0.8,2048,172,1.97940443907,35.897475,899.679,1
1e+24,b172_logarithmic_q0.8_c32768,logarithmic,0.8,32768,172,1.97940443907,35.897475,899.679,1
1e+24,b124_exponential_q0.2_c2048,exponential,0.2,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_exponential_q0.2_c32768,exponential,0.2,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b124_exponential_q0.8_c2048,exponential,0.8,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_exponential_q0.8_c32768,exponential,0.8,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b124_power_q0.2_c2048,power,0.2,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_power_q0.2_c32768,power,0.2,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b124_power_q0.8_c2048,power,0.8,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_power_q0.8_c32768,power,0.8,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b124_logarithmic_q0.2_c2048,logarithmic,0.2,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_logarithmic_q0.2_c32768,logarithmic,0.2,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b124_logarithmic_q0.8_c2048,logarithmic,0.8,2048,124,1.97942515256,35.897475,899.679,1
1e+24,b124_logarithmic_q0.8_c32768,logarithmic,0.8,32768,124,1.97942515256,35.897475,899.679,1
1e+24,b88_exponential_q0.2_c2048,exponential,0.2,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_exponential_q0.2_c32768,exponential,0.2,32768,88,1.97939876911,35.897475,899.679,1
1e+24,b88_exponential_q0.8_c2048,exponential,0.8,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_exponential_q0.8_c32768,exponential,0.8,32768,88,1.97939876911,35.897475,899.679,1
1e+24,b88_power_q0.2_c2048,power,0.2,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_power_q0.2_c32768,power,0.2,32768,88,1.97939876911,35.897475,899.679,1
1e+24,b88_power_q0.8_c2048,power,0.8,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_power_q0.8_c32768,power,0.8,32768,88,1.97939876911,35.897475,899.679,1
1e+24,b88_logarithmic_q0.2_c2048,logarithmic,0.2,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_logarithmic_q0.2_c32768,logarithmic,0.2,32768,88,1.97939876911,35.897475,899.679,1
1e+24,b88_logarithmic_q0.8_c2048,logarithmic,0.8,2048,88,1.97939876911,35.897475,899.679,1
1e+24,b88_logarithmic_q0.8_c32768,logarithmic,0.8,32768,88,1.97939876911,35.897475,899.679,1
