replicate,cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
0,exponential,0.2,2048,1e+19,0.367106776794,3.13828982951,0.74367356024,3.18978856875,1e+19,6.91252478374e+18,2.61558019102e+18,4.71895025237e+17,0.691252478374,0.261558019102,0.0471895025237,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,False
0,exponential,0.2,2048,1e+22,5.6561965903,248.41607161,1,2.15115236965,1e+22,8.43054082329e+21,9.93934256506e+20,5.75524920203e+20,0.843054082329,0.0993934256506,0.0575524920203,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
0,exponential,0.2,2048,1e+24,40.787270533,3767.45495826,1,1.9139302354,1e+24,9.21985227621e+23,1.50739141739e+22,6.29408582056e+22,0.921985227621,0.0150739141739,0.0629408582056,1,1.28785870857e-14,False,not_applicable,False,False,False,False,False,True
1,power,0.2,2048,1e+19,0.392662871186,2.91573901075,0.655095713973,3.23951313419,1e+19,6.86941470954e+18,2.66163324629e+18,4.68952044171e+17,0.686941470954,0.266163324629,0.0468952044171,1,3.04201108747e-13,False,not_applicable,False,False,False,False,False,False
1,power,0.2,2048,1e+22,5.79675309377,237.265550801,1,2.1529568438,1e+22,8.25221889391e+21,1.1844296296e+21,5.63351476491e+20,0.825221889391,0.11844296296,0.0563351476491,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,True
1,power,0.2,2048,1e+24,40.940412856,3739.66445223,1,1.91407279732,1e+24,9.18620439704e+23,1.86684049455e+22,6.27111553505e+22,0.918620439704,0.0186684049455,0.0627111553505,1,3.77475828373e-15,False,not_applicable,False,False,False,False,False,True
2,logarithmic,0.2,2048,1e+19,0.460793118954,1.8011314747,1,3.20244824343,1e+19,4.97969393923e+18,4.68035895452e+18,3.39947106252e+17,0.497969393923,0.468035895452,0.0339947106252,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
2,logarithmic,0.2,2048,1e+22,5.44123054189,266.846861239,1,2.14849695737,1e+22,8.7118517483e+21,6.93419172354e+20,5.9472907935e+20,0.87118517483,0.0693419172354,0.059472907935,1,1.1990408666e-14,False,not_applicable,False,False,False,False,False,True
2,logarithmic,0.2,2048,1e+24,40.4922762766,3814.78661661,1,1.9137441784,1e+24,9.26816361697e+23,9.9129746781e+21,6.32706636252e+22,0.926816361697,0.0099129746781,0.0632706636252,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
3,exponential,0.6,2048,1e+19,0.31991683369,4.1377201399,0.715585669274,3.16763812196,1e+19,7.94235795511e+18,1.51544374182e+18,5.42198303069e+17,0.794235795511,0.151544374182,0.0542198303069,1,4.35207425653e-14,False,not_applicable,False,False,False,False,False,False
