family,quarter,n,p95,median
bbh,2024Q2,161,0.8115483146067414,0.488
bbh,2024Q3,417,0.812,0.5
bbh,2024Q4,592,0.824,0.492
bbh,2025Q1,686,0.812,0.488
gpqa,2024Q2,157,0.3686868686868687,0.2878787878787879
gpqa,2024Q3,417,0.36363636363636365,0.2875457875457875
gpqa,2024Q4,592,0.38278388278388276,0.29464285714285715
gpqa,2025Q1,686,0.3882783882783883,0.29120879120879123
ifeval,2024Q2,157,0.7748201438848921,0.45083932853717024
ifeval,2024Q3,417,0.8345323741007195,0.5107913669064749
ifeval,2024Q4,592,0.826019184652278,0.5599520383693045
ifeval,2025Q1,686,0.8093525179856115,0.4784172661870504
math,2024Q2,158,0.23338368580060423,0.026016328947925042
math,2024Q3,417,0.29552071756179266,0.03626943005181347
math,2024Q4,592,0.4208376367151294,0.045454545454545456
math,2025Q1,686,0.5010586319218235,0.05925925925925926
mmlu,2024Q2,157,0.4961269946808508,0.3169880319148936
mmlu,2024Q3,417,0.5244514627659574,0.3390957446808511
mmlu,2024Q4,592,0.5402385305851064,0.34466422872340424
mmlu,2025Q1,686,0.5384599401595744,0.331781914893617
musr,2024Q2,157,0.57,0.39453125
musr,2024Q3,417,0.576,0.37890625
musr,2024Q4,592,0.572,0.396
musr,2025Q1,686,0.58,0.3828125
