source,packaged_as,sha256,bytes
rebuild\winner_chain\rebuild\problem1\问题一最终详解.md,问题一最终详解.md,8f70a41fec589d04bbb1a236a6820c7f39758778fc5e094ac458e7a084b97c4d,8203
rebuild\winner_chain\rebuild\problem1\model_card.md,verification/problem1_model_card.md,122e3a39e2d6e2f5c5484140b0362b2bd5233302167b54c5cb623dc2cc428179,3582
rebuild\winner_chain\rebuild\problem2\问题二最终详解.md,问题二最终详解.md,71eb3e0a7a05a10c5c71b748836a9f4ac83e404cebcf062083a030464d1886fa,7872
rebuild\winner_chain\rebuild\problem2\model_card.md,verification/problem2_model_card.md,0e429cff172a895770533a4b4358b84a28ab4ed36c04f2eacbedb4d31f5bcd6b,2358
rebuild\winner_chain\rebuild\problem3\问题三最终详解.md,问题三最终详解.md,2dacfb5f958101ea7168773f201c4964aa910d328b699c15f3f13f5bd4270cab,9792
rebuild\winner_chain\rebuild\problem3\model_card.md,verification/problem3_model_card.md,2d96dd82461e8a7c22d0c27c60361fca55864dcb471707a673469aea90fb179e,2148
rebuild\problem4\问题四最终详解.md,问题四最终详解.md,10a2d27d608dfd316de512632cf6e7efccb285118336537020523ce91cea16e3,3128
rebuild\winner_chain\rebuild\problem4\model_card.md,verification/problem4_model_card.md,04bef2ece43b08b0becaf44cfa78f9e67447d433af7645e4d85ef37808c0c635,2812
rebuild\winner_chain\rebuild\problem1\paper_key_numbers.csv,outputs/tables/problem1_paper_numbers.csv,330a260b494dbef3d7303ab32423683c4875338ca60e68eb5e0c727b397d3479,1923
rebuild\winner_chain\rebuild\problem1\metrics_by_scale.csv,outputs/tables/problem1_scale_metrics.csv,7dfc3c330b03ae6eb63c3185374aa697209f32642be68d13c11a557a099dffef,4317
rebuild\winner_chain\rebuild\problem1\per_domain_paired_bootstrap.csv,outputs/tables/problem1_domain_bootstrap.csv,cc1ce2c93323c1804826d2c8ff96383a16ccd6adb8f2d3a108a3635c4e857571,4848
rebuild\winner_chain\rebuild\problem2\paper_key_numbers.csv,outputs/tables/problem2_paper_numbers.csv,7dda667e5dd6713bf19d551589fae010eac3f39a43aee98a369b8b4c20d5f1a8,2534
rebuild\winner_chain\rebuild\problem2\nd_scorecard.csv,outputs/tables/problem2_nd_scorecard.csv,c4706f6f29662d80dc55254b2c3f0b6f58799df64293624917a55297ab55150e,1076
rebuild\winner_chain\rebuild\problem2\quality_scorecard.csv,outputs/tables/problem2_quality_scorecard.csv,63edc8bf00c252a0b2fe7937ad3e23f29b461ba5697a7af43b12146421339dd9,1182
rebuild\winner_chain\rebuild\problem3\problem3_decision_tournament.csv,outputs/tables/problem3_decision_tournament.csv,e14629019ac31a195ade4790481ae2d78a35e8f5d0f1c62543a4526fe35018ee,37478
rebuild\winner_chain\rebuild\problem4\problem4_model_tournament.csv,outputs/tables/problem4_model_tournament.csv,723f9db70f53cafa696311d5c09f3617fe7a431aa48d6ee1a0283ea80772b983,5035
rebuild\winner_chain\problem4\outputs\tables\quarterly_frontier.csv,outputs/tables/problem4_quarterly_frontier.csv,693bfc0a5f83df56e7809feb905cf95f0984b5ab24b39044392abbaf6e52d976,4665
rebuild\winner_chain\problem4\outputs\tables\frontier_forecast_12m_24m.csv,outputs/tables/problem4_scenarios.csv,3e7b65601de680eb37cc90ba4eed26736ad36e04aac4c7520ad299366229c012,5524
rebuild\problem4\p4_scenario_envelope.csv,outputs/tables/problem4_scenario_envelope.csv,d098905c455a77863cd99a29e86a5efe2193903d15fb0d3c132bca80e0004d03,438
rebuild\winner_chain\problem4\outputs\tables\verification_results.json,verification/problem4_original_checks.json,b6e13ae291c7154d867f4286dbf05efe14ae2e17596a8cd7f9463c5edd840ea8,2897
rebuild\problem4\selected_scope_verification.json,verification/problem4_selected_scope_checks.json,fb1289e412962e6c0b8e2b3a168b455f1dfe04cb2992e8b983850d917a51acf3,736
rebuild\winner_chain\selected_lineage.json,verification/selected_lineage.json,ab7ad3696a2377eade8d66868495ba7c52745a81fed909edf5a02b50ecbe3e1c,815
rebuild\winner_chain\selected_rerun_status.json,verification/selected_rerun_status.json,0bb131a1f99fff2d41bd47bc342337307b0bcb98935f63d0dd4e2cbe91a602c6,2054
rebuild\winner_chain\one_click_run_summary.json,verification/one_click_run_summary.json,bce8c1a89b3edbd651b864a2d54ebca59ff635a4ae7fd104ffa0141d6acff0a2,146
model_baseline_manifest.json,verification/model_baseline_manifest.json,4d5f4003db1ace6ac009ab35295f416783cd4d18eb98e731856cc37f4c72d0c7,1790728
baseline_scorecard.csv,verification/baseline_scorecard.csv,f046b92bfeca31172c00401d96bf5824162cbeabb91fcf0f70978525b87b3ceb,6696
rebuild\winner_chain\rebuild\problem1\selected_model.joblib,outputs/models/problem1_selected.joblib,be8afe5e37ff95583d94ebaa35df0d4c5b6ec85ebeb89664629015acd59ca00b,22195
rebuild\winner_chain\problem2_v2\outputs\models\recommended_model.joblib,outputs/models/problem2_selected.joblib,2bc911487cca1e026a31b18d9811e882041694c43b0d47a5056f4ef7a1e02012,22777
rebuild\winner_chain\rebuild\problem1\figures\one_b_domain_tradeoffs.png,outputs/figures/mixture_effect.png,22cc781587f7990c21f7d8f04fc45d214e54302518ece9c1c991ab2364cb0ec7,75999
rebuild\winner_chain\rebuild\problem2\figures\p2_nd_source_shift.png,outputs/figures/scaling_law.png,b0706ada6f348260d3c99275a95aaeaf025c01991db0f63f104b535306b5900d,79970
rebuild\winner_chain\rebuild\problem2\figures\p2_quality_by_scale.png,outputs/figures/quality_scale.png,2fd4cd3cd9673b7574330249d5647684ab517fc5cf3a9e1fd3500637ddfb00f3,93275
rebuild\winner_chain\rebuild\problem3\figures\p3_evidence_levels.png,outputs/figures/regime_diagram.png,f1946a8805d9b097fc8b31908f7b829c4683d08643d88fc2194a579abc6feb19,199384
rebuild\winner_chain\rebuild\problem3\figures\p3_cap_tradeoff.png,outputs/figures/trust_region.png,07ae22f377c1752c888062bd3af2b105621d57e187b87f6759d6ee216b81fa9b,225780
rebuild\winner_chain\problem4\outputs\figures\open_frontier_over_time.png,outputs/figures/ability_frontier.png,bc53934318a12b6b04eb1eabdac274db7071257a790d0096aa5e66e628e79d6c,94830
rebuild\winner_chain\problem4\outputs\figures\scale_vs_technology_contribution.png,outputs/figures/scale_technology_exploratory.png,cfb4042379b9f72e0763429ffa046bda113f7820f470991e5b2c51529d91f2ec,35788
rebuild\problem4\p4_scenario_envelope.png,outputs/figures/forecast_scenarios_exploratory.png,c9695dbd23a3c5959f9e6318a40b29878d70f04d68ebe1929a2d147d527a3c7d,75138
generated from selected lineage,outputs/figures/overall_framework.png,418c0f65fd1a6646660094153c255ee3e1b5e631cbae2fb22d39bd5c4bbc70ea,51721
