subset,quarter,start_date,end_date,n,median_ability,p90_ability,p95_ability,top3_ability,top1_ability,reported_compute_n,median_compute,p90_compute,parameter_frontier,training_data_frontier
all,2024Q2,2024-06-08,2024-06-30,432,18.25246482157181,25.878368681017886,30.13892821143201,42.229713141052166,44.39894388647036,15,1.68e+23,6.846399999999999e+23,72639000000.0,7000000000000.0
all,2024Q3,2024-07-01,2024-09-30,820,20.973459931356004,32.46377809131232,38.02344006943956,49.95103076403182,51.231323076026946,12,6.2694e+23,7.371000000000001e+24,72000000000.0,18000000000000.0
all,2024Q4,2024-10-01,2024-12-31,1342,23.118276362134274,37.12119124880375,39.53196586479901,50.49178162561652,52.08138397879168,4,6.0765e+23,1.17855e+24,29460000000.0,10960000000000.0
all,2025Q1,2025-01-01,2025-03-13,1891,23.481232873269377,39.665305547250405,41.263164730284934,47.03405142207685,47.21693789116022,1,9.3202015e+23,9.3202015e+23,13300000000.0,
open_w1,2024Q2,2024-06-08,2024-06-29,22,18.439377108933975,32.003295825697364,33.01831747225294,33.58669576607503,35.45667093247413,15,1.68e+23,6.846399999999999e+23,72639000000.0,7000000000000.0
open_w1,2024Q3,2024-07-11,2024-09-27,16,24.97266363243896,36.78866062796827,38.11626137199371,37.339488276157454,38.441143572535815,12,6.2694e+23,7.371000000000001e+24,72000000000.0,18000000000000.0
open_w1,2024Q4,2024-10-10,2024-12-10,5,15.989069166924798,31.50548360062398,32.38392346908129,26.04053216657181,33.2623633375386,4,6.0765e+23,1.17855e+24,29460000000.0,10960000000000.0
open_w1,2025Q1,2025-01-08,2025-01-31,2,28.998675538491128,30.08623735677516,30.222182584060665,28.998675538491128,30.35812781134617,1,9.3202015e+23,9.3202015e+23,13300000000.0,
open_w2,2024Q2,2024-06-08,2024-06-28,12,18.51572205408624,25.58523208810486,28.982145133843897,27.913139721481045,33.059051837739325,10,1.2686400000000001e+23,6.224399999999999e+23,54700000000.00001,7000000000000.0
open_w2,2024Q3,2024-07-18,2024-09-21,9,26.019159924095096,33.57162456766141,35.78979593640387,34.15560012754988,38.00796730514634,6,5.36505e+23,2.5488000000000047e+24,72000000000.0,18000000000000.0
open_w2,2024Q4,2024-10-10,2024-12-10,4,22.42961658108842,31.944703534852636,32.60353343619562,26.04053216657181,33.2623633375386,3,1.428e+23,8.865600000000001e+23,30220000000.0,10960000000000.0
open_w2,2025Q1,2025-01-08,2025-01-31,2,28.998675538491128,30.08623735677516,30.222182584060665,28.998675538491128,30.35812781134617,1,9.3202015e+23,9.3202015e+23,13300000000.0,
c2_inherited_open_sensitivity,2024Q2,2024-06-08,2024-06-29,71,13.688031554930518,29.25746822860332,31.480415201344506,37.46957568896942,43.59406246367795,14,1.79364e+23,6.970800000000001e+23,64855000000.0,7000000000000.0
c2_inherited_open_sensitivity,2024Q3,2024-07-02,2024-09-30,82,24.020009240207393,35.532429421705984,38.420134244023664,44.0263010089645,46.59714569921449,7,8.2188e+23,5.226000000000001e+24,72000000000.0,18000000000000.0
c2_inherited_open_sensitivity,2024Q4,2024-10-07,2024-12-31,84,31.827670410026727,41.16534748433419,42.18943387429477,47.65853461142634,48.10647092442315,1,3.6e+22,3.6e+22,9950000000.0,10820000000000.0
c2_inherited_open_sensitivity,2025Q1,2025-01-01,2025-03-13,183,27.972763681999325,40.60777536405339,41.48556014537647,42.43441039535589,42.55942702673594,1,9.3202015e+23,9.3202015e+23,13300000000.0,
open_pretrained,2024Q2,2024-06-08,2024-06-26,17,20.85408006246059,28.312724516243932,30.958276190389967,30.863034764834552,35.45667093247413,15,1.68e+23,6.846399999999999e+23,63284000000.00001,7000000000000.0
open_pretrained,2024Q3,2024-07-11,2024-09-27,12,22.56572705844176,37.4022768439466,38.2028966254716,36.133391190277045,38.441143572535815,12,6.2694e+23,7.371000000000001e+24,66250000000.000015,18000000000000.0
open_pretrained,2024Q4,2024-10-16,2024-12-10,3,15.989069166924798,29.80770450341584,31.535033920477222,18.825184659342877,33.2623633375386,2,5.5425000000000004e+23,9.6885e+23,28200000000.0,10820000000000.0
open_chat_finetuned,2024Q2,2024-06-12,2024-06-29,5,15.177532740883725,32.73317691384825,32.896114375793786,26.826983035544895,33.059051837739325,0,,,113400000000.0,
open_chat_finetuned,2024Q3,2024-08-19,2024-08-28,2,23.79313754940343,33.21411067051285,34.39173231065153,23.79313754940343,35.56935395079021,0,,,63700000000.0,
open_chat_finetuned,2024Q4,2024-12-07,2024-12-07,1,14.42086519266696,14.42086519266696,14.42086519266696,14.42086519266696,14.42086519266696,1,1.224e+24,1.224e+24,8000000000.0,
open_chat_finetuned,2025Q1,2025-01-08,2025-01-31,2,28.998675538491128,30.08623735677516,30.222182584060665,28.998675538491128,30.35812781134617,1,9.3202015e+23,9.3202015e+23,13300000000.0,
