increase,decrease,delta,loss_change,ci_low,ci_high,sign_stability
ubuntu_irc,pile_cc,0.01,-0.015464379007910978,-0.019659463317261826,-0.011022518430883666,1.0
dm_mathematics,pile_cc,0.01,-0.010771099146357876,-0.013631247082817155,-0.007452673465380699,1.0
stackexchange,pile_cc,0.01,-0.0018514617588634152,-0.0027516135103820226,-0.0007541652682409259,1.0
wikipedia_en,pile_cc,0.01,-0.00029729979773929216,-0.0017096565162593835,0.0010230122087255798,0.6566666666666666
pubmed_abstracts,pile_cc,0.01,0.000284309785977932,-0.0011227798105621245,0.0018022849069289078,0.68
gutenberg_pg_19,pile_cc,0.01,0.00029993948380280244,-0.0016331372516968034,0.0025123883757504277,0.63
arxiv,pile_cc,0.01,0.00045025703401524453,-0.0006026342107173122,0.0014301416452073166,0.7933333333333333
pubmed_central,pile_cc,0.01,0.00045530990141262606,-0.00043797331374499925,0.0014331784858734738,0.82
github,pile_cc,0.01,0.0005031144383922381,-0.000532533080483688,0.0016132227494742857,0.8333333333333334
uspto_backgrounds,pile_cc,0.01,0.0005582021068137877,-0.0006977188165055547,0.001752124368829677,0.8066666666666666
freelaw,pile_cc,0.01,0.0008632477782830605,-0.00028504755821447955,0.0021207789710876884,0.9033333333333333
hackernews,pile_cc,0.01,0.005454436819674058,-0.004067196561677711,0.013916028110709034,0.8566666666666667
europarl,pile_cc,0.01,0.008927548055148726,0.0012678866703405016,0.015213308168804587,0.9933333333333333
nih_exporter,pile_cc,0.01,0.025477145583503003,0.01360609144741436,0.03726335849277935,1.0
philpapers,pile_cc,0.01,0.027313696655851594,0.013012618818697598,0.042533334745736506,1.0
enron_emails,pile_cc,0.01,0.12043391834297967,0.09755837796944589,0.1472340199577034,1.0
