field,domain,n,spearman_raw_vs_Q,spearman_raw_vs_Q_without_self
fineweb_edu,arxiv,1419,0.4505476547653841,0.26128532272125227
fineweb_edu,book,171,0.5967888256893945,0.5063359493124056
fineweb_edu,c4,10000,0.6002408411160098,0.5179919767250277
fineweb_edu,commoncrawl,9640,0.49318466170971725,0.3874647951276184
fineweb_edu,github,10000,0.48859887678185193,0.42632219128433774
fineweb_edu,stackexchange,10000,0.34341867879527754,0.2326353492604472
fineweb_edu,wikipedia,10000,0.715177634974504,0.6571749158996067
fluency_en,arxiv,1419,0.24594062331875174,0.18700218456443937
fluency_en,book,171,0.6450452396380829,0.3425180598555212
fluency_en,c4,10000,0.6716263084217843,0.5983636092747897
fluency_en,commoncrawl,9640,0.5883067481054391,0.4468010559588214
fluency_en,github,10000,0.5076176957875888,0.21804078075253958
fluency_en,stackexchange,10000,0.5770125470515016,0.34886401584367854
fluency_en,wikipedia,10000,0.5318448493659229,0.27713802544986016
modernbert_cleanliness,arxiv,1419,0.12309089405542893,0.11433413801151238
modernbert_cleanliness,book,171,0.594436844505244,0.4852281181750546
modernbert_cleanliness,c4,10000,0.7317888089138882,0.6607345400833454
modernbert_cleanliness,commoncrawl,9640,0.6772544979579929,0.5788145004030668
modernbert_cleanliness,github,10000,0.589817699694177,0.5098786303427862
modernbert_cleanliness,stackexchange,10000,0.6153256057172561,0.5671087997230879
modernbert_cleanliness,wikipedia,10000,0.6854907213509072,0.6064025304760253
modernbert_readability,arxiv,1419,0.5102582041328503,0.4489867283328546
modernbert_readability,book,171,0.641531667746658,0.573170614635083
modernbert_readability,c4,10000,0.721266607332666,0.5713532780535328
modernbert_readability,commoncrawl,9640,0.6522504218734675,0.5672496160037535
modernbert_readability,github,10000,0.6434628758666288,0.4468753771007538
modernbert_readability,stackexchange,10000,0.6432727332367273,0.471592804763928
modernbert_readability,wikipedia,10000,0.7097520371935204,0.604714404095144
modernbert_reasoning,arxiv,1419,-0.23447323552235508,-0.23799420478836364
modernbert_reasoning,book,171,0.5767273861809106,0.40687114503083976
modernbert_reasoning,c4,10000,0.5559121529671216,0.5017553311215533
modernbert_reasoning,commoncrawl,9640,0.5888693633598371,0.4779162164937013
modernbert_reasoning,github,10000,0.5800536890685368,0.4926949859589499
modernbert_reasoning,stackexchange,10000,0.5976125133961252,0.49502289791422893
modernbert_reasoning,wikipedia,10000,0.6307646382095379,0.6017525633232178
modernbert_professionalism,arxiv,1419,-0.3748356796312124,-0.37675980530649134
modernbert_professionalism,book,171,0.6549955600355196,0.5188854489164088
modernbert_professionalism,c4,10000,0.5376497453764975,0.4597418369414184
modernbert_professionalism,commoncrawl,9640,0.4998770946288396,0.3592603030688191
modernbert_professionalism,github,10000,0.3484111894121119,0.25103676811436765
modernbert_professionalism,stackexchange,10000,0.3840802454768025,0.27804142763641426
modernbert_professionalism,wikipedia,10000,0.5439993972992018,0.45686453416695944
dsir_books,arxiv,1419,0.8115764881544985,0.7699467882597427
dsir_books,book,171,0.11537667698658413,0.04593323253413973
dsir_books,c4,10000,-0.2887003935310039,-0.2922425620744256
dsir_books,commoncrawl,9640,-0.07667327593571122,-0.08486200112915272
dsir_books,github,10000,-0.23787854513078543,-0.25493035748930354
dsir_books,stackexchange,10000,-0.1847817112318171,-0.19176503649365037
dsir_books,wikipedia,10000,-0.5957109898131099,-0.6002045613260456
dsir_wiki,arxiv,1419,0.811165145976243,0.7696521054481061
dsir_wiki,book,171,0.23335493316053477,0.18060815513475895
dsir_wiki,c4,10000,-0.2684673482486735,-0.27206839506868397
dsir_wiki,commoncrawl,9640,-0.08030086080744707,-0.08839506012811169
dsir_wiki,github,10000,-0.23862398708223986,-0.25475339651153395
dsir_wiki,stackexchange,10000,-0.19285914670459145,-0.19946258468662584
dsir_wiki,wikipedia,10000,-0.5925635274936353,-0.5967959173959592
dsir_math,arxiv,1419,0.8094393668433307,0.7710585738208686
dsir_math,book,171,0.18266253869969043,0.15223078215374278
dsir_math,c4,10000,-0.29101451502614517,-0.2958939153909391
dsir_math,commoncrawl,9640,-0.0908984790818734,-0.10266041326358612
