dataset,version,n_mixtures,mae,rmse,r2_flat,r2_domain_mean,mape,spearman_mean,bias,mean_loss_mae
test_1m,v1,256,0.2526245320349558,0.3414547121990193,0.8053572518780029,0.7898530825556767,0.052990482314256966,0.9069111814884587,0.054002965823843486,0.19769991761000444
test_1m,v2,256,0.18895674382142047,0.2701792457048059,0.8781358464225814,0.88562953773583,0.03997329250163698,0.9452244396711093,0.04636179268008989,0.16110229025073095
test_60m,v1,256,1.5167120340773097,1.609270783082249,-7.404651078664914,-7.908058536935987,0.43331088364435144,0.903459084546719,1.5133737545121133,1.5133737545121135
test_60m,v2,256,1.5086601993763016,1.5959032456361935,-7.265603170564899,-7.72675327538331,0.4288138684844082,0.9408450270260752,1.50573258136836,1.5057325813683597
test_1B,v1,64,2.911448171039337,2.9820043373612557,-231.96341618579012,-585.3145095152014,1.4495222423455916,0.8881973795435332,2.911448171039337,2.9114481710393365
test_1B,v2,64,2.6202395590321403,2.702111047518439,-190.28352689527634,-475.1314573457045,1.2884498026121618,0.8766659622428852,2.618575902709615,2.6185759027096145
est_10b,v1,63,3.5525668729165925,3.6053638863811317,-185.69307237352905,-234.51441210054648,2.001002944962885,0.6948984069130575,3.5515473544612934,3.551547354461293
est_10b,v2,63,3.5589202893768364,3.6212152419184935,-187.3383120101002,-236.04183965112628,1.9991407891698412,0.6327508658580455,3.558920289376837,3.558920289376837
est_70b,v1,63,3.935163942513662,3.992690589272752,-328.5911374615277,-381.8419225655796,2.8245782346282775,0.6283256754634128,3.934460419174358,3.934460419174359
est_70b,v2,63,3.941833354089902,4.008987833388895,-331.2872590718884,-384.51220169856157,2.8246201774176196,0.553628829142216,3.9418333540899013,3.9418333540899018
