dataset,status,version,n_mixtures,mae,rmse,r2_flat,r2_domain_mean,mape,spearman_mean,bias,mean_loss_mae,mixture_mean_spearman
train_nested_oof,observed_train_oof,v2,512,0.22438318061913756,0.3340097260320916,0.8352708010995845,0.8382748317168448,0.045542638102215705,0.9243789617066024,-0.00020456527896487649,0.19179027891959027,0.6314280278321374
train_nested_oof,observed_train_oof,v3_additive_clr_spline,512,0.1706757399984294,0.25221883135504797,0.9060693390893405,0.9046879144800535,0.03448944971297006,0.9590381724089816,0.0019130535892678915,0.10113333749724354,0.9191464677675925
test_1m,observed,v2,256,0.18895674382142047,0.2701792457048059,0.8781358464225814,0.88562953773583,0.03997329250163698,0.9452244396711093,0.04636179268008989,0.16110229025073095,0.7152845330739298
test_1m,observed,v3_additive_clr_spline,256,0.1467202058375505,0.20817256438217724,0.9276532558967994,0.9213242590268294,0.031053485800154653,0.9645873681708539,0.011795994031651965,0.08783318501367034,0.9288774605172807
test_60m,observed,v2,256,1.5086601993763016,1.5959032456361935,-7.265603170564899,-7.72675327538331,0.4288138684844082,0.9408450270260752,1.50573258136836,1.5057325813683597,0.6822950045777064
test_60m,observed,v3_additive_clr_spline,256,1.4728440418144413,1.5614059700293539,-6.912124387816607,-7.3746573570369,0.4144190563712132,0.9605314761343026,1.471166782719922,1.471166782719922,0.8932142652780954
test_1B,observed,v2,64,2.6202395590321403,2.702111047518439,-190.28352689527634,-475.1314573457045,1.2884498026121618,0.8766659622428852,2.618575902709615,2.6185759027096145,0.5666666666666665
test_1B,observed,v3_additive_clr_spline,64,2.657522360570053,2.7357058924478177,-195.0694796671836,-497.6775438274387,1.3132384011688327,0.8768843336151028,2.6574671932619287,2.6574671932619287,0.6630036630036629
est_10b,estimated_label,v2,63,3.5589202893768364,3.6212152419184935,-187.3383120101002,-236.04183965112628,1.9991407891698412,0.6327508658580455,3.558920289376837,3.558920289376837,-0.6062307987711214
est_10b,estimated_label,v3_additive_clr_spline,63,3.566466256471778,3.639506102613519,-189.24572135492184,-238.06123172466778,2.00271142934202,0.5330609588385629,3.5664662564717777,3.5664662564717786,-0.728878648233487
est_70b,estimated_label,v2,63,3.941833354089902,4.008987833388895,-331.2872590718884,-384.51220169856157,2.8246201774176196,0.553628829142216,3.9418333540899013,3.9418333540899018,-0.6796274961597543
est_70b,estimated_label,v3_additive_clr_spline,63,3.9493793211848427,4.026818912221916,-334.24971103422445,-387.6175250612705,2.8306893124377224,0.4445155880195243,3.9493793211848427,3.949379321184842,-0.799347158218126
