replicate,N_equivalent_B
0,13.41251762
1,13.41305195
2,13.41391049
3,13.41373029
4,13.41395952
5,13.41373098
6,13.41250961
7,13.41529455
8,13.41132347
9,13.41454208
10,13.4151393
11,13.41328005
12,13.41276089
13,13.4121917
14,13.41465237
15,13.41321383
16,13.41276662
17,13.412265
18,13.41447162
19,13.42102576
20,13.41265532
21,13.41327298
22,13.41310198
23,13.41427555
24,13.41219734
25,13.41443262
26,13.41116229
27,13.41407821
28,13.41421362
29,13.41412539
30,13.41506888
31,13.41527125
32,13.41237105
33,13.41116234
34,13.41484611
35,13.41318004
36,13.41471468
37,13.40735008
38,13.41385215
39,13.41276246
40,13.41398338
41,13.41139657
42,13.41416617
43,13.41154188
44,13.41369035
45,13.41489396
46,13.41410707
47,13.41341689
48,13.41357592
49,13.41498615
50,13.4120632
51,13.41374866
52,13.41466012
53,13.41437572
54,13.41465278
55,13.41193832
56,13.41328005
57,13.41315683
58,13.41417721
59,13.41342784
60,13.41222635
61,13.41507883
62,13.41357592
63,13.41439979
64,13.41360295
65,13.41379362
66,13.41258799
67,13.41371569
68,13.41391778
69,13.41247807
70,13.41271823
71,13.41248637
72,13.41219787
73,13.41588729
74,13.41130507
75,13.41383016
76,13.41439979
77,13.4149074
78,13.41449539
79,13.41294725
80,13.42003988
81,13.41319586
82,13.41182476
83,13.41267926
84,13.41498805
85,13.41160897
86,13.41498805
87,13.41500241
88,13.4135526
89,13.4142925
90,13.41236689
91,13.41175122
92,13.41498705
93,13.41321282
94,13.41326464
95,13.41371231
96,13.41433726
97,13.41217468
98,13.41524806
99,13.41497817
100,13.4094423
101,13.41258174
102,13.41392791
103,13.41415807
104,13.41524148
105,13.41412561
106,13.41349291
107,13.41275672
108,13.41294725
109,13.41237299
110,13.41317225
111,13.4147941
112,13.4124132
113,13.41318822
114,13.41500241
115,13.40754706
116,13.41348602
117,13.41367757
118,13.41498705
119,13.41512695
120,13.41307226
121,13.41489033
122,13.4143693
123,13.41333926
124,13.4149648
125,13.41289822
126,13.41258433
127,13.41470464
128,13.41398647
129,13.40918556
130,13.41479626
131,13.41231101
132,13.41491866
133,13.41175316
134,13.41211145
135,13.41251125
136,13.41430794
137,13.41550407
138,13.4148124
139,13.41344511
140,13.41276662
141,13.41319973
142,13.412265
143,13.41272752
144,13.41373508
145,13.41378603
146,13.41264305
147,13.41401101
148,13.41259537
149,13.4135668
150,13.4146107
151,13.41387733
152,13.41507626
153,13.41192684
154,13.41148333
155,13.41268722
156,13.41222562
157,13.41377453
158,13.41395631
159,13.41469517
160,13.41296114
161,13.41261548
162,13.41328691
163,13.41497819
164,13.41172489
165,13.4137026
166,13.4136374
167,13.41367757
168,13.41219707
169,13.41045197
170,13.41432582
171,13.41383625
172,13.41229406
173,13.41282829
174,13.41431921
175,13.41436288
176,13.41328691
177,13.41350257
178,13.41375987
179,13.41828643
180,13.41228211
181,13.41496765
182,13.41345866
183,13.4100264
184,13.41471719
185,13.415911
186,13.41337562
187,13.41312012
188,13.41265532
189,13.41118434
190,13.41085919
191,13.41490392
192,13.41473526
193,13.41417152
194,13.41373097
195,13.41225804
196,13.41229951
197,13.41496359
198,13.41316616
199,13.41226167
