model,held_out_N_B,n,rmse,mae,r2,spearman,bias,relative_error
M1_ND,0.070542,147,0.0002202303685,0.000168755135,0.9999992255,1,8.163257377e-05,5.667518762e-05
M0_mean,0.070542,147,0.587040259,0.5310305151,-4.503042786,,-0.5310305151,0.1761851107
M1_ND,0.162405,147,0.000181818045,0.0001371420549,0.9999994723,1,-3.575904595e-05,4.985390229e-05
M0_mean,0.162405,147,0.379366384,0.2850806608,-1.297266499,,-0.2850806608,0.09914031944
M1_ND,0.409009,147,0.000135110272,0.0001075616941,0.9999997085,1,1.582405567e-06,4.197433978e-05
M0_mean,0.409009,147,0.263600785,0.1055500301,-0.1094585837,,-0.08279727891,0.03523695048
M1_ND,1.040867,147,0.0001545977087,0.0001086572971,0.9999996182,1,2.410557162e-05,4.291918968e-05
M0_mean,1.040867,147,0.2588648258,0.1673109749,-0.07040013509,,0.06638756074,0.06519419871
M1_ND,1.416184,147,0.0001319167476,9.996923389e-05,0.9999997222,1,9.997973701e-06,4.103791639e-05
M0_mean,1.416184,147,0.2718313837,0.1965499045,-0.1794873532,,0.1060400389,0.07911071608
M1_ND,2.782831,147,0.0001144146305,8.191470741e-05,0.9999997909,1,-1.319245692e-05,3.379667881e-05
M0_mean,2.782831,147,0.3081165946,0.2561244442,-0.5160754389,,0.1797675413,0.1082974977
M1_ND,6.86104,147,0.0001350423992,8.315612297e-05,0.9999997088,1,7.16634319e-06,3.454997755e-05
M0_mean,6.86104,147,0.3574628621,0.3212734059,-1.040437147,,0.2552567541,0.1416986469
M1_ND,11.965825,147,0.0001019753192,7.586911578e-05,0.999999834,1,-1.67216291e-05,3.37224512e-05
M0_mean,11.965825,147,0.3841656064,0.3534465719,-1.356193517,,0.2914565598,0.1588259905
