run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,steps,batch_tokens_M,lr,wd,precision,gpu_days,step_time_ms,train_loss,val_loss,ppl,grad_norm_avg,raw_pred,residual_observed_minus_predicted
cerebras_0.111B,0.111,14,0.009548,1000,14.3,0.0006,0.1,bf16,,,6.504,6.4979,663.77,,3.029774547,3.468125453
cerebras_0.111B,0.111,29,0.019095,2000,14.3,0.0006,0.1,bf16,,,5.8141,5.7942,328.4,,2.920507786,2.873692214
cerebras_0.111B,0.111,43,0.028643,3000,14.3,0.0006,0.1,bf16,,,5.4758,5.4529,233.43,,2.870056107,2.582843893
cerebras_0.111B,0.111,57,0.03819,4000,14.3,0.0006,0.1,bf16,,,5.1889,5.1848,178.55,,2.837221749,2.347578251
cerebras_0.111B,0.111,72,0.047738,5000,14.3,0.0006,0.1,bf16,,,5.0567,5.0399,154.46,,2.811902745,2.227997255
cerebras_0.111B,0.111,86,0.057285,6000,14.3,0.0006,0.1,bf16,,,4.9145,4.9005,134.36,,2.793724224,2.106775776
cerebras_0.111B,0.111,100,0.066833,7000,14.3,0.0006,0.1,bf16,,,4.7979,4.7688,117.78,,2.77898729,1.98981271
cerebras_0.111B,0.111,115,0.07638,8000,14.3,0.0006,0.1,bf16,,,4.74,4.7178,111.92,,2.765875439,1.951924561
cerebras_0.111B,0.111,129,0.085928,9000,14.3,0.0006,0.1,bf16,,,4.654,4.6465,104.22,,2.755475381,1.891024619
cerebras_0.111B,0.111,143,0.095476,10000,14.3,0.0006,0.1,bf16,,,4.6171,4.6003,99.52,,2.74642814,1.85387186
cerebras_0.111B,0.111,158,0.105023,11000,14.3,0.0006,0.1,bf16,,,4.5494,4.522,92.02,,2.737914159,1.784085841
cerebras_0.111B,0.111,172,0.114571,12000,14.3,0.0006,0.1,bf16,,,4.4673,4.4305,83.98,,2.730852659,1.699647341
cerebras_0.111B,0.111,186,0.124118,13000,14.3,0.0006,0.1,bf16,,,4.4258,4.4228,83.33,,2.724490982,1.698309018
cerebras_0.111B,0.111,201,0.133666,14000,14.3,0.0006,0.1,bf16,,,4.4239,4.3766,79.57,,2.718321716,1.658278284
cerebras_0.111B,0.111,215,0.143213,15000,14.3,0.0006,0.1,bf16,,,4.3468,4.341,76.79,,2.713073322,1.627926678
cerebras_0.111B,0.111,229,0.152761,16000,14.3,0.0006,0.1,bf16,,,4.3317,4.3079,74.28,,2.70824507,1.59965493
cerebras_0.111B,0.111,244,0.162308,17000,14.3,0.0006,0.1,bf16,,,4.2845,4.2706,71.56,,2.703474318,1.567125682
cerebras_0.111B,0.111,258,0.171856,18000,14.3,0.0006,0.1,bf16,,,4.2927,4.2643,71.12,,2.699348594,1.564951406
