family,N_params_B,D_tokens_B,val_loss,is_converged,raw_pred,residual_observed_minus_predicted
Phi,1.3,405,2.5317,1,2.244649122,0.2870508775
LLaMA,65,11349,1.8828,1,1.866343401,0.01645659874
LLaMA,13,2229,2.0796,1,1.98117102,0.09842898008
LLaMA,33,4583,1.9757,1,1.914802528,0.06089747224
Qwen2,20,3000,2.0858,1,1.949569933,0.1362300672
Qwen2,72,33739,1.8505,1,1.839522006,0.01097799399
Pythia,1.4,129,2.6238,1,2.323803712,0.2999962881
Pythia,12,300,2.1077,1,2.093206845,0.01449315522
Pythia,2.8,300,2.4276,1,2.19055723,0.2370427698
Pythia,0.16,13,3.725,1,2.954828386,0.7701716137
Phi,2.7,1084,2.32,1,2.117759422,0.2022405779
LLaMA,7,1229,2.187,1,2.04183461,0.1451653897
LLaMA,3.5,2200,2.3258,1,2.064907659,0.2608923405
Pythia,0.41,41,3.1611,1,2.607793259,0.5533067415
Pythia,6.9,300,2.3285,1,2.124688192,0.2038118077
Qwen2,0.5,361,2.8399,1,2.376480539,0.4634194614
Phi,14,4790,2.0512,1,1.94985615,0.1013438495
Phi,4.2,350,2.3867,1,2.147825271,0.2388747288
Phi,7,4448,2.1464,1,1.990631407,0.1557685927
Qwen2,7,2221,2.2237,1,2.015983736,0.2077162635
Gemma,2,1049,2.394,1,2.146504566,0.2474954341
Gemma,7,4109,2.0973,1,1.993282461,0.1040175394
Pythia,0.07,6,4.3629,1,3.315188639,1.047711361
Qwen2,1.5,680,2.5398,1,2.198076982,0.3417230175
Pythia,1,111,2.7965,1,2.375739241,0.4207607594
Phi,18,2800,2.0743,1,1.956804457,0.1174955429
GPT2,0.12,40,3,1,2.859357667,0.1406423335
GPT2,0.35,40,2.85,1,2.637325196,0.2126748042
GPT2,0.77,40,2.75,1,2.51839171,0.2316082904
GPT2,1.5,40,2.7,1,2.439916117,0.2600838831
OPT,0.13,300,3.11,1,2.649423742,0.4605762581
OPT,0.35,300,2.88,1,2.446930659,0.4330693409
OPT,1.3,300,2.65,1,2.264896422,0.385103578
OPT,2.7,300,2.5,1,2.193660415,0.306339585
OPT,6.7,300,2.33,1,2.126533058,0.2034669419
OPT,13,300,2.22,1,2.089124048,0.1308759523
OPT,30,300,2.1,1,2.052499333,0.04750066701
BLOOM,0.56,350,2.75,1,2.361621833,0.3883781673
BLOOM,1.7,350,2.55,1,2.226061271,0.3239387291
BLOOM,3,350,2.45,1,2.174162132,0.2758378675
BLOOM,7.1,350,2.3,1,2.112301159,0.1876988411
Falcon,7,1500,2.25,1,2.03264758,0.21735242
Falcon,40,1500,2.05,1,1.950977081,0.09902291884
Mistral,7,8000,2.1,1,1.972729517,0.1272704829
Yi,6,3000,2.1,1,2.014229968,0.08577003192
Yi,34,3000,1.9,1,1.928468405,-0.02846840525
LLaMA,70,15000,1.71,1,1.857385673,-0.1473856732
Qwen2,32,18000,1.95,1,1.878661084,0.07133891568
Qwen2,72,18000,1.85,1,1.852406599,-0.002406598714
Gemma,9,8000,2.1,1,1.957770233,0.142229767
Cerebras-GPT,0.11,2050,2.95,1,2.586261375,0.3637386248
Cerebras-GPT,0.26,2050,2.7,1,2.396164735,0.3038352651
Cerebras-GPT,0.59,2050,2.5,1,2.260098784,0.2399012157
Cerebras-GPT,1.3,2050,2.35,1,2.160342203,0.1896577971
Cerebras-GPT,2.7,2050,2.22,1,2.089106196,0.1308938041
Cerebras-GPT,6.7,2050,2.08,1,2.021978839,0.05802116102
Cerebras-GPT,13,2050,2,1,1.984569829,0.01543017133
