family,N_params_B,D_tokens_B,val_loss,source,is_converged,raw_pred,residual_observed_minus_predicted
GPT-2,1.5,10,2.906,Kaplan et al. 2020,1,2.649300342,0.2566996576
GPT-3,0.125,300,2.761,Kaplan et al. 2020,1,2.658931559,0.1020684413
GPT-3,0.35,300,2.632,Kaplan et al. 2020,1,2.446930659,0.1850693409
GPT-3,0.77,300,2.506,Kaplan et al. 2020,1,2.327997173,0.1780028271
GPT-3,1.3,300,2.415,Kaplan et al. 2020,1,2.264896422,0.150103578
GPT-3,2.6,300,2.318,Kaplan et al. 2020,1,2.196921554,0.1210784455
GPT-3,6.7,300,2.199,Kaplan et al. 2020,1,2.126533058,0.07246694195
GPT-3,13,300,2.12,Kaplan et al. 2020,1,2.089124048,0.03087595226
GPT-3,175,300,2.011,Kaplan et al. 2020,1,2.002273427,0.008726572736
Chinchilla,0.5,5,3.015,Hoffmann et al. 2022,1,2.928343957,0.08665604261
Chinchilla,1,20,2.628,Hoffmann et al. 2022,1,2.580066846,0.04793315429
Chinchilla,1.4,20,2.517,Hoffmann et al. 2022,1,2.541804282,-0.0248042817
Chinchilla,4,80,2.227,Hoffmann et al. 2022,1,2.274574387,-0.04757438652
Chinchilla,7,140,2.106,Hoffmann et al. 2022,1,2.183548522,-0.07754852228
Chinchilla,13,260,1.989,Hoffmann et al. 2022,1,2.099394126,-0.1103941257
Chinchilla,20,400,1.917,Hoffmann et al. 2022,1,2.04951845,-0.1325184496
Chinchilla,40,800,1.818,Hoffmann et al. 2022,1,1.981789305,-0.1637893053
Chinchilla,70,1400,1.71,Hoffmann et al. 2022,1,1.93660184,-0.22660184
Gopher,0.2,300,2.819,Hoffmann et al. 2022,1,2.552927448,0.2660725523
Gopher,0.5,300,2.679,Hoffmann et al. 2022,1,2.389168763,0.2898312371
Gopher,1.4,300,2.484,Hoffmann et al. 2022,1,2.256840867,0.2271591326
Gopher,2.8,300,2.381,Hoffmann et al. 2022,1,2.19055723,0.1904427698
Gopher,7.6,300,2.312,Hoffmann et al. 2022,1,2.118755895,0.1932441047
Gopher,40,300,2.169,Hoffmann et al. 2022,1,2.042121916,0.1268780835
Gopher,280,300,2.057,Hoffmann et al. 2022,1,1.993242905,0.06375709468
LLaMA,7,1000,1.943,Touvron et al. 2023,1,2.05189656,-0.1088965601
LLaMA,13,1000,1.835,Touvron et al. 2023,1,2.017228193,-0.1822281926
LLaMA,33,1000,1.778,Touvron et al. 2023,1,1.977052373,-0.1990523729
LLaMA,65,1400,1.685,Touvron et al. 2023,1,1.938732359,-0.2537323591
LLaMA-2,7,2000,1.849,Touvron et al. 2023,1,2.020256034,-0.1712560345
LLaMA-2,13,2000,1.75,Touvron et al. 2023,1,1.985587667,-0.235587667
LLaMA-2,70,2000,1.617,Touvron et al. 2023,1,1.921087214,-0.3040872141
PaLM,8,780,1.901,Chowdhery et al. 2022,1,2.056710648,-0.1557106476
PaLM,62,780,1.653,Chowdhery et al. 2022,1,1.969166426,-0.3161664265
PaLM,540,780,1.473,Chowdhery et al. 2022,1,1.923838407,-0.4508384066
OPT,1.3,180,2.723,Zhang et al. 2022,1,2.303523637,0.4194763634
OPT,6.7,180,2.417,Zhang et al. 2022,1,2.165160273,0.2518397273
OPT,30,180,2.256,Zhang et al. 2022,1,2.091126548,0.1648734524
OPT,66,180,2.179,Zhang et al. 2022,1,2.064938005,0.1140619947
OPT,175,180,2.042,Zhang et al. 2022,1,2.040900642,0.001099358108
BLOOM,0.56,366,2.628,Scao et al. 2022,1,2.358629126,0.2693708736
BLOOM,1.7,366,2.456,Scao et al. 2022,1,2.223068565,0.2329314355
BLOOM,7.1,366,2.267,Scao et al. 2022,1,2.109308453,0.1576915475
BLOOM,176,366,1.846,Scao et al. 2022,1,1.988549911,-0.142549911
