experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type,prediction_v1,residual_observed_minus_predicted,ND,D_over_N
N0.07_D0005_Q0.05,0.07,5,0.05,1.0401,calibrated,3.698744104,-2.658644104,0.35,71.42857143
N0.07_D0005_Q0.1,0.07,5,0.1,1.1624,calibrated,3.680790144,-2.518390144,0.35,71.42857143
N0.07_D0005_Q0.2,0.07,5,0.2,1.4286,calibrated,3.644853931,-2.216253931,0.35,71.42857143
N0.07_D0005_Q0.3,0.07,5,0.3,1.6112,calibrated,3.608875965,-1.997675965,0.35,71.42857143
N0.07_D0005_Q0.4,0.07,5,0.4,1.8958,calibrated,3.572850185,-1.677050185,0.35,71.42857143
N0.07_D0005_Q0.5,0.07,5,0.5,2.1434,calibrated,3.53676847,-1.39336847,0.35,71.42857143
N0.07_D0005_Q0.6,0.07,5,0.6,2.4434,calibrated,3.500619379,-1.057219379,0.35,71.42857143
N0.07_D0005_Q0.7,0.07,5,0.7,2.6519,calibrated,3.46438556,-0.8124855601,0.35,71.42857143
N0.07_D0005_Q0.8,0.07,5,0.8,2.8801,calibrated,3.42803748,-0.5479374797,0.35,71.42857143
N0.07_D0005_Q0.9,0.07,5,0.9,3.0925,calibrated,3.391512721,-0.2990127215,0.35,71.42857143
N0.07_D0005_Q0.95,0.07,5,0.95,3.2372,calibrated,3.373132685,-0.1359326849,0.35,71.42857143
N0.07_D0005_Q1.0,0.07,5,1,3.3659,calibrated,3.354514282,0.01138571817,0.35,71.42857143
N0.07_D0010_Q0.05,0.07,10,0.05,0.9918,calibrated,3.559347671,-2.567547671,0.7,142.8571429
N0.07_D0010_Q0.95,0.07,10,0.95,3.2059,calibrated,3.233736253,-0.02783625276,0.7,142.8571429
N0.07_D0020_Q0.05,0.07,20,0.05,0.9701,calibrated,3.444532323,-2.474432323,1.4,285.7142857
N0.07_D0020_Q0.1,0.07,20,0.1,1.096,calibrated,3.426578364,-2.330578364,1.4,285.7142857
N0.07_D0020_Q0.2,0.07,20,0.2,1.2839,calibrated,3.390642151,-2.106742151,1.4,285.7142857
N0.07_D0020_Q0.3,0.07,20,0.3,1.4876,calibrated,3.354664185,-1.867064185,1.4,285.7142857
N0.07_D0020_Q0.4,0.07,20,0.4,1.7688,calibrated,3.318638405,-1.549838405,1.4,285.7142857
N0.07_D0020_Q0.5,0.07,20,0.5,1.9631,calibrated,3.28255669,-1.31945669,1.4,285.7142857
N0.07_D0020_Q0.6,0.07,20,0.6,2.1816,calibrated,3.246407599,-1.064807599,1.4,285.7142857
N0.07_D0020_Q0.7,0.07,20,0.7,2.4162,calibrated,3.21017378,-0.79397378,1.4,285.7142857
N0.07_D0020_Q0.8,0.07,20,0.8,2.6428,calibrated,3.1738257,-0.5310256995,1.4,285.7142857
N0.07_D0020_Q0.9,0.07,20,0.9,2.926,calibrated,3.137300941,-0.2113009413,1.4,285.7142857
N0.07_D0020_Q0.95,0.07,20,0.95,2.984,calibrated,3.118920905,-0.1349209048,1.4,285.7142857
N0.07_D0020_Q1.0,0.07,20,1,3.1277,calibrated,3.100302502,0.02739749833,1.4,285.7142857
N0.07_D0050_Q0.05,0.07,50,0.05,0.9392,calibrated,3.323220482,-2.384020482,3.5,714.2857143
N0.07_D0050_Q0.95,0.07,50,0.95,2.8636,calibrated,2.997609064,-0.1340090638,3.5,714.2857143
N0.07_D0100_Q0.05,0.07,100,0.05,0.891,calibrated,3.250043663,-2.359043663,7,1428.571429
N0.07_D0100_Q0.1,0.07,100,0.1,1.0093,calibrated,3.232089704,-2.222789704,7,1428.571429
N0.07_D0100_Q0.2,0.07,100,0.2,1.2339,calibrated,3.19615349,-1.96225349,7,1428.571429
N0.07_D0100_Q0.3,0.07,100,0.3,1.4034,calibrated,3.160175525,-1.756775525,7,1428.571429
N0.07_D0100_Q0.4,0.07,100,0.4,1.6433,calibrated,3.124149744,-1.480849744,7,1428.571429
N0.07_D0100_Q0.5,0.07,100,0.5,1.8327,calibrated,3.08806803,-1.25536803,7,1428.571429
N0.07_D0100_Q0.6,0.07,100,0.6,2.104,calibrated,3.051918939,-0.9479189385,7,1428.571429
N0.07_D0100_Q0.7,0.07,100,0.7,2.3189,calibrated,3.01568512,-0.6967851195,7,1428.571429
N0.07_D0100_Q0.8,0.07,100,0.8,2.4893,calibrated,2.979337039,-0.4900370391,7,1428.571429
N0.07_D0100_Q0.9,0.07,100,0.9,2.727,calibrated,2.942812281,-0.2158122809,7,1428.571429
N0.07_D0100_Q0.95,0.07,100,0.95,2.7802,calibrated,2.924432244,-0.1442322443,7,1428.571429
N0.07_D0100_Q1.0,0.07,100,1,2.8644,calibrated,2.905813841,-0.04141384123,7,1428.571429
N0.07_D0150_Q0.05,0.07,150,0.05,0.8911,calibrated,3.213375779,-2.322275779,10.5,2142.857143
N0.07_D0150_Q0.95,0.07,150,0.95,2.7592,calibrated,2.88776436,-0.12856436,10.5,2142.857143
N0.07_D0300_Q0.05,0.07,300,0.05,0.8812,calibrated,3.159568909,-2.278368909,21,4285.714286
N0.07_D0300_Q0.95,0.07,300,0.95,2.6843,calibrated,2.83395749,-0.1496574905,21,4285.714286
N0.07_D0500_Q0.05,0.07,500,0.05,0.861,calibrated,3.126087573,-2.265087573,35,7142.857143
