E,rmse,A,alpha,B,beta
1.669797563,0.001819850553,0.3652621671,0.3319870715,1.252731374,0.2758114889
1.670297563,0.001775436906,0.3649775447,0.3321844453,1.252425752,0.2759105735
1.670797563,0.001730991252,0.36469306,0.332381936,1.252119869,0.2760097899
1.671297563,0.001686514173,0.3644087137,0.3325795432,1.251813725,0.2761091385
1.671797563,0.001642006317,0.364124504,0.3327772681,1.25150732,0.2762086189
1.672297563,0.001597468412,0.3638404307,0.3329751109,1.251200655,0.2763082312
1.672797563,0.001552901275,0.3635564939,0.3331730715,1.25089373,0.2764079757
1.673297563,0.001508305826,0.3632726922,0.333371151,1.250586545,0.2765078521
1.673797563,0.001463683105,0.3629890261,0.3335693489,1.2502791,0.2766078607
1.674297563,0.00141903429,0.3627054944,0.3337676663,1.249971397,0.2767080013
1.674797563,0.001374360719,0.3624220972,0.333966103,1.249663434,0.2768082742
1.675297563,0.001329663919,0.3621388333,0.3341646599,1.249355213,0.2769086791
1.675797563,0.001284945638,0.3618557027,0.3343633372,1.249046734,0.2770092163
1.676297563,0.001240207885,0.3615727053,0.3345621346,1.248737997,0.2771098859
1.676797563,0.00119545298,0.3612898399,0.3347610534,1.248429002,0.2772106877
1.677297563,0.001150683614,0.3610071065,0.3349600935,1.248119749,0.2773116219
1.677797563,0.001105902925,0.3607245046,0.3351592551,1.24781024,0.2774126886
1.678297563,0.001061114593,0.3604420471,0.3353585289,1.247500459,0.2775138928
1.678797563,0.001016322959,0.360159704,0.335557937,1.247190439,0.2776152233
1.679297563,0.0009715331772,0.3598774911,0.3357574678,1.246880162,0.2777166865
1.679797563,0.0009267514145,0.3595954084,0.3359571213,1.246569629,0.2778182824
1.680297563,0.0008819851034,0.3593134551,0.3361568981,1.24625884,0.2779200111
1.680797563,0.0008372432818,0.3590316308,0.3363567985,1.245947795,0.2780218726
1.681297563,0.0007925370434,0.3587499349,0.3365568231,1.245636495,0.2781238668
1.681797563,0.0007478801484,0.3584683671,0.336756972,1.245324939,0.2782259939
1.682297563,0.0007032898619,0.3581869269,0.3369572458,1.245013129,0.2783282538
1.682797563,0.000658788127,0.3579056137,0.3371576447,1.244701064,0.2784306467
1.683297563,0.0006144032335,0.3576244272,0.3373581691,1.244388745,0.2785331726
1.683797563,0.0005701722418,0.3573433667,0.3375588196,1.244076172,0.2786358314
1.684297563,0.0005261445847,0.357062432,0.3377595963,1.243763345,0.2787386232
1.684797563,0.00048238755,0.3567816226,0.3379604997,1.243450265,0.2788415482
1.685297563,0.0004389948573,0.356500938,0.3381615302,1.243136932,0.2789446063
1.685797563,0.0003961004755,0.3562203777,0.3383626881,1.242823346,0.2790477976
1.686297563,0.0003539015897,0.3559399414,0.3385639737,1.242509507,0.2791511221
1.686797563,0.0003126979999,0.3556596286,0.3387653875,1.242195416,0.2792545799
1.687297563,0.0002729615993,0.3553794387,0.3389669299,1.241881073,0.279358171
1.687797563,0.0002354605826,0.3550993715,0.3391686011,1.241566478,0.2794618955
1.687817563,0.0002340227995,0.3550881714,0.3391766706,1.241553889,0.2794660473
1.687837563,0.0002325906348,0.3550769715,0.3391847403,1.241541299,0.2794701992
1.687857563,0.0002311641946,0.3550657723,0.3391928098,1.241528709,0.2794743516
1.687877563,0.000229743587,0.3550545721,0.3392008804,1.241516119,0.2794785038
1.687897563,0.0002283289226,0.3550433728,0.3392089508,1.241503528,0.2794826564
1.687917563,0.000226920314,0.3550321736,0.3392170214,1.241490937,0.2794868092
1.687937563,0.0002255178765,0.3550209746,0.3392250922,1.241478346,0.2794909623
1.687957563,0.0002241217274,0.3550097759,0.3392331631,1.241465754,0.2794951155
1.687977563,0.0002227319866,0.3549985778,0.339241234,1.241453161,0.2794992692
1.687997563,0.0002213487766,0.3549873793,0.3392493054,1.241440569,0.2795034228
1.688017563,0.0002199722221,0.3549761811,0.339257377,1.241427976,0.2795075767
1.688037563,0.0002186024506,0.3549649831,0.3392654488,1.241415382,0.2795117308
1.688057563,0.0002172395921,0.3549537853,0.3392735209,1.241402788,0.2795158851
1.688077563,0.0002158837791,0.3549425877,0.3392815931,1.241390194,0.2795200396
1.688097563,0.000214535147,0.3549313903,0.3392896655,1.241377599,0.2795241944
1.688117563,0.0002131938338,0.3549201931,0.3392977382,1.241365004,0.2795283493
1.688137563,0.0002118599801,0.354908996,0.3393058111,1.241352409,0.2795325045
1.688157563,0.0002105337295,0.3548977992,0.3393138841,1.241339813,0.2795366599
1.688177563,0.0002092152284,0.3548866025,0.3393219574,1.241327217,0.2795408155
1.688197563,0.0002079046259,0.3548754061,0.3393300309,1.24131462,0.2795449713
1.688217563,0.0002066020741,0.3548642098,0.3393381046,1.241302023,0.2795491273
1.688237563,0.0002053077281,0.3548530138,0.3393461784,1.241289426,0.2795532835
1.688257563,0.0002040217458,0.3548418179,0.3393542525,1.241276828,0.27955744
1.688277563,0.0002027442881,0.3548306222,0.3393623268,1.241264229,0.2795615967
1.688297563,0.0002014755191,0.3548194268,0.3393704013,1.241251631,0.2795657535
1.688317563,0.0002002156057,0.3548082315,0.3393784761,1.241239032,0.2795699106
1.688337563,0.000198964718,0.3547970364,0.339386551,1.241226432,0.2795740679
1.688357563,0.0001977230292,0.3547858415,0.3393946262,1.241213832,0.2795782254
1.688377563,0.0001964907154,0.3547746469,0.3394027015,1.241201232,0.2795823832
1.688397563,0.0001952679562,0.3547634524,0.339410777,1.241188631,0.2795865411
1.688417563,0.0001940549339,0.3547522581,0.3394188528,1.24117603,0.2795906993
1.688437563,0.0001928518343,0.354741064,0.3394269287,1.241163429,0.2795948577
1.688457563,0.000191658846,0.3547298701,0.3394350049,1.241150827,0.2795990162
1.688477563,0.0001904761611,0.3547186763,0.3394430813,1.241138224,0.279603175
1.688497563,0.0001893039744,0.3547074828,0.3394511579,1.241125622,0.2796073341
1.688517563,0.0001881424843,0.3546962895,0.3394592347,1.241113019,0.2796114933
1.688537563,0.000186991892,0.3546850964,0.3394673117,1.241100415,0.2796156527
1.688557563,0.0001858524019,0.3546739035,0.3394753889,1.241087811,0.2796198124
1.688577563,0.0001847242213,0.3546627107,0.3394834663,1.241075207,0.2796239723
1.688597563,0.0001836075608,0.3546515182,0.3394915439,1.241062602,0.2796281323
1.688617563,0.0001825026339,0.3546403258,0.3394996217,1.241049997,0.2796322926
1.688637563,0.0001814096569,0.3546291337,0.3395076998,1.241037391,0.2796364531
1.688657563,0.0001803288492,0.3546179417,0.339515778,1.241024786,0.2796406139
1.688677563,0.000179260433,0.3546067499,0.3395238565,1.241012179,0.2796447748
1.688697563,0.0001782046331,0.3545955584,0.3395319351,1.240999572,0.279648936
1.688717563,0.0001771616772,0.354584367,0.339540014,1.240986965,0.2796530973
1.688737563,0.0001761317956,0.3545731758,0.3395480931,1.240974358,0.2796572589
1.688757563,0.000175115221,0.3545619848,0.3395561723,1.24096175,0.2796614207
1.688777563,0.0001741121887,0.354550794,0.3395642518,1.240949142,0.2796655827
1.688797563,0.000173122936,0.3545396034,0.3395723315,1.240936533,0.2796697449
1.688817563,0.0001721477027,0.354528413,0.3395804114,1.240923924,0.2796739074
1.688837563,0.0001711867306,0.3545172228,0.3395884915,1.240911314,0.27967807
1.688857563,0.0001702402633,0.3545060328,0.3395965719,1.240898704,0.2796822329
1.688877563,0.0001693085462,0.354494843,0.3396046524,1.240886094,0.2796863959
1.688897563,0.0001683918264,0.3544836533,0.3396127331,1.240873483,0.2796905592
1.688917563,0.0001674903522,0.3544724639,0.3396208141,1.240860872,0.2796947227
1.688937563,0.0001666043734,0.3544612747,0.3396288952,1.24084826,0.2796988865
1.688957563,0.0001657341407,0.3544500856,0.3396369766,1.240835648,0.2797030504
1.688977563,0.0001648799057,0.3544388968,0.3396450582,1.240823036,0.2797072145
1.688997563,0.0001640419204,0.3544277081,0.3396531399,1.240810423,0.2797113789
1.689017563,0.0001632204374,0.3544165197,0.3396612219,1.24079781,0.2797155435
1.689037563,0.0001624157095,0.3544053314,0.3396693041,1.240785197,0.2797197082
1.689057563,0.000161627989,0.3543941433,0.3396773865,1.240772583,0.2797238732
1.689077563,0.0001608575282,0.3543829554,0.3396854691,1.240759968,0.2797280385
1.689097563,0.0001601045786,0.3543717678,0.3396935519,1.240747353,0.2797322039
1.689117563,0.0001593693906,0.3543605803,0.3397016349,1.240734738,0.2797363695
1.689137563,0.0001586522134,0.354349393,0.3397097182,1.240722123,0.2797405354
1.689157563,0.0001579532948,0.3543382059,0.3397178016,1.240709507,0.2797447015
1.689177563,0.0001572728805,0.354327019,0.3397258853,1.24069689,0.2797488677
1.689197563,0.0001566112139,0.3543158322,0.3397339691,1.240684274,0.2797530342
1.689217563,0.0001559685362,0.3543046457,0.3397420532,1.240671656,0.2797572009
1.689237563,0.0001553450852,0.3542934594,0.3397501375,1.240659039,0.2797613679
1.689257563,0.0001547410958,0.3542822732,0.339758222,1.240646421,0.279765535
1.689277563,0.0001541567992,0.3542710873,0.3397663067,1.240633802,0.2797697024
1.689297563,0.0001535924224,0.3542599016,0.3397743916,1.240621184,0.2797738699
1.689317563,0.0001530481882,0.354248716,0.3397824767,1.240608564,0.2797780377
1.689337563,0.0001525243147,0.3542375306,0.339790562,1.240595945,0.2797822057
1.689357563,0.0001520210148,0.3542263455,0.3397986475,1.240583325,0.2797863739
1.689377563,0.0001515384958,0.3542151605,0.3398067332,1.240570704,0.2797905423
1.689397563,0.0001510769594,0.3542039757,0.3398148192,1.240558084,0.279794711
1.689417563,0.0001506366008,0.3541927911,0.3398229053,1.240545463,0.2797988798
1.689437563,0.0001502176087,0.3541816067,0.3398309917,1.240532841,0.2798030489
1.689457563,0.0001498201649,0.3541704225,0.3398390783,1.240520219,0.2798072181
1.689477563,0.0001494444438,0.3541592385,0.339847165,1.240507597,0.2798113876
1.689497563,0.000149090612,0.3541480547,0.339855252,1.240494974,0.2798155573
