model,held_N_B,n,rmse,mae,bias,relative_error,spearman
classic,0.070542,147,0.0002202303668,0.0001687551334,8.163256859e-05,5.667518707e-05,1
classic,0.162405,147,0.0001818180448,0.0001371420548,-3.575904556e-05,4.985390225e-05,1
classic,0.409009,147,0.000135110272,0.0001075616941,1.582405041e-06,4.197433979e-05,1
classic,1.040867,147,0.0001545977085,0.000108657297,2.41055712e-05,4.291918965e-05,1
classic,1.416184,147,0.0001319167475,9.996923385e-05,9.997973639e-06,4.103791637e-05,1
classic,2.782831,147,0.0001144146305,8.19147074e-05,-1.319245689e-05,3.37966788e-05,1
classic,6.86104,147,0.000135042399,8.315612289e-05,7.166339622e-06,3.454997752e-05,1
classic,11.965825,147,0.0001019753199,7.586911679e-05,-1.67216328e-05,3.372245161e-05,1
interaction,0.070542,147,0.0002245814849,0.00016935625,8.163691926e-05,5.676417988e-05,1
interaction,0.162405,147,0.0001829604193,0.0001378554047,-3.5759009e-05,5.002428608e-05,1
interaction,0.409009,147,0.0001350974413,0.0001075717981,1.582417928e-06,4.197379486e-05,1
interaction,1.040867,147,0.0001545080751,0.0001086351606,2.410560751e-05,4.291448077e-05,1
interaction,1.416184,147,0.0001326584675,0.0001002229381,9.997912111e-06,4.110419853e-05,1
interaction,2.782831,147,0.0001142903908,8.187132357e-05,-1.319245633e-05,3.378244943e-05,1
interaction,6.86104,147,0.0001349167708,8.312922195e-05,7.16634199e-06,3.453881748e-05,1
interaction,11.965825,147,0.0001034555875,7.644291815e-05,-1.672203902e-05,3.391993322e-05,1
compute_ratio,0.070542,147,0.1816102583,0.168741726,-0.1438197449,0.05800691512,1
compute_ratio,0.162405,147,0.07634833547,0.05911580498,0.004648360889,0.0210721438,1
compute_ratio,0.409009,147,0.07218431488,0.0517742351,0.04648824031,0.01950813265,1
compute_ratio,1.040867,147,0.06899281885,0.05388074863,0.04653873119,0.02143247467,1
compute_ratio,1.416184,147,0.0664324663,0.05009202105,0.04066665789,0.02008408852,1
compute_ratio,2.782831,147,0.06387526776,0.03550319984,0.01985670519,0.0139747792,1
compute_ratio,6.86104,147,0.08260398905,0.02387581297,-0.02377442333,0.008515260582,1
compute_ratio,11.965825,147,0.1100634191,0.06343268728,-0.06343268728,0.02613493635,1
broken_N,0.070542,147,0.000217601371,0.0001663962281,7.424835794e-05,5.586110463e-05,1
broken_N,0.162405,147,0.0001796791162,0.0001349994036,-2.248316515e-05,4.91133967e-05,1
broken_N,0.409009,147,0.0001353976586,0.0001074277472,8.957922525e-06,4.192255351e-05,1
broken_N,1.040867,147,0.0001529955494,0.0001076958226,9.394959481e-06,4.256221066e-05,1
broken_N,1.416184,147,0.0001316556534,9.91033983e-05,-5.58052207e-06,4.063921408e-05,1
broken_N,2.782831,147,0.0001170232407,8.35900948e-05,-2.788856584e-05,3.456124513e-05,1
broken_N,6.86104,147,0.0001381571476,8.748924354e-05,3.003838016e-05,3.650256811e-05,1
broken_N,11.965825,147,0.0001127095932,8.664006826e-05,-5.083403908e-05,3.855276452e-05,1
classic_huber,0.070542,147,0.0002202303668,0.0001687551334,8.163256859e-05,5.667518707e-05,1
classic_huber,0.162405,147,0.0001818180448,0.0001371420548,-3.575904556e-05,4.985390225e-05,1
classic_huber,0.409009,147,0.000135110272,0.0001075616941,1.582405041e-06,4.197433979e-05,1
classic_huber,1.040867,147,0.0001545977085,0.000108657297,2.41055712e-05,4.291918965e-05,1
classic_huber,1.416184,147,0.0001319167475,9.996923385e-05,9.997973639e-06,4.103791637e-05,1
classic_huber,2.782831,147,0.0001144146305,8.19147074e-05,-1.319245689e-05,3.37966788e-05,1
classic_huber,6.86104,147,0.000135042399,8.315612289e-05,7.166339622e-06,3.454997752e-05,1
classic_huber,11.965825,147,0.0001019753199,7.586911679e-05,-1.67216328e-05,3.372245161e-05,1
classic_soft_l1,0.070542,147,0.0002202303664,0.0001687551331,8.163256846e-05,5.667518698e-05,1
classic_soft_l1,0.162405,147,0.0001818180446,0.0001371420546,-3.575904532e-05,4.985390221e-05,1
classic_soft_l1,0.409009,147,0.0001351102959,0.0001075616915,1.582794763e-06,4.197433746e-05,1
classic_soft_l1,1.040867,147,0.0001545977097,0.0001086572973,2.410557128e-05,4.291918972e-05,1
classic_soft_l1,1.416184,147,0.0001319167474,9.996923388e-05,9.997974666e-06,4.10379164e-05,1
classic_soft_l1,2.782831,147,0.0001144146013,8.191468405e-05,-1.319221553e-05,3.379666788e-05,1
classic_soft_l1,6.86104,147,0.0001350424291,8.315614284e-05,7.166738327e-06,3.454998513e-05,1
classic_soft_l1,11.965825,147,0.0001019753196,7.586911671e-05,-1.672163122e-05,3.372245156e-05,1
classic_relative,0.070542,147,0.0002089971947,0.000158318876,5.161564032e-05,5.320047393e-05,1
classic_relative,0.162405,147,0.0001802884327,0.0001355598137,-3.299734025e-05,4.945634517e-05,1
classic_relative,0.409009,147,0.0001365495269,0.0001085337223,-1.704756207e-06,4.221080964e-05,1
classic_relative,1.040867,147,0.0001584829949,0.0001091886658,2.044407599e-05,4.296361212e-05,1
classic_relative,1.416184,147,0.0001272127384,9.777285794e-05,8.928038224e-06,4.033112327e-05,1
classic_relative,2.782831,147,0.000117001915,8.240523844e-05,-1.446994806e-05,3.385736343e-05,1
