replicate,G,kappa,eta_N
0,0.3529274936,1.036075426,0.1664233079
1,0.3625253816,1.010153214,0.162779085
2,0.3530191679,0.9803244294,0.167082053
3,0.3486995406,0.9819508928,0.1678449279
4,0.3623886366,1.024092168,0.1642821706
5,0.3572287923,0.9953442359,0.1549258837
6,0.3639733648,0.9993562546,0.1590313069
7,0.359568402,1.0139148,0.1642568972
8,0.3630879602,1.003706468,0.1738796424
9,0.3614275477,0.9930550508,0.2007623648
10,0.3669953047,0.9833411712,0.1485852617
11,0.3586057651,0.9960347669,0.156775562
12,0.3573977673,1.009331664,0.1661746808
13,0.3553820159,0.9497950579,0.1570821755
14,0.3562248252,1.00057874,0.1643864058
15,0.3607890521,0.9810564477,0.1586579976
16,0.351808946,1.000650349,0.1603645781
17,0.3601883837,0.9528770882,0.1636571471
18,0.3573161021,0.9950764876,0.1623029214
19,0.3687598448,0.9762386273,0.1972368929
20,0.3539199813,0.9847982421,0.1664463668
21,0.3601100797,1.007096758,0.15741208
22,0.3581394566,0.9797811628,0.1783062067
23,0.3571678145,0.9850566176,0.1594530477
24,0.3590267693,1.015101893,0.1690249552
25,0.3528182008,0.9436885202,0.1603888552
26,0.3557548789,1.020735124,0.1687002438
27,0.3639194749,1.01752688,0.1637137536
28,0.3565201006,0.9872951953,0.1649074579
29,0.3532908029,1.01311169,0.1706838955
30,0.3547442935,0.9749883565,0.1572538272
31,0.3627433879,1.0048548,0.1579060762
32,0.3566872603,0.9799374626,0.1810598092
33,0.3572675741,1.018477329,0.166273716
34,0.3591223512,1.031405488,0.1752725523
35,0.3608305192,0.9608238504,0.1546004359
36,0.3575032861,0.9912087559,0.162916432
37,0.3531173698,0.9934937091,0.1653297375
38,0.3545253271,0.9743601256,0.1561612157
39,0.3581333376,0.9663785828,0.1577345489
40,0.3684135523,0.9814997266,0.1599479923
41,0.3515330775,0.9500914224,0.1552550009
42,0.3439852022,1.021084545,0.1702829052
43,0.3626448648,0.9454892498,0.1821196417
44,0.3622506273,0.9883675517,0.1500244699
45,0.3626048484,1.016648832,0.1748505707
46,0.3590532429,1.026521988,0.1678004151
47,0.3755254217,1.001423457,0.1405716932
48,0.3637941366,1.000473986,0.1609190845
49,0.3561618691,0.9812081078,0.1601377136
50,0.3585723099,0.9745220058,0.1596651817
51,0.3562927164,0.95317091,0.1518864467
52,0.3557793906,0.991452457,0.1817103649
53,0.3562647307,1.000419144,0.1589419092
54,0.3570549679,0.9857965931,0.1592066488
55,0.3593541361,0.9848395201,0.1765250221
56,0.3562097761,1.048086617,0.188698225
57,0.3598850137,0.9787232119,0.1750274529
58,0.3539049283,0.9791218038,0.1593767427
59,0.3549088035,1.004279144,0.1581188982
60,0.3559723944,0.9890953662,0.1627298183
61,0.3509226829,0.9848701439,0.1658916564
62,0.3686809491,1.015173544,0.1504585767
63,0.3559796824,0.975429588,0.1539211733
64,0.3627508288,1.011812508,0.1556828137
65,0.3563645904,0.9772708612,0.1807273747
66,0.3570582108,1.006702516,0.1614916926
67,0.3608580224,0.941970886,0.202906573
68,0.3547779628,0.9899285404,0.1830970614
69,0.3533372424,1.019187715,0.1752243499
70,0.3651136345,1.008000486,0.1607829825
71,0.3556952954,0.9756599754,0.1637417567
72,0.3572483308,0.979298458,0.1586526065
73,0.349628842,0.9965458245,0.1731191666
74,0.3656479736,0.9759783163,0.1874403086
75,0.3684965499,1.005605816,0.1490229143
76,0.3580003243,1.021993966,0.1744978928
77,0.3589336599,0.9883557048,0.1759941734
78,0.360816815,0.9733202344,0.1541163842
79,0.3501924236,0.9793392442,0.1654189882
80,0.355673043,0.9911556114,0.1589257432
81,0.3507341331,0.9746392086,0.1639987599
82,0.3617572745,1.00874955,0.1701317476
83,0.3539339037,1.037340983,0.1724776452
84,0.3591560726,0.9761549432,0.1525991617
85,0.3534087302,0.9850075282,0.1602941885
86,0.3515541892,1.025737195,0.1671665556
