lambda_p,budget,strategy,N_B,D_B,Q_B,loss,delta_p,outside_support
0.5,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
0.5,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.92930147312,-0.251121898819,False
0.5,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.58289074201,-0.597532629931,False
0.5,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
0.5,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.90358237426,-0.251121898819,False
0.5,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.55717164315,-0.597532629931,False
0.5,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
0.5,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.66487449755,-0.251121898819,False
0.5,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,1.31846376644,-0.597532629931,False
0.75,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
0.75,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.80374052371,-0.376682848229,False
0.75,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,2.28412442704,-0.896298944897,False
0.75,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
0.75,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.77802142485,-0.376682848229,False
0.75,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,1.25840532818,-0.896298944897,False
0.75,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
0.75,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.53931354814,-0.376682848229,False
0.75,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,1.01969745147,-0.896298944897,False
1,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.6781795743,-0.502243797638,False
1,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,1.98535811208,-1.19506525986,False
1,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.65246047544,-0.502243797638,False
1,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,0.959639013214,-1.19506525986,False
1,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.41375259873,-0.502243797638,False
1,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,0.720931136509,-1.19506525986,False
1.25,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1.25,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.55261862489,-0.627804747048,False
1.25,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,1.68659179711,-1.49383157483,False
1.25,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1.25,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.52689952603,-0.627804747048,False
1.25,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,0.660872698249,-1.49383157483,False
1.25,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1.25,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.28819164932,-0.627804747048,False
1.25,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,0.422164821544,-1.49383157483,False
1.5,1e+19,P0_reference,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,False
1.5,1e+19,P1_observed_support,0.311384923873,3.95550272052,0.724121163537,2.42705767548,-0.753365696457,False
1.5,1e+19,P1_loose_simplex,0.311384923873,3.95550272052,0.724121163537,1.38782548215,-1.79259788979,False
1.5,1e+22,P0_reference,5.43315455833,245.591189004,1,2.15470427308,0,False
1.5,1e+22,P1_observed_support,5.43315455833,245.591189004,1,1.40133857662,-0.753365696457,False
1.5,1e+22,P1_loose_simplex,5.43315455833,245.591189004,1,0.362106383283,-1.79259788979,False
1.5,1e+24,P0_reference,39.56184334,3656.99670841,1,1.91599639637,0,False
1.5,1e+24,P1_observed_support,39.56184334,3656.99670841,1,1.16263069991,-0.753365696457,False
1.5,1e+24,P1_loose_simplex,39.56184334,3656.99670841,1,0.123398506578,-1.79259788979,False
