draw,Q0,L_ctx,cost_model,G,kappa,eta_N,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
0,0.6,4096,logarithmic,0.362020862705,0.998586494417,0.157050232177,1e+19,0.321421750081,3.23017297272,1,3.10378787518,1e+19,6.22948709974e+18,2.91998026157e+18,8.50532638685e+17,0.622948709974,0.291998026157,0.0850532638685,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
0,0.6,4096,logarithmic,0.362020862705,0.998586494417,0.157050232177,1e+22,5.01848231325,284.68936465,1,2.149385632,1e+22,8.57225124758e+21,2.57350715419e+20,1.170398037e+21,0.857225124758,0.0257350715419,0.1170398037,1,6.66133814775e-15,False,not_applicable,False,False,False,False,False,True
0,0.6,4096,logarithmic,0.362020862705,0.998586494417,0.157050232177,1e+24,39.0993856772,3737.89155273,1,1.91564045446,1e+24,8.76895580638e+23,3.378942752e+21,1.1972547661e+23,0.876895580638,0.003378942752,0.11972547661,1,1.70974345792e-14,False,not_applicable,False,False,False,False,False,True
1,0.2,2048,exponential,0.357585850347,0.990487588856,0.151017474966,1e+19,0.366752016057,3.12502628321,0.746684384868,3.19604534671,1e+19,6.87665813759e+18,2.65389533355e+18,4.6944652886e+17,0.687665813759,0.265389533355,0.046944652886,1,2.17603712827e-13,False,not_applicable,False,False,False,False,False,False
1,0.2,2048,exponential,0.357585850347,0.990487588856,0.151017474966,1e+22,5.65455919403,248.480854056,1,2.15115005588,1e+22,8.43029818707e+21,9.94193456694e+20,5.75508356237e+20,0.843029818707,0.0994193456694,0.0575508356237,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,True
1,0.2,2048,exponential,0.357585850347,0.990487588856,0.151017474966,1e+24,40.7640158909,3769.57176238,1,1.91391519059,1e+24,9.21977299341e+23,1.50823836908e+22,6.29403169683e+22,0.921977299341,0.0150823836908,0.0629403169683,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
2,0.8,2048,logarithmic,0.350303744787,0.957697044782,0.157415119052,1e+19,0.279823388825,4.55602164966,1,3.0469314375,1e+19,7.64928850541e+18,1.82852006596e+18,5.22191428636e+17,0.764928850541,0.182852006596,0.0522191428636,1,8.43769498715e-15,False,not_applicable,False,False,False,False,False,True
2,0.8,2048,logarithmic,0.350303744787,0.957697044782,0.157415119052,1e+22,5.0786422894,303.458759128,1,2.14404172453,1e+22,9.24695092317e+21,1.21790560476e+20,6.31258516355e+20,0.924695092317,0.0121790560476,0.0631258516355,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
2,0.8,2048,logarithmic,0.350303744787,0.957697044782,0.157415119052,1e+24,40.1232461097,3882.35984327,1,1.91344016257,1e+24,9.34637276866e+23,1.55815169957e+21,6.38045714341e+22,0.934637276866,0.00155815169957,0.0638045714341,1,1.53210777398e-13,False,not_applicable,False,False,False,False,False,True
3,0.8,4096,exponential,0.354889836305,1.0240353351,0.162308042827,1e+19,0.240567352529,6.09578840077,0.8,3.09827234188,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,7.54951656745e-15,False,not_applicable,False,False,False,False,True,False
3,0.8,4096,exponential,0.354889836305,1.0240353351,0.162308042827,1e+22,5.31170808272,256.142400307,1,2.15312942125,1e+22,8.16332194821e+21,7.22112495125e+20,1.11456555666e+21,0.816332194821,0.0722112495125,0.111456555666,1,1.7763568394e-14,False,not_applicable,False,False,False,False,False,True
3,0.8,4096,exponential,0.354889836305,1.0240353351,0.162308042827,1e+24,39.420848014,3681.37235533,1,1.91588765642,1e+24,8.70736920614e+23,1.03784651577e+22,1.18884614228e+23,0.870736920614,0.0103784651577,0.118884614228,1,2.16049400592e-13,False,not_applicable,False,False,False,False,False,True
4,0.2,2048,power,0.360328058599,0.990391313854,0.167751291983,1e+19,0.396188702916,2.8923484554,0.656007369075,3.24237256705,1e+19,6.87549469755e+18,2.65513819776e+18,4.69367104686e+17,0.687549469755,0.265513819776,0.0469367104686,1,4.4408920985e-16,False,not_applicable,False,False,False,False,False,False
4,0.2,2048,power,0.360328058599,0.990391313854,0.167751291983,1e+22,5.7965885626,237.271487696,1,2.15294544544,1e+22,8.25219115086e+21,1.18445926658e+21,5.63349582565e+20,0.825219115086,0.118445926658,0.0563349582565,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
4,0.2,2048,power,0.360328058599,0.990391313854,0.167751291983,1e+24,40.9372009193,3739.95238866,1,1.91404421265,1e+24,9.1861909418e+23,1.86698423242e+22,6.2711063496e+22,0.91861909418,0.0186698423242,0.062711063496,1,9.54791801178e-15,False,not_applicable,False,False,False,False,False,True
5,0.6,4096,exponential,0.358730982223,0.966891537263,0.160629911382,1e+19,0.313794726237,3.90845075306,0.727121919627,3.18475189511,1e+19,7.3587074044e+18,1.63658374465e+18,1.00470885095e+18,0.73587074044,0.163658374465,0.100470885095,1,2.6645352591e-15,False,not_applicable,False,False,False,False,False,False
5,0.6,4096,exponential,0.358730982223,0.966891537263,0.160629911382,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,6.66133814775e-15,False,not_applicable,False,False,False,False,False,True
5,0.6,4096,exponential,0.358730982223,0.966891537263,0.160629911382,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,2.33368879776e-13,False,not_applicable,False,False,False,False,False,True
6,0.6,4096,exponential,0.358127168433,0.969617627298,0.162276910479,1e+19,0.314086624879,3.90555632508,0.727101878312,3.18434427814,1e+19,7.36009802652e+18,1.63500325626e+18,1.00489871722e+18,0.736009802652,0.163500325626,0.100489871722,1,1.37223565844e-13,False,not_applicable,False,False,False,False,False,False
6,0.6,4096,exponential,0.358127168433,0.969617627298,0.162276910479,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,1.42108547152e-14,False,not_applicable,False,False,False,False,False,True
6,0.6,4096,exponential,0.358127168433,0.969617627298,0.162276910479,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,3.58602036954e-13,False,not_applicable,False,False,False,False,False,True
7,0.2,32768,exponential,0.350553972523,0.950693839112,0.166656050751,1e+19,0.264889424703,2.21700743358,0.800461036557,3.33292136516,1e+19,3.52357094186e+18,2.62774997071e+18,3.84867908743e+18,0.352357094186,0.262774997071,0.384867908743,1,0.043712139156,False,not_applicable,False,False,False,False,False,False
7,0.2,32768,exponential,0.350553972523,0.950693839112,0.166656050751,1e+22,4.03725332259,182.871688739,1,2.19872284471,1e+22,4.42979599782e+21,7.31685493635e+20,4.83851850855e+21,0.442979599782,0.0731685493635,0.483851850855,1,7.32747196253e-14,False,not_applicable,False,False,False,False,False,True
7,0.2,32768,exponential,0.350553972523,0.950693839112,0.166656050751,1e+24,29.932093641,2633.26550196,1,1.93809773223,1e+24,4.72914897519e+23,1.05359237505e+22,5.1654917873e+23,0.472914897519,0.0105359237505,0.51654917873,1,6.43929354283e-15,False,not_applicable,False,False,False,False,False,True
8,0.6,32768,exponential,0.3685011599,0.992296497225,0.155726685969,1e+19,0.238135471306,2.69444289631,0.781564882689,3.30802324452,1e+19,3.84985457412e+18,1.94507760305e+18,4.20506782283e+18,0.384985457412,0.194507760305,0.420506782283,1,1.59872115546e-14,False,not_applicable,False,False,False,False,False,False
8,0.6,32768,exponential,0.3685011599,0.992296497225,0.155726685969,1e+22,4.01079712906,185.122625977,1,2.19822900467,1e+22,4.45493578075e+21,6.79086363797e+20,4.86597785545e+21,0.445493578075,0.0679086363797,0.486597785545,1,9.10382880193e-14,False,not_applicable,False,False,False,False,False,True
8,0.6,32768,exponential,0.3685011599,0.992296497225,0.155726685969,1e+24,29.9019651354,2638.20490232,1,1.93806414901,1e+24,4.73325066057e+23,9.67774179205e+21,5.16997192151e+23,0.473325066057,0.00967774179205,0.516997192151,1,2.22044604925e-16,False,not_applicable,False,False,False,False,False,True
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+19,0.249059185027,6.2642129026,0.8,3.08700921317,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,8.12683254026e-14,False,not_applicable,False,False,False,False,True,False
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+22,5.4769498794,263.683584693,1,2.14892588271,1e+22,8.66509066431e+21,7.43372479677e+20,5.91536856017e+20,0.866509066431,0.0743372479677,0.0591536856017,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+24,40.5556897247,3805.68285894,1,1.91376033256,1e+24,9.26052559307e+23,1.07289193106e+22,6.3218521382e+22,0.926052559307,0.0107289193106,0.063218521382,1,2.15161222172e-13,False,not_applicable,False,False,False,False,False,True
10,0.8,2048,power,0.367091814547,1.03293399589,0.18393772423,1e+19,0.25276476409,6.17237836126,0.8,3.08970237729,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,8.881784197e-16,False,not_applicable,False,False,False,False,True,False
