cost_model,Q_B,g_flop_per_token,dg_dQ
exponential,0.2,33201169.2274,199207015.364
exponential,0.6,365982344.437,2195894066.62
exponential,0.8,1215104175.19,7290625051.12
exponential,1,4034287934.93,24205727609.6
power,0.2,8000000,160000000
power,0.6,648000000,4320000000
power,0.8,2048000000,10240000000
power,1,5000000000,20000000000
logarithmic,0.2,2197224577.34,6666666666.67
logarithmic,0.6,3891820298.11,2857142857.14
logarithmic,0.8,4394449154.67,2222222222.22
logarithmic,1,4795790545.6,1818181818.18
