replicate,E,A,alpha,B,beta,G,kappa,eta_N,source_G,source_kappa,source_eta_N,protocol
0,1.68983168717,0.354021990143,0.339944897266,1.24024150656,0.279913738983,0.352930520721,1.03605180013,0.166419196498,0.3529274936,1.036075426,0.1664233079,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
1,1.68985443636,0.353961145702,0.339983216298,1.24025980521,0.27989362782,0.362520708385,1.01014089431,0.162795591051,0.3625253816,1.010153214,0.162779085,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
2,1.68986145483,0.353890126307,0.340067858335,1.24034192553,0.27987326086,0.353011428168,0.980361958949,0.167067317608,0.3530191679,0.9803244294,0.167082053,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
3,1.68981929379,0.353894220716,0.340065604682,1.24036401947,0.279851783983,0.348700084549,0.982084762389,0.167797767708,0.3486995406,0.9819508928,0.1678449279,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
4,1.68979378021,0.354006916165,0.339957847844,1.24030312813,0.279891564771,0.362388645959,1.02409004189,0.164272272004,0.3623886366,1.024092168,0.1642821706,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
5,1.68970232465,0.354172502731,0.339853456017,1.24019243661,0.279926133542,0.357255373315,0.995279295377,0.154890870815,0.3572287923,0.9953442359,0.1549258837,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
6,1.68976190933,0.354047712717,0.339926853779,1.24031250885,0.279890903873,0.363967333398,0.999417054406,0.159031584181,0.3639733648,0.9993562546,0.1590313069,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
7,1.68989065465,0.353911293942,0.340021363146,1.2402711968,0.279897424916,0.35957720554,1.01382320266,0.164256894598,0.359568402,1.0139148,0.1642568972,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
8,1.6897344615,0.35401076225,0.339949652136,1.24034730396,0.279855152414,0.363079984888,1.003779648,0.173885263332,0.3630879602,1.003706468,0.1738796424,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
9,1.68982584916,0.353905249034,0.340053454779,1.24035852752,0.279860000174,0.361427817095,0.993053591377,0.200760070175,0.3614275477,0.9930550508,0.2007623648,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
10,1.68987418352,0.353895923228,0.340064979758,1.24035767761,0.279889969281,0.367005177318,0.983419454389,0.148540000268,0.3669953047,0.9833411712,0.1485852617,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
11,1.68977024486,0.354027924505,0.339944118,1.24035008868,0.279894788849,0.358604515769,0.996065134283,0.156769239677,0.3586057651,0.9960347669,0.156775562,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
12,1.6899045368,0.353949898983,0.339995094324,1.2402055902,0.279916418845,0.357401964365,1.00927454355,0.166181958766,0.3573977673,1.009331664,0.1661746808,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
13,1.68986229606,0.353888641251,0.340072584053,1.24035263097,0.279876981469,0.355380928434,0.949844895231,0.157030330452,0.3553820159,0.9497950579,0.1570821755,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
14,1.68977316568,0.353928775016,0.34003425861,1.2404500897,0.279856503472,0.356224150584,1.00066518035,0.164355747515,0.3562248252,1.00057874,0.1643864058,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
15,1.68980834608,0.354038155054,0.339936182672,1.24021261192,0.279905808627,0.360791700722,0.981046602186,0.15865331475,0.3607890521,0.9810564477,0.1586579976,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
16,1.68980621367,0.353856777282,0.340095344021,1.24039884798,0.279826012536,0.351793957777,1.00078860037,0.16032584248,0.351808946,1.000650349,0.1603645781,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
17,1.68980754819,0.353896127385,0.340060359411,1.24041080454,0.2798517781,0.360189475516,0.952890285418,0.163635234521,0.3601883837,0.9528770882,0.1636571471,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
18,1.68976080089,0.354059689574,0.339925082208,1.24024707347,0.279901153194,0.357330469513,0.994977015254,0.162273746199,0.3573161021,0.9950764876,0.1623029214,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
19,1.6898583513,0.353926976851,0.340035249207,1.2403326818,0.279889591911,0.36876350291,0.976263546866,0.197249917295,0.3687598448,0.9762386273,0.1972368929,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
20,1.69015033988,0.35375398406,0.34012272749,1.24013468419,0.279942574544,0.353908685191,0.984843651005,0.166506883203,0.3539199813,0.9847982421,0.1664463668,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
21,1.68982339218,0.354016106604,0.339951130942,1.24020593674,0.279899587433,0.360113971766,1.00708424692,0.15740604558,0.3601100797,1.007096758,0.15741208,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
22,1.68978481973,0.353948482594,0.340011020965,1.24031532838,0.279852942538,0.358140355759,0.979779227522,0.178296937912,0.3581394566,0.9797811628,0.1783062067,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
23,1.68981708127,0.353939506463,0.340001883218,1.24028616314,0.279865163415,0.35717013558,0.985012214358,0.15945973526,0.3571678145,0.9850566176,0.1594530477,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
24,1.68976515696,0.354028227592,0.339943941708,1.24023844927,0.279876215871,0.359033045228,1.01508672883,0.169009265193,0.3590267693,1.015101893,0.1690249552,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
25,1.689786761,0.353976287584,0.339973118447,1.240328937,0.279871005005,0.352816475553,0.943696750882,0.160402284988,0.3528182008,0.9436885202,0.1603888552,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
26,1.68988614035,0.353798326554,0.340136602054,1.24041430669,0.279841395633,0.355749566465,1.02080615175,0.168686591189,0.3557548789,1.020735124,0.1687002438,B1 N-cluster bootstrap + B6 N-cluster bootstrap; Q refit conditional on B1 draw
