source,cost_model,budget,replicate,r_N,r_D,r_Q,Q_state,KKT_rel_error,Q_complementarity_ok,budget_ratio
V1_nominal,exponential,1e+19,-1,2.36240297735e-20,2.36240291249e-20,2.36240308369e-20,interior,7.24691865283e-08,True,1
V1_nominal,exponential,1e+22,-1,7.43925362624e-24,7.43925387533e-24,5.12755209497e-23,upper,3.3484086455e-08,True,1
V1_nominal,exponential,1e+24,-1,3.4934698059e-26,3.49347004563e-26,2.49606019605e-24,upper,6.8622088082e-08,True,1
V1_nominal,power,1e+19,-1,2.16398545289e-20,2.16398548363e-20,1.88452445873e-20,lower,1.42066299718e-08,True,1
V1_nominal,power,1e+22,-1,7.50640239559e-24,7.50640225615e-24,6.39038702614e-23,upper,1.85754695185e-08,True,1
V1_nominal,power,1e+24,-1,3.49865629737e-26,3.49865653855e-26,3.03560121895e-24,upper,6.89344626133e-08,True,1
V1_nominal,logarithmic,1e+19,-1,2.50021005698e-20,2.50021012305e-20,8.20728897768e-20,upper,2.64254309353e-08,True,1
V1_nominal,logarithmic,1e+22,-1,7.13793918115e-24,7.1379389598e-24,5.96514041415e-22,upper,3.10103460373e-08,True,1
V1_nominal,logarithmic,1e+24,-1,3.4721427427e-26,3.47214285996e-26,3.25732728024e-23,upper,3.37711624998e-08,True,1
joint_bootstrap,exponential,1e+19,0,2.3498361181e-20,2.34983629774e-20,2.34983639271e-20,interior,1.16862904147e-07,True,1
joint_bootstrap,exponential,1e+20,0,1.75393739553e-21,1.7539372772e-21,1.75393750077e-21,interior,1.27466037919e-07,True,1
joint_bootstrap,exponential,1e+22,0,7.43890734726e-24,7.43890740407e-24,2.72279123267e-23,upper,7.63756486436e-09,True,1
joint_bootstrap,exponential,1e+24,0,3.49326142955e-26,3.49326130902e-26,1.31437876142e-24,upper,3.45020652843e-08,True,1
joint_bootstrap,exponential,1e+19,1,2.36748459678e-20,2.36748481881e-20,2.36748491293e-20,interior,1.33536463894e-07,True,1
joint_bootstrap,exponential,1e+20,1,1.77813877336e-21,1.77813884777e-21,1.77813898442e-21,interior,1.18695053345e-07,True,1
joint_bootstrap,exponential,1e+22,1,7.43881472035e-24,7.43881445731e-24,4.02441899675e-23,upper,3.53612365932e-08,True,1
joint_bootstrap,exponential,1e+24,1,3.49316642967e-26,3.49316618925e-26,1.95633533346e-24,upper,6.88246989307e-08,True,1
joint_bootstrap,exponential,1e+19,2,2.36592472222e-20,2.36592462969e-20,2.36592491169e-20,interior,1.19192235434e-07,True,1
joint_bootstrap,exponential,1e+20,2,1.79345208834e-21,1.79345327264e-21,1.79345175929e-21,interior,8.43822130166e-07,True,1
joint_bootstrap,exponential,1e+22,2,7.43904515078e-24,7.43904476005e-24,5.8694617556e-23,upper,5.25241389223e-08,True,1
joint_bootstrap,exponential,1e+24,2,3.49307817531e-26,3.49307817497e-26,2.82820036597e-24,upper,9.80809345364e-11,True,1
joint_bootstrap,exponential,1e+19,3,2.35920110282e-20,2.35920136386e-20,2.35920151351e-20,interior,1.74079995337e-07,True,1
joint_bootstrap,exponential,1e+20,3,1.78685141209e-21,1.78685192293e-21,1.78685204141e-21,interior,3.52195918212e-07,True,1
joint_bootstrap,exponential,1e+22,3,7.43934596915e-24,7.43934624173e-24,5.65410896377e-23,upper,3.66408078472e-08,True,1
joint_bootstrap,exponential,1e+24,3,3.49332855007e-26,3.49332842961e-26,2.72026557894e-24,upper,3.44834083217e-08,True,1
joint_bootstrap,exponential,1e+19,4,2.36531850816e-20,2.36531863267e-20,2.36531850499e-20,interior,5.39799630825e-08,True,1
