lambda_p,budget,strategy,support_class,N_B,D_B,Q_B,loss,improvement,p_optimum_tied
0,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,0,True
0,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,True
0,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,0,True
0,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,2.15470427308,-0,True
0,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,0,True
0,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,True
0,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,True
0,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,1.91599639637,-0,True
0.25,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.25,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.05486242253,0.12556094941,False
0.25,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,3.03826066944,0.142162702496,False
0.25,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,2.88165705697,0.298766314965,False
0.25,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.25,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,2.02914332367,0.12556094941,False
0.25,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,2.01254157058,0.142162702496,False
0.25,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,1.85593795811,0.298766314965,False
0.25,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.25,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.79043544696,0.12556094941,False
0.25,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.77383369387,0.142162702496,False
0.25,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,1.6172300814,0.298766314965,False
0.5,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.5,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.92930147312,0.251121898819,False
0.5,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.89609796695,0.284325404991,False
0.5,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,2.58289074201,0.597532629931,False
0.5,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.5,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.90358237426,0.251121898819,False
0.5,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.87037886809,0.284325404991,False
0.5,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,1.55717164315,0.597532629931,False
0.5,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.5,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.66487449755,0.251121898819,False
