quarter,n,p90_compute,top3_compute
2019Q1,2,8.149302280000001e+19,5.0391194e+19
2019Q2,4,5.72458549e+21,3.609675433333334e+21
2019Q3,4,6.415490000000001e+21,3.4592333333333336e+21
2019Q4,5,2.8104000000000002e+22,2.0920000000033334e+22
2020Q1,4,2.63198497e+21,1.5572383446666668e+21
2020Q2,3,2.65294668e+19,2.3185778e+19
2020Q3,1,1.45152e+22,1.45152e+22
2020Q4,9,3.0915200000000013e+22,3.4129488199999996e+22
2021Q1,7,4.157400000000002e+22,3.486333333333333e+22
2021Q2,6,5.344e+22,4.062666666666666e+22
2021Q3,4,3.0312000000000002e+22,2.2020000000000003e+22
2021Q4,9,2.4534000000000003e+22,2.581333333333333e+22
2022Q1,2,8.395643072e+22,4.71313504e+22
2022Q2,12,2.1000000000000005e+23,2.5666666666666663e+23
2022Q3,7,3.9139840000000003e+23,3.8352151648333334e+23
2022Q4,3,3.506e+23,1.5649333333333333e+23
2023Q1,9,3.28400000000008e+23,3.543333333333367e+23
2023Q2,24,1.10499328e+23,2.8366666666667003e+23
2023Q3,32,5.020000000000006e+23,1.8633333333333335e+24
2023Q4,35,5.568000000000002e+23,1.816000000003337e+24
2024Q1,24,1.1231999999999998e+24,1.72e+24
2024Q2,49,1.4493600000000022e+24,1.1263333333333332e+25
2024Q3,32,7.84644e+24,2.2409666666666666e+25
2024Q4,24,3.4346589999999997e+24,6.122578633333334e+24
