folder,file,model_name,result_date,tasks
0-hero_Matter-0.2-7B-DPO,detailed_results\0-hero_Matter-0.2-7B-DPO\results_2024-08-07T13-21-02.903091.json,0-hero/Matter-0.2-7B-DPO,1723035419.913854,44
01-ai_Yi-1.5-34B,detailed_results\01-ai_Yi-1.5-34B\results_2024-06-19T03-56-15.142347.json,01-ai/Yi-1.5-34B,1718742335.3500128,45
01-ai_Yi-1.5-34B-32K,detailed_results\01-ai_Yi-1.5-34B-32K\results_2024-06-17T17-59-09.162276.json,01-ai/Yi-1.5-34B-32K,1718619571.7671866,45
01-ai_Yi-1.5-34B-Chat,detailed_results\01-ai_Yi-1.5-34B-Chat\results_2024-06-17T00-49-43.171619.json,01-ai/Yi-1.5-34B-Chat,1718558676.590114,45
01-ai_Yi-1.5-34B-Chat-16K,detailed_results\01-ai_Yi-1.5-34B-Chat-16K\results_2024-07-17T11-40-22.183397.json,01-ai/Yi-1.5-34B-Chat-16K,1721208360.7398815,44
01-ai_Yi-1.5-6B,detailed_results\01-ai_Yi-1.5-6B\results_2024-06-17T14-53-45.170909.json,01-ai/Yi-1.5-6B,1718634784.0164244,45
01-ai_Yi-1.5-6B-Chat,detailed_results\01-ai_Yi-1.5-6B-Chat\results_2024-06-17T10-38-31.759281.json,01-ai/Yi-1.5-6B-Chat,1718619546.3181446,45
01-ai_Yi-1.5-9B,detailed_results\01-ai_Yi-1.5-9B\results_2024-06-16T17-52-34.155462.json,01-ai/Yi-1.5-9B,1718558612.9660494,45
01-ai_Yi-1.5-9B-32K,detailed_results\01-ai_Yi-1.5-9B-32K\results_2024-06-16T17-46-59.477573.json,01-ai/Yi-1.5-9B-32K,1718558160.1665585,45
01-ai_Yi-1.5-9B-Chat,detailed_results\01-ai_Yi-1.5-9B-Chat\results_2024-06-17T09-46-28.414421.json,01-ai/Yi-1.5-9B-Chat,1718615862.7360733,45
01-ai_Yi-1.5-9B-Chat-16K,detailed_results\01-ai_Yi-1.5-9B-Chat-16K\results_2024-06-16T18-02-27.668102.json,01-ai/Yi-1.5-9B-Chat-16K,1718559068.7217603,45
01-ai_Yi-34B,detailed_results\01-ai_Yi-34B\results_2024-06-17T01-51-43.500501.json,01-ai/Yi-34B,1718558544.9369016,45
01-ai_Yi-34B-200K,detailed_results\01-ai_Yi-34B-200K\results_2024-06-17T01-54-37.398814.json,01-ai/Yi-34B-200K,1718558901.6478157,45
01-ai_Yi-34B-Chat,detailed_results\01-ai_Yi-34B-Chat\results_2025-02-13T18-27-04.338360.json,01-ai/Yi-34B-Chat,1718559163.0484014,45
01-ai_Yi-6B,detailed_results\01-ai_Yi-6B\results_2024-06-16T17-47-09.271300.json,01-ai/Yi-6B,1718558729.3290744,45
01-ai_Yi-6B-200K,detailed_results\01-ai_Yi-6B-200K\results_2024-06-16T17-48-55.414532.json,01-ai/Yi-6B-200K,1718558802.0404208,45
01-ai_Yi-6B-Chat,detailed_results\01-ai_Yi-6B-Chat\results_2024-06-16T17-51-39.036011.json,01-ai/Yi-6B-Chat,1718558984.7006216,45
01-ai_Yi-9B,detailed_results\01-ai_Yi-9B\results_2024-06-17T09-47-58.683900.json,01-ai/Yi-9B,1718615861.2595878,45
01-ai_Yi-9B-200K,detailed_results\01-ai_Yi-9B-200K\results_2024-06-16T17-43-23.132103.json,01-ai/Yi-9B-200K,1718557966.2182639,45
01-ai_Yi-Coder-9B-Chat,detailed_results\01-ai_Yi-Coder-9B-Chat\results_2024-09-14T00-02-12.867980.json,01-ai/Yi-Coder-9B-Chat,1726269973.610733,44
1-800-LLMs_Qwen-2.5-14B-Hindi,detailed_results\1-800-LLMs_Qwen-2.5-14B-Hindi\results_2025-02-06T06-30-20.641880.json,1-800-LLMs/Qwen-2.5-14B-Hindi,1738818824.2184627,44
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,detailed_results\1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct\results_2025-02-06T11-27-58.645224.json,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,1738834854.6113088,44
1024m_PHI-4-Hindi,detailed_results\1024m_PHI-4-Hindi\results_2025-02-06T05-43-08.878637.json,1024m/PHI-4-Hindi,1738818621.255595,44
1024m_QWEN-14B-B100,detailed_results\1024m_QWEN-14B-B100\results_2025-02-06T10-49-32.966803.json,1024m/QWEN-14B-B100,1738834967.2484872,44
152334H_miqu-1-70b-sf,detailed_results\152334H_miqu-1-70b-sf\results_2024-07-26T02-32-43.573766.json,152334H/miqu-1-70b-sf,1721946638.936464,44
