folder,detailed_ability,weak_ability,task_count,family_count,coverage,eligible
0-hero_Matter-0.2-7B-DPO,0.24176941673996954,0.1714458804523425,40,6,1.0,True
01-ai_Yi-1.5-34B,0.7297019496641245,0.6576463431122685,40,6,1.0,True
01-ai_Yi-1.5-34B-32K,0.752315944459095,0.663435648896069,40,6,1.0,True
01-ai_Yi-1.5-34B-Chat,0.8115992188103682,0.7602459959699133,40,6,1.0,True
01-ai_Yi-1.5-34B-Chat-16K,0.7779953628246068,0.7115591397849462,40,6,1.0,True
01-ai_Yi-1.5-6B,0.44263130010840446,0.2908602150537634,40,6,1.0,True
01-ai_Yi-1.5-6B-Chat,0.50956708844095,0.37405870527437896,40,6,1.0,True
01-ai_Yi-1.5-9B,0.5908845510149193,0.4411290322580645,40,6,1.0,True
01-ai_Yi-1.5-9B-32K,0.5472263031039769,0.43712728212343877,40,6,1.0,True
01-ai_Yi-1.5-9B-Chat,0.6724482049130683,0.617271505376344,40,6,1.0,True
01-ai_Yi-1.5-9B-Chat-16K,0.5598079132203451,0.4512768817204301,40,6,1.0,True
01-ai_Yi-34B,0.5905488665418646,0.38354873451803984,40,6,1.0,True
01-ai_Yi-34B-200K,0.5948721277517786,0.4182795698924731,40,6,1.0,True
01-ai_Yi-34B-Chat,0.6307610289732488,0.4678628815119773,40,6,1.0,True
01-ai_Yi-6B,0.3785871602272434,0.23947400420379733,40,6,1.0,True
01-ai_Yi-6B-200K,0.3583602023015685,0.21903607969843836,40,6,1.0,True
01-ai_Yi-6B-Chat,0.3248147293738091,0.17494614970382338,40,6,1.0,True
01-ai_Yi-9B,0.48103267281269113,0.3412144761755867,40,6,1.0,True
01-ai_Yi-9B-200K,0.4670219411083143,0.4034426272246941,40,6,1.0,True
01-ai_Yi-Coder-9B-Chat,0.42017084218452655,0.29415724286483574,40,6,1.0,True
1-800-LLMs_Qwen-2.5-14B-Hindi,0.8478532615135332,0.8500269251480883,40,6,1.0,True
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,0.827862131027759,0.8190188172043011,40,6,1.0,True
1024m_PHI-4-Hindi,0.8667650979108377,0.8491518578352182,40,6,1.0,True
1024m_QWEN-14B-B100,0.6859159486736369,0.40615136610122354,40,6,1.0,True
152334H_miqu-1-70b-sf,0.770218397786717,0.6891801075268817,40,6,1.0,True
1TuanPham_T-VisStar-7B-v0.1,0.49306790917221344,0.38496230479267635,40,6,1.0,True
1TuanPham_T-VisStar-v0.1,0.49306790917221344,0.38496230479267635,40,6,1.0,True
3rd-Degree-Burn_L-3.1-Science-Writer-8B,0.5482501043901694,0.4959585077084842,40,6,1.0,True
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,0.3333330043033066,0.13368369368743047,40,6,1.0,True
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,0.2632009363723784,0.11012699295513534,40,6,1.0,True
3rd-Degree-Burn_Llama-Squared-8B,0.37342819520305576,0.22613327164921176,40,6,1.0,True
4season_final_model_test_v2,0.6322974124079109,0.32700632247739214,40,6,1.0,True
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,0.57472347576688,0.5,40,6,1.0,True
AALF_FuseChat-Llama-3.1-8B-SFT-preview,0.6284743081225295,0.5367716096027237,40,6,1.0,True
AALF_gemma-2-27b-it-SimPO-37K,0.28981763631268037,0.1440427239429558,40,6,1.0,True
AALF_gemma-2-27b-it-SimPO-37K-100steps,0.29124439521145673,0.1569059747772161,40,6,1.0,True
AELLM_gemma-2-aeria-infinity-9b,0.5983119413275116,0.31994736628661474,40,6,1.0,True
AELLM_gemma-2-lyco-infinity-9b,0.5844155692010748,0.3605510752688172,40,6,1.0,True
AGI-0_Art-v0-3B,0.34301448606286644,0.15771690767519467,40,6,1.0,True
AGI-0_Artificium-llama3.1-8B-001,0.37995200013005836,0.2139966256709573,40,6,1.0,True
AGI-0_smartllama3.1-8B-001,0.5240054287801754,0.3922715053763441,40,6,1.0,True
