Model,ability,submission_date,compute,training_data,epoch_params,organization,model_type,release_date
01-ai/Yi-1.5-34B,25.6464941942931,2024-06-12,7.344e+23,,34000000000.0,01.AI,pretrained,2024-05-13
01-ai/Yi-1.5-9B,22.153901514184795,2024-06-12,1.90728e+23,,8830000000.0,01.AI,pretrained,2024-05-13
01-ai/Yi-34B,22.373127018936653,2024-06-12,6.1e+23,3100000000000.0,34000000000.0,01.AI,pretrained,2023-11-02
EleutherAI/gpt-neo-2.7B,6.4310478009874465,2024-06-12,7.9e+21,420000000000.0,2700000000.0,EleutherAI,pretrained,2021-03-21
HuggingFaceTB/SmolLM-1.7B,5.576455936269043,2024-07-18,1.03e+22,,1710000000.0,,pretrained,2024-07-16
Qwen/Qwen1.5-14B,20.85408006246059,2024-06-13,3.36e+23,,14000000000.0,Alibaba,pretrained,2024-02-04
Qwen/Qwen1.5-7B,16.024674155407357,2024-06-09,1.68e+23,,7000000000.0,Alibaba,pretrained,2024-02-04
Qwen/Qwen2-0.5B,7.224121473565234,2024-11-30,3.6e+22,12000000000000.0,500000000.0,Alibaba,pretrained,2024-06-07
Qwen/Qwen2-1.5B,10.445452935561454,2024-06-09,6.3e+22,7000000000000.0,1500000000.0,Alibaba,pretrained,2024-06-07
Qwen/Qwen2-57B-A14B,25.0338731324107,2024-06-13,3.7800000000001e+23,,57000000000.0,Alibaba,pretrained,2024-06-07
Qwen/Qwen2-72B,35.45667093247413,2024-06-26,3.02e+24,7000000000000.0,72710000000.0,Alibaba,pretrained,2024-06-07
Qwen/Qwen2-7B,23.9251621404824,2024-06-09,2.9400000000001e+23,7000000000000.0,7000000000.0,Alibaba,pretrained,2024-06-07
Qwen/Qwen2.5-1.5B,13.852701161320264,2024-09-19,1.6632e+23,,1540000000.0,Alibaba,pretrained,2024-09-19
Qwen/Qwen2.5-14B,31.95106269314897,2024-09-19,1.58760000000001e+24,,14700000000.0,Alibaba,pretrained,2024-09-19
Qwen/Qwen2.5-32B,38.00796730514634,2024-09-19,3.51e+24,18000000000000.0,32500000000.0,Alibaba,pretrained,2024-09-17
Qwen/Qwen2.5-3B,18.102770217683673,2024-09-27,3.3372e+23,,3090000000.0,Alibaba,pretrained,2024-09-19
Qwen/Qwen2.5-72B,38.441143572535815,2024-09-19,7.8e+24,18000000000000.0,72700000000.0,Alibaba,pretrained,2024-09-19
Qwen/Qwen2.5-7B,26.019159924095096,2024-09-19,8.2188e+23,,7610000000.0,Alibaba,pretrained,2024-09-19
Qwen/Qwen2.5-Coder-32B,33.2623633375386,2024-12-10,1.0725e+24,,32500000000.0,Alibaba,pretrained,2024-11-12
Qwen/Qwen2.5-Coder-7B,19.209490538962246,2024-09-21,2.5113e+23,,7610000000.0,Alibaba,pretrained,2024-09-18
apple/DCLM-7B,14.112858289728548,2024-08-16,1.05e+23,2500000000000.0,7000000000.0,Apple,pretrained,2024-07-20
bigcode/starcoder2-7b,8.293438376479799,2024-06-09,1.55e+23,658580000000.0,7000000000.0,"Hugging Face,ServiceNow,NVIDIA,BigCode",pretrained,2024-02-29
google/gemma-2-27b,23.926167340782822,2024-08-24,2.106e+24,13000000000000.0,27000000000.0,Google DeepMind,pretrained,2024-06-24
google/gemma-2-9b,21.205286776100692,2024-07-11,4.32e+23,8000000000000.0,9000000000.0,Google DeepMind,pretrained,2024-06-24
meta-llama/Llama-3.1-70B,26.200215843375947,2024-07-23,7.929e+24,15000000000000.0,70000000000.0,Meta AI,pretrained,2024-07-23
meta-llama/Llama-3.1-8B,14.42086519266696,2024-12-07,1.224e+24,,8000000000.0,Meta AI,chat_finetuned,2024-07-23
microsoft/phi-1,5.574318195377169,2024-06-13,3.3234195e+20,,1300000000.0,Microsoft Research,pretrained,2023-10-02
microsoft/phi-4,29.48341679122318,2025-01-08,9.3202015e+23,,14000000000.0,Microsoft Research,pretrained,2024-12-12
mosaicml/mpt-7b,6.032029339143736,2024-06-08,4.2e+22,,7000000000.0,MosaicML,pretrained,2023-05-05
rhymes-ai/Aria,28.870163995252046,2024-10-10,1.428e+23,6800000000000.0,24900000000.0,Rhymes AI,other,2024-10-08
stabilityai/stablelm-2-1_6b,5.316831473392678,2024-06-12,1.92e+22,2000000000000.0,1644417024.0,Stability AI,pretrained,2024-01-18
tiiuae/falcon-7b,5.1734447203194796,2024-06-09,6.3e+22,1500000000000.0,7000000000.0,Technology Innovation Institute,pretrained,2023-04-24
