license,classification,count,note
<missing>,missing,1753,Label-based research filter; legal permissions require reading license text.
apache-2.0,permissive,1482,Label-based research filter; legal permissions require reading license text.
other,unclear,296,Label-based research filter; legal permissions require reading license text.
mit,permissive,284,Label-based research filter; legal permissions require reading license text.
llama3.1,custom,178,Label-based research filter; legal permissions require reading license text.
cc-by-nc-4.0,research-only,125,Label-based research filter; legal permissions require reading license text.
gemma,custom,123,Label-based research filter; legal permissions require reading license text.
llama3.2,custom,121,Label-based research filter; legal permissions require reading license text.
llama3,custom,118,Label-based research filter; legal permissions require reading license text.
llama2,custom,25,Label-based research filter; legal permissions require reading license text.
creativeml-openrail-m,custom,15,Label-based research filter; legal permissions require reading license text.
llama3.3,custom,10,Label-based research filter; legal permissions require reading license text.
gpl-3.0,custom,9,Label-based research filter; legal permissions require reading license text.
cc-by-nc-sa-4.0,research-only,9,Label-based research filter; legal permissions require reading license text.
bigscience-bloom-rail-1.0,custom,5,Label-based research filter; legal permissions require reading license text.
unknown,unclear,4,Label-based research filter; legal permissions require reading license text.
cc-by-4.0,custom,3,Label-based research filter; legal permissions require reading license text.
cc-by-sa-4.0,custom,3,Label-based research filter; legal permissions require reading license text.
bigcode-openrail-m,custom,3,Label-based research filter; legal permissions require reading license text.
wtfpl,custom,2,Label-based research filter; legal permissions require reading license text.
cc-by-nc-nd-4.0,research-only,2,Label-based research filter; legal permissions require reading license text.
openrail,custom,1,Label-based research filter; legal permissions require reading license text.
apple-ascl,custom,1,Label-based research filter; legal permissions require reading license text.
afl-3.0,custom,1,Label-based research filter; legal permissions require reading license text.
bsd-3-clause-clear,permissive,1,Label-based research filter; legal permissions require reading license text.
osl-3.0,custom,1,Label-based research filter; legal permissions require reading license text.
bigscience-openrail-m,custom,1,Label-based research filter; legal permissions require reading license text.
