dataset,family,n_mixtures,v2_minus_candidate_rmse,ci_low,ci_high,probability_positive,bootstrap_draws,bootstrap_unit,candidate_minus_v2_rank,rank_ci_low,rank_ci_high
train_nested_oof,alr_elasticnet,512,0.015632405428508855,0.012254519482570607,0.01927009999786662,1.0,2000,mixture row,0.014789220482713694,0.004494664554028263,0.025960046640039758
train_nested_oof,ilr_ridge,512,-0.017019528896069946,-0.026169964945161633,-0.007878286044826172,0.0,2000,mixture row,-0.013611815640699909,-0.03956128348273532,0.009273003869274647
train_nested_oof,alr_pls,512,-0.20809750003063254,-0.22200015637637063,-0.19399306491655066,0.0,2000,mixture row,-0.23516875808242066,-0.29570895501352557,-0.16703417760152778
train_nested_oof,clr_spline,512,0.08179089467704359,0.06516384059722495,0.09691694713446669,1.0,2000,mixture row,0.2877184399354551,0.24098340687570488,0.34325286915867925
test_1m,alr_elasticnet,256,0.015833675383262857,0.010465459987616993,0.021037450201322524,1.0,2000,mixture row,0.015278810940718701,-0.0041794237866604154,0.03520913720882831
test_1m,ilr_ridge,256,-0.0120250648740719,-0.02044811107699912,-0.003613749960852638,0.001,2000,mixture row,-0.01003519111924922,-0.03002013686268417,0.010305638592757072
test_1m,alr_pls,256,-0.21050631979899792,-0.2291802659348075,-0.19112398213163706,0.0,2000,mixture row,-0.23066133554589147,-0.32448458169597044,-0.1374517161169961
test_1m,clr_spline,256,0.062006681322628654,0.04442045090823688,0.0789651550003834,1.0,2000,mixture row,0.2135929274433509,0.15244608921921635,0.2834361608568934
test_60m,alr_elasticnet,256,0.0034794752669464746,-0.0017691735873579361,0.008715610005376939,0.904,2000,mixture row,0.006830796520942983,-0.01554742280785063,0.027809658484544614
test_60m,ilr_ridge,256,0.001333010247862365,-0.006113677910799281,0.009074993223917199,0.631,2000,mixture row,-0.003058480201419078,-0.02306038105517472,0.01576861864512964
test_60m,alr_pls,256,-0.03232252440948069,-0.055995921970933706,-0.007688433189583052,0.004,2000,mixture row,-0.3116402494850079,-0.4162522241204128,-0.2112788318398232
test_60m,clr_spline,256,0.03449727560684024,0.007917181277713691,0.06073008692771862,0.994,2000,mixture row,0.21091926070038902,0.14298478873064074,0.297644317484471
test_1B,alr_elasticnet,64,0.013405724621179171,0.007823026876247719,0.01879540603832353,1.0,2000,mixture row,0.09107142857142858,0.04087127218461704,0.15865744369257245
test_1B,ilr_ridge,64,0.04534914078315744,0.034412252570931244,0.05680966778377438,1.0,2000,mixture row,-0.06758241758241745,-0.15188844747455282,0.016360957045776052
test_1B,alr_pls,64,-0.45411928304887317,-0.48164701447695724,-0.4260470610830983,0.0,2000,mixture row,-0.03786630036630034,-0.19838495688680485,0.14236134268336667
test_1B,clr_spline,64,-0.03359484492937881,-0.060118604481648685,-0.006290679268124555,0.007,2000,mixture row,0.09633699633699633,-0.07269920963756539,0.25286639807576744
est_10b,alr_elasticnet,63,-0.004919751622943114,-0.012920437903829463,0.003195201751566413,0.122,2000,mixture row,0.009696620583717341,-0.023632609156260746,0.04195075075075072
est_10b,ilr_ridge,63,-0.0007437717475475836,-0.010949838283997749,0.009880914573180896,0.446,2000,mixture row,-0.003936251920122813,-0.03894722247398501,0.03018858858858852
est_10b,alr_pls,63,-0.016856672899647318,-0.06351746462144649,0.03148462086439544,0.2395,2000,mixture row,0.13455261136712754,-0.038208657634284646,0.31187800325371917
est_10b,clr_spline,63,-0.01829086069502539,-0.05783313166293434,0.02285113361875681,0.199,2000,mixture row,-0.12264784946236562,-0.27776740139485045,0.003998717047280549
est_70b,alr_elasticnet,63,-0.004882627465820022,-0.013178904365218324,0.003102840153140546,0.1155,2000,mixture row,0.01041666666666663,-0.021761714065834957,0.039075939555412394
est_70b,ilr_ridge,63,-0.0006004647176629518,-0.011383498757976663,0.010135559165584356,0.4395,2000,mixture row,-0.004320276497695952,-0.04110063771160503,0.028939334071335615
est_70b,alr_pls,63,-0.015451213517974516,-0.06292500246684828,0.030768176046386778,0.2445,2000,mixture row,0.14664938556067597,-0.011666284589807977,0.3153354837148605
est_70b,clr_spline,63,-0.017831078833021152,-0.05741994189986244,0.02104069979943352,0.1905,2000,mixture row,-0.1197196620583717,-0.24252616352183387,-0.012531183355441223
