N_params_B,D_tokens_B,Q_score,val_loss_B6,val_loss_B8,B8_minus_B6
0.7,10,0.1,3.1919,0.615,-2.5769
0.7,10,0.2,3.1552,0.8685,-2.2867
0.7,10,0.3,3.0155,1.081,-1.9345
0.7,10,0.4,3.0148,1.3192,-1.6956
0.7,10,0.6,2.9615,1.7963,-1.1652
0.7,10,0.8,2.8692,2.222,-0.6472
0.7,10,0.9,2.7928,2.5041,-0.2887
0.7,10,1,2.8304,2.6504,-0.18
0.7,50,0.1,2.8444,0.5587,-2.2857
0.7,50,0.2,2.8069,0.7563,-2.0506
0.7,50,0.3,2.7973,1.0221,-1.7752
0.7,50,0.4,2.7324,1.1864,-1.546
0.7,50,0.6,2.6134,1.6494,-0.964
0.7,50,0.8,2.6409,2.0562,-0.5847
0.7,50,0.9,2.5496,2.294,-0.2556
0.7,50,1,2.5581,2.492,-0.0661
0.7,150,0.1,2.7893,0.5295,-2.2598
0.7,150,0.2,2.6375,0.7452,-1.8923
0.7,150,0.3,2.6856,0.9382,-1.7474
0.7,150,0.4,2.5991,1.1468,-1.4523
0.7,150,0.6,2.5608,1.5755,-0.9853
0.7,150,0.8,2.5043,2.0079,-0.4964
0.7,150,0.9,2.4035,2.2463,-0.1572
0.7,150,1,2.3542,2.3563,0.0021
0.7,300,0.1,2.6722,0.5247,-2.1475
0.7,300,0.2,2.6214,0.7291,-1.8923
0.7,300,0.3,2.5759,0.9233,-1.6526
0.7,300,0.4,2.5792,1.1189,-1.4603
0.7,300,0.6,2.4842,1.5399,-0.9443
0.7,300,0.8,2.4416,1.9103,-0.5313
0.7,300,0.9,2.4128,2.1926,-0.2202
0.7,300,1,2.3149,2.3162,0.0013
1,10,0.1,3.0483,0.5575,-2.4908
1,10,0.2,2.968,0.7909,-2.1771
1,10,0.3,2.8948,1.009,-1.8858
1,10,0.4,2.8223,1.2421,-1.5802
1,10,0.6,2.8442,1.7308,-1.1134
1,10,0.8,2.7546,2.1998,-0.5548
1,10,0.9,2.7505,2.4605,-0.29
1,10,1,2.6827,2.6513,-0.0314
1,50,0.1,2.8264,0.5001,-2.3263
1,50,0.2,2.8076,0.7393,-2.0683
1,50,0.3,2.6823,0.948,-1.7343
1,50,0.4,2.6528,1.1772,-1.4756
1,50,0.6,2.6707,1.5703,-1.1004
1,50,0.8,2.4922,2.0222,-0.47
1,50,0.9,2.5805,2.24,-0.3405
1,50,1,2.5615,2.4688,-0.0927
1,150,0.1,2.6482,0.5,-2.1482
1,150,0.2,2.6343,0.692,-1.9423
1,150,0.3,2.6133,0.898,-1.7153
1,150,0.4,2.5016,1.1376,-1.364
1,150,0.6,2.5859,1.5017,-1.0842
1,150,0.8,2.3211,1.9303,-0.3908
1,150,0.9,2.3833,2.1019,-0.2814
1,150,1,2.334,2.2789,-0.0551
1,300,0.1,2.6943,0.5,-2.1943
1,300,0.2,2.5728,0.6746,-1.8982
1,300,0.3,2.4688,0.8578,-1.611
1,300,0.4,2.5249,1.1116,-1.4133
1,300,0.6,2.4469,1.5153,-0.9316
1,300,0.8,2.4239,2.0053,-0.4186
1,300,0.9,2.2509,2.0139,-0.237
1,300,1,2.342,2.3325,-0.0095
2.8,10,0.1,2.9592,0.5,-2.4592
2.8,10,0.2,2.8431,0.6187,-2.2244
2.8,10,0.3,2.8867,0.8552,-2.0315
2.8,10,0.4,2.771,1.1197,-1.6513
2.8,10,0.6,2.7064,1.6092,-1.0972
2.8,10,0.8,2.651,2.1201,-0.5309
2.8,10,0.9,2.6397,2.3574,-0.2823
2.8,10,1,2.484,2.5409,0.0569
2.8,50,0.1,2.5785,0.5,-2.0785
2.8,50,0.2,2.4874,0.5815,-1.9059
2.8,50,0.3,2.5971,0.775,-1.8221
2.8,50,0.4,2.5963,1.0089,-1.5874
2.8,50,0.6,2.5446,1.457,-1.0876
2.8,50,0.8,2.3227,1.9293,-0.3934
2.8,50,0.9,2.3871,2.1407,-0.2464
2.8,50,1,2.2984,2.3101,0.0117
2.8,150,0.1,2.4446,0.5,-1.9446
2.8,150,0.2,2.4506,0.543,-1.9076
2.8,150,0.3,2.3889,0.7457,-1.6432
2.8,150,0.4,2.5101,0.9557,-1.5544
2.8,150,0.6,2.2938,1.3479,-0.9459
2.8,150,0.8,2.2577,1.8407,-0.417
2.8,150,0.9,2.2652,2.0695,-0.1957
2.8,150,1,2.2464,2.2385,-0.0079
2.8,300,0.1,2.446,0.5,-1.946
2.8,300,0.2,2.3643,0.5456,-1.8187
2.8,300,0.3,2.3988,0.7388,-1.66
2.8,300,0.4,2.3719,0.9673,-1.4046
2.8,300,0.6,2.3342,1.3023,-1.0319
2.8,300,0.8,2.2389,1.7798,-0.4591
2.8,300,0.9,2.2601,1.9735,-0.2866
2.8,300,1,2.1271,2.1322,0.0051
4,10,0.1,2.855,0.5,-2.355
4,10,0.2,2.872,0.5947,-2.2773
4,10,0.3,2.8016,0.8162,-1.9854
4,10,0.4,2.6993,1.0969,-1.6024
4,10,0.6,2.631,1.5567,-1.0743
4,10,0.8,2.6463,2.1045,-0.5418
4,10,0.9,2.6487,2.3491,-0.2996
4,10,1,2.4852,2.4904,0.0052
4,50,0.1,2.5657,0.5,-2.0657
4,50,0.2,2.6024,0.5298,-2.0726
4,50,0.3,2.5078,0.7483,-1.7595
4,50,0.4,2.5793,0.9837,-1.5956
4,50,0.6,2.4706,1.4472,-1.0234
4,50,0.8,2.4391,1.9213,-0.5178
4,50,0.9,2.3223,2.0499,-0.2724
4,50,1,2.4105,2.4043,-0.0062
4,150,0.1,2.494,0.5,-1.994
4,150,0.2,2.4505,0.519,-1.9315
4,150,0.3,2.4411,0.706,-1.7351
4,150,0.4,2.3929,0.9268,-1.4661
4,150,0.6,2.3873,1.3551,-1.0322
4,150,0.8,2.2679,1.7552,-0.5127
4,150,0.9,2.2339,2.0344,-0.1995
4,150,1,2.2102,2.1522,-0.058
4,300,0.1,2.4125,0.5,-1.9125
4,300,0.2,2.3793,0.5,-1.8793
4,300,0.3,2.2697,0.7051,-1.5646
4,300,0.4,2.3711,0.897,-1.4741
4,300,0.6,2.2294,1.3625,-0.8669
4,300,0.8,2.1962,1.7422,-0.454
4,300,0.9,2.1753,1.9926,-0.1827
4,300,1,2.1975,2.2315,0.034
6.9,10,0.1,2.7585,0.5,-2.2585
6.9,10,0.2,2.6605,0.5272,-2.1333
6.9,10,0.3,2.72,0.7496,-1.9704
6.9,10,0.4,2.6823,1.0046,-1.6777
6.9,10,0.6,2.5269,1.4702,-1.0567
6.9,10,0.8,2.5341,2.0045,-0.5296
6.9,10,0.9,2.5395,2.2827,-0.2568
6.9,10,1,2.4679,2.514,0.0461
6.9,50,0.1,2.5548,0.5,-2.0548
6.9,50,0.2,2.4799,0.5,-1.9799
6.9,50,0.3,2.4833,0.6906,-1.7927
6.9,50,0.4,2.4979,0.9193,-1.5786
6.9,50,0.6,2.4093,1.3376,-1.0717
6.9,50,0.8,2.2784,1.8718,-0.4066
6.9,50,0.9,2.347,2.0446,-0.3024
6.9,50,1,2.2632,2.2898,0.0266
6.9,150,0.1,2.3272,0.5,-1.8272
6.9,150,0.2,2.3658,0.5,-1.8658
6.9,150,0.3,2.3708,0.647,-1.7238
6.9,150,0.4,2.3438,0.8733,-1.4705
6.9,150,0.6,2.2064,1.3204,-0.886
6.9,150,0.8,2.2296,1.7305,-0.4991
6.9,150,0.9,2.2482,2.0057,-0.2425
6.9,150,1,2.1506,2.2001,0.0495
6.9,300,0.1,2.3408,0.5,-1.8408
6.9,300,0.2,2.3195,0.5,-1.8195
6.9,300,0.3,2.3002,0.6383,-1.6619
6.9,300,0.4,2.3167,0.8495,-1.4672
6.9,300,0.6,2.2275,1.2789,-0.9486
6.9,300,0.8,2.1189,1.6963,-0.4226
6.9,300,0.9,2.1052,1.9181,-0.1871
6.9,300,1,2.1363,2.1543,0.018
