model,axis,fraction,max_train_N_B,n,rmse,mae,bias,spearman
classic,small_N_to_large_N,0.5,1.040867,588,0.00015132315798,0.000117169621088,-8.26283288026e-05,0.99999877519
classic,early_D_to_late_D,0.5,,584,0.000119486181059,9.18146893245e-05,-3.37580618896e-05,0.999999638511
classic,small_N_to_large_N,0.75,2.782831,294,0.000119714173099,7.99237766626e-05,-1.37243590589e-05,0.999996576403
classic,early_D_to_late_D,0.75,,296,0.000112377713071,8.74067472439e-05,-2.21429861324e-05,1
interaction,small_N_to_large_N,0.5,1.040867,588,0.000155272009862,0.000115753091683,-8.26383527725e-05,0.999998716163
interaction,early_D_to_late_D,0.5,,584,0.000119670229053,9.17219736648e-05,-3.37578216299e-05,0.999999638511
interaction,small_N_to_large_N,0.75,2.782831,294,0.000120161722058,7.99794476033e-05,-1.37251685653e-05,0.999996576403
interaction,early_D_to_late_D,0.75,,296,0.000112423571966,8.73565126194e-05,-2.21428622424e-05,1
broken_N,small_N_to_large_N,0.5,1.040867,588,0.000669322447714,0.000518083985913,0.000493143233627,0.999989507951
broken_N,early_D_to_late_D,0.5,,584,0.0001207730681,9.27732016142e-05,-3.37580630393e-05,0.999999638511
broken_N,small_N_to_large_N,0.75,2.782831,294,0.000122751018628,8.33736900164e-05,-2.00640244014e-05,0.999996576403
broken_N,early_D_to_late_D,0.75,,296,0.000113274909526,8.77683176663e-05,-2.2142986602e-05,1
