model,row_id,held_N_B,observed,predicted
classic,0,0.070542,4.7388,4.738647259
classic,1,0.070542,4.3541,4.35479647031
classic,2,0.070542,4.0384,4.03785971255
classic,3,0.070542,3.7776,3.77757846614
classic,4,0.070542,3.5698,3.56994976314
classic,5,0.070542,3.3922,3.39217486058
classic,6,0.070542,3.3024,3.30309347725
classic,7,0.070542,3.2452,3.24572410461
classic,8,0.070542,3.2041,3.20432134448
classic,9,0.070542,3.172,3.17235963821
classic,10,0.070542,3.1466,3.14657959011
classic,11,0.070542,3.1248,3.12512915914
classic,12,0.070542,3.1064,3.10686240675
classic,13,0.070542,3.0913,3.09101753101
classic,14,0.070542,3.077,3.0770880103
classic,15,0.070542,3.0646,3.06469161755
classic,16,0.070542,3.0531,3.05355146689
classic,17,0.070542,3.0432,3.04345735334
classic,18,0.070542,3.0342,3.03424622629
classic,19,0.070542,3.0254,3.0257892669
classic,20,0.070542,3.018,3.01797949099
classic,21,0.070542,3.0105,3.01074015374
classic,22,0.070542,3.0039,3.00399805094
classic,23,0.070542,2.9975,2.99769543503
classic,24,0.070542,2.9921,2.99178374041
classic,25,0.070542,2.9861,2.98622176623
classic,26,0.070542,2.9807,2.9809742833
classic,27,0.070542,2.9761,2.97600864891
classic,28,0.070542,2.971,2.97130328798
classic,29,0.070542,2.9668,2.96683283584
classic,30,0.070542,2.9621,2.96257718448
classic,31,0.070542,2.9582,2.95851861264
classic,32,0.070542,2.9546,2.9546414291
classic,33,0.070542,2.951,2.95092994818
classic,34,0.070542,2.9473,2.94737524299
classic,35,0.070542,2.9439,2.94396433774
classic,36,0.070542,2.9406,2.94068718697
classic,37,0.070542,2.9372,2.93753472483
classic,38,0.070542,2.9343,2.93449874398
classic,39,0.070542,2.9314,2.93157179251
classic,40,0.070542,2.9289,2.92874576201
classic,41,0.070542,2.926,2.92601715069
classic,42,0.070542,2.923,2.92337892022
classic,43,0.070542,2.9208,2.92082587212
classic,44,0.070542,2.9182,2.91835322748
classic,45,0.070542,2.9158,2.91595658386
classic,46,0.070542,2.9137,2.91363078544
classic,47,0.070542,2.9115,2.91137428963
classic,48,0.070542,2.9093,2.90918248893
classic,49,0.070542,2.9068,2.90705215156
classic,50,0.070542,2.9049,2.90498027298
classic,51,0.070542,2.903,2.90296405553
classic,52,0.070542,2.9011,2.90100089022
classic,53,0.070542,2.8989,2.89908744008
classic,54,0.070542,2.8971,2.89722324954
classic,55,0.070542,2.8951,2.89540526069
classic,56,0.070542,2.8933,2.89363147252
classic,57,0.070542,2.892,2.89190000635
classic,58,0.070542,2.8904,2.89020909631
classic,59,0.070542,2.8885,2.88855630183
classic,60,0.070542,2.8871,2.88694163234
classic,61,0.070542,2.8854,2.88536281446
classic,62,0.070542,2.8836,2.88381845433
classic,63,0.070542,2.8823,2.88230723477
classic,64,0.070542,2.8811,2.88082790981
classic,65,0.070542,2.8793,2.8793792998
classic,66,0.070542,2.8782,2.87795961704
classic,67,0.070542,2.876,2.87656915423
classic,68,0.070542,2.8753,2.87520622125
classic,69,0.070542,2.8738,2.87386986193
classic,70,0.070542,2.8724,2.87255916718
classic,71,0.070542,2.8712,2.87127327198
classic,72,0.070542,2.8696,2.87001135262
classic,73,0.070542,2.8687,2.86877203892
classic,74,0.070542,2.8676,2.86755576355
classic,75,0.070542,2.8666,2.86636121616
classic,76,0.070542,2.865,2.86518771483
classic,77,0.070542,2.8638,2.864034608
classic,78,0.070542,2.8628,2.86290127275
classic,79,0.070542,2.8619,2.86178658633
classic,80,0.070542,2.8607,2.86069104073
classic,81,0.070542,2.8595,2.85961355381
classic,82,0.070542,2.8586,2.85855360206
classic,83,0.070542,2.8575,2.85751068349
classic,84,0.070542,2.8566,2.85648431659
classic,85,0.070542,2.8553,2.85547403913
classic,86,0.070542,2.8544,2.85447893663
classic,87,0.070542,2.8534,2.85349953108
classic,88,0.070542,2.8522,2.85253493456
classic,89,0.070542,2.8516,2.85158475285
classic,90,0.070542,2.8506,2.85064860664
classic,91,0.070542,2.8497,2.84972613085
classic,92,0.070542,2.8487,2.84881654344
classic,93,0.070542,2.8476,2.84792037265
classic,94,0.070542,2.8469,2.84703685533
classic,95,0.070542,2.8461,2.84616567668
classic,96,0.070542,2.8451,2.84530653307
classic,97,0.070542,2.8444,2.84445913149
classic,98,0.070542,2.8436,2.84362318909
classic,99,0.070542,2.8431,2.84279804205
classic,100,0.070542,2.842,2.84198421298
classic,101,0.070542,2.8412,2.84118105093
classic,102,0.070542,2.8403,2.84038830937
classic,103,0.070542,2.8392,2.83960574986
classic,104,0.070542,2.8388,2.83883314177
classic,105,0.070542,2.838,2.83806990038
classic,106,0.070542,2.8377,2.83731653712
classic,107,0.070542,2.8365,2.83657247666
classic,108,0.070542,2.8358,2.83583751633
classic,109,0.070542,2.8351,2.83511145973
classic,110,0.070542,2.8341,2.83439411654
classic,111,0.070542,2.8338,2.83368530219
classic,112,0.070542,2.8331,2.83298450567
classic,113,0.070542,2.8324,2.83229222133
classic,114,0.070542,2.8314,2.8316079447
classic,115,0.070542,2.8311,2.83093151226
classic,116,0.070542,2.83,2.83026276526
classic,117,0.070542,2.8297,2.82960154951
classic,118,0.070542,2.8293,2.82894771524
classic,119,0.070542,2.8281,2.82830081031
