module,model,dataset,split,metric,value,selected,n_parameters,evidence_level
N-D,classic,B1,training,rmse,0.000146496089926,True,5,same_source
N-D,classic,B1,leave_N_group,rmse,0.000151179778804,True,5,same_source
N-D,classic,B1,training,bic,-20729.3104295,True,5,same_source
N-D,classic,B2,external_raw,rmse,1.24308486658,True,5,development_external_raw
N-D,classic,B4,external_raw,rmse,0.292666677546,True,5,development_external_raw
N-D,classic,B5,external_raw,rmse,0.197595074037,True,5,development_external_raw
N-D,interaction,B1,training,rmse,0.000146472411775,False,6,same_source
N-D,interaction,B1,leave_N_group,rmse,0.000152316110795,False,6,same_source
N-D,interaction,B1,training,bic,-20722.6207397,False,6,same_source
N-D,interaction,B2,external_raw,rmse,1.24308466699,False,6,development_external_raw
N-D,interaction,B4,external_raw,rmse,0.292665682867,False,6,development_external_raw
N-D,interaction,B5,external_raw,rmse,0.197595893033,False,6,development_external_raw
N-D,broken_N,B1,training,rmse,0.000146142528639,False,7,same_source
N-D,broken_N,B1,leave_N_group,rmse,0.000155123375932,False,7,same_source
N-D,broken_N,B1,training,bic,-20720.8539814,False,7,same_source
N-D,broken_N,B2,external_raw,rmse,1.24308257485,False,7,development_external_raw
N-D,broken_N,B4,external_raw,rmse,0.292666033993,False,7,development_external_raw
N-D,broken_N,B5,external_raw,rmse,0.19757068138,False,7,development_external_raw
Q,additive,B6,training,rmse,0.0760683012404,False,2,semi_synthetic
Q,additive,B6,leave_N_group,rmse,0.0814396288178,False,2,semi_synthetic
Q,additive,B6,training,bic,-1843.036814,False,2,semi_synthetic
Q,additive,B7,new_points,rmse,0.059515283678,False,2,semi_synthetic
Q,additive,B8,mechanism_only,rmse,1.39257111357,False,2,semi_synthetic_diagnostic
Q,effective_tokens,B6,training,rmse,0.116973100013,False,1,semi_synthetic
Q,effective_tokens,B6,leave_N_group,rmse,0.119565040618,False,1,semi_synthetic
Q,effective_tokens,B6,training,bic,-1539.0980212,False,1,semi_synthetic
Q,effective_tokens,B7,new_points,rmse,0.105569533426,False,1,semi_synthetic
Q,effective_tokens,B8,mechanism_only,rmse,1.40206769475,False,1,semi_synthetic_diagnostic
Q,Q_by_N,B6,training,rmse,0.0518040482277,True,3,semi_synthetic
Q,Q_by_N,B6,leave_N_group,rmse,0.0523464434166,True,3,semi_synthetic
Q,Q_by_N,B6,training,bic,-2113.7483147,True,3,semi_synthetic
Q,Q_by_N,B7,new_points,rmse,0.042127055973,True,3,semi_synthetic
Q,Q_by_N,B8,mechanism_only,rmse,1.34175547803,True,3,semi_synthetic_diagnostic
Q,Q_by_D,B6,training,rmse,0.0750846453879,False,3,semi_synthetic
Q,Q_by_D,B6,leave_N_group,rmse,0.0805964841924,False,3,semi_synthetic
Q,Q_by_D,B6,training,bic,-1846.52190951,False,3,semi_synthetic
Q,Q_by_D,B7,new_points,rmse,0.0589004094943,False,3,semi_synthetic
Q,Q_by_D,B8,mechanism_only,rmse,1.39350992156,False,3,semi_synthetic_diagnostic
Q,Q_by_ND,B6,training,rmse,0.0503615015997,False,4,semi_synthetic
Q,Q_by_ND,B6,leave_N_group,rmse,0.0510606943998,False,4,semi_synthetic
Q,Q_by_ND,B6,training,bic,-2128.19592599,False,4,semi_synthetic
Q,Q_by_ND,B7,new_points,rmse,0.0411674971554,False,4,semi_synthetic
Q,Q_by_ND,B8,mechanism_only,rmse,1.342263421,False,4,semi_synthetic_diagnostic
source_application,raw,B2,20pct_labeled_early_to_80pct_holdout,rmse,1.03310305488,False,0,labeled_target_source_development
source_application,source_intercept_20pct,B2,20pct_labeled_early_to_80pct_holdout,rmse,0.7889194737,False,1,labeled_target_source_development
source_application,source_affine_20pct,B2,20pct_labeled_early_to_80pct_holdout,rmse,0.695515260931,False,2,labeled_target_source_development
source_application,source_logD_20pct,B2,20pct_labeled_early_to_80pct_holdout,rmse,0.367362480373,False,2,labeled_target_source_development
source_application,raw,B4,20pct_labeled_early_to_80pct_holdout,rmse,0.248204284199,False,0,labeled_target_source_development
source_application,source_intercept_20pct,B4,20pct_labeled_early_to_80pct_holdout,rmse,0.221160821722,False,1,labeled_target_source_development
source_application,source_affine_20pct,B4,20pct_labeled_early_to_80pct_holdout,rmse,0.091646138992,False,2,labeled_target_source_development
source_application,source_logD_20pct,B4,20pct_labeled_early_to_80pct_holdout,rmse,0.161231162701,False,2,labeled_target_source_development
source_application,raw,B5,20pct_labeled_early_to_80pct_holdout,rmse,0.188933642761,False,0,labeled_target_source_development
source_application,source_intercept_20pct,B5,20pct_labeled_early_to_80pct_holdout,rmse,0.218045738355,False,1,labeled_target_source_development
source_application,source_affine_20pct,B5,20pct_labeled_early_to_80pct_holdout,rmse,0.161881892595,False,2,labeled_target_source_development
source_application,source_logD_20pct,B5,20pct_labeled_early_to_80pct_holdout,rmse,0.189887008428,False,2,labeled_target_source_development
source_transfer,zero_shot_classic,B5,B5_fully_held_out,rmse,0.197595074037,False,0,zero_shot_external_source
source_transfer,B2_B4_mean_intercept_to_heldout_B5,B5,B5_fully_held_out,rmse,1.06961845939,False,1,zero_shot_external_source
