model,row_id,held_N_B,observed,predicted
additive,0,0.07,3.7216,3.52192778587
additive,1,0.07,3.6004,3.48809614311
additive,2,0.07,3.6507,3.45423039705
additive,3,0.07,3.5704,3.42032560205
additive,4,0.07,3.5458,3.35236966804
additive,5,0.07,3.353,3.28412722549
additive,6,0.07,3.2211,3.24981534226
additive,7,0.07,3.1125,3.21511784965
additive,8,0.07,3.5105,3.28580059694
additive,9,0.07,3.4001,3.25196895418
additive,10,0.07,3.3596,3.21810320812
additive,11,0.07,3.2727,3.18419841312
additive,12,0.07,3.0798,3.11624247911
additive,13,0.07,3.1431,3.04800003656
additive,14,0.07,3.0628,3.01368815333
additive,15,0.07,2.9922,2.97899066072
additive,16,0.07,3.384,3.17595589312
additive,17,0.07,3.2214,3.14212425037
additive,18,0.07,3.3529,3.1082585043
additive,19,0.07,3.1687,3.0743537093
additive,20,0.07,3.1017,3.00639777529
additive,21,0.07,3.0179,2.93815533275
additive,22,0.07,2.7658,2.90384344951
additive,23,0.07,2.9653,2.86914595691
additive,24,0.07,3.2863,3.12214902357
additive,25,0.07,3.1355,3.08831738082
additive,26,0.07,3.1588,3.05445163475
additive,27,0.07,3.2809,3.02054683975
additive,28,0.07,3.0098,2.95259090574
additive,29,0.07,2.8391,2.88434846319
additive,30,0.07,2.858,2.85003657996
additive,31,0.07,2.837,2.81533908735
additive,32,0.07,3.1971,3.07783042549
additive,33,0.07,3.1469,3.04399878274
additive,34,0.07,3.1946,3.01013303667
additive,35,0.07,3.1242,2.97622824167
additive,36,0.07,2.9753,2.90827230766
additive,37,0.07,2.8695,2.84002986511
additive,38,0.07,2.8303,2.80571798188
additive,39,0.07,2.747,2.77102048927
additive,40,0.16,3.4765,3.31345438583
additive,41,0.16,3.4324,3.27934055949
additive,42,0.16,3.46,3.24514681504
additive,43,0.16,3.2484,3.21086143165
additive,44,0.16,3.269,3.14194640345
additive,45,0.16,3.2072,3.07235452492
additive,46,0.16,3.0024,3.03710535786
additive,47,0.16,3.0121,3.00092580989
additive,48,0.16,3.2175,3.0773271969
additive,49,0.16,3.1458,3.04321337056
additive,50,0.16,3.0796,3.00901962611
additive,51,0.16,3.002,2.97473424272
additive,52,0.16,2.8375,2.90581921452
additive,53,0.16,2.894,2.83622733598
additive,54,0.16,2.6326,2.80097816893
additive,55,0.16,2.793,2.76479862096
additive,56,0.16,3.1249,2.96748249308
additive,57,0.16,2.9746,2.93336866675
additive,58,0.16,3.0125,2.89917492229
additive,59,0.16,2.9738,2.8648895389
additive,60,0.16,2.8802,2.7959745107
additive,61,0.16,2.725,2.72638263217
additive,62,0.16,2.7204,2.69113346512
additive,63,0.16,2.6657,2.65495391714
additive,64,0.16,2.9719,2.91367562353
additive,65,0.16,2.9407,2.87956179719
additive,66,0.16,2.956,2.84536805274
additive,67,0.16,2.8482,2.81108266935
additive,68,0.16,2.8081,2.74216764115
additive,69,0.16,2.6978,2.67257576262
additive,70,0.16,2.6348,2.63732659557
additive,71,0.16,2.6071,2.60114704759
additive,72,0.16,2.98,2.86935702545
additive,73,0.16,2.9212,2.83524319911
additive,74,0.16,2.8818,2.80104945466
additive,75,0.16,2.8627,2.76676407127
additive,76,0.16,2.7288,2.69784904307
additive,77,0.16,2.658,2.62825716454
additive,78,0.16,2.5923,2.59300799749
additive,79,0.16,2.5781,2.55682844951
additive,80,0.41,3.228,3.13856491666
additive,81,0.41,3.2291,3.10363333964
additive,82,0.41,3.2054,3.0686439483
additive,83,0.41,3.0181,3.03358831247
additive,84,0.41,3.0836,2.96322848662
additive,85,0.41,2.9795,2.89238104626
additive,86,0.41,2.8227,2.85663185598
additive,87,0.41,2.9558,2.82021965303
additive,88,0.41,2.976,2.90243772773
additive,89,0.41,2.9489,2.86750615071
additive,90,0.41,2.9676,2.83251675937
additive,91,0.41,2.8049,2.79746112354
additive,92,0.41,2.6958,2.72710129769
additive,93,0.41,2.6518,2.65625385733
additive,94,0.41,2.6355,2.62050466705
additive,95,0.41,2.6047,2.5840924641
additive,96,0.41,2.8727,2.79259302391
additive,97,0.41,2.8815,2.75766144689
additive,98,0.41,2.7186,2.72267205555
additive,99,0.41,2.6566,2.68761641972
additive,100,0.41,2.6516,2.61725659388
additive,101,0.41,2.5539,2.54640915351
additive,102,0.41,2.5112,2.51065996324
additive,103,0.41,2.4068,2.47424776029
additive,104,0.41,2.8085,2.73878615436
additive,105,0.41,2.7682,2.70385457734
additive,106,0.41,2.6832,2.668865186
additive,107,0.41,2.7891,2.63380955017
additive,108,0.41,2.5211,2.56344972432
additive,109,0.41,2.549,2.49260228396
additive,110,0.41,2.432,2.45685309369
additive,111,0.41,2.3791,2.42044089074
additive,112,0.41,2.6695,2.69446755628
additive,113,0.41,2.7354,2.65953597926
additive,114,0.41,2.6187,2.62454658792
additive,115,0.41,2.5858,2.58949095209
additive,116,0.41,2.5121,2.51913112624
additive,117,0.41,2.4741,2.44828368588
additive,118,0.41,2.471,2.41253449561
additive,119,0.41,2.3932,2.37612229266
additive,120,0.7,3.1919,3.06392212683
additive,121,0.7,3.1552,3.02776861847
additive,122,0.7,3.0155,2.99164449993
additive,123,0.7,3.0148,2.95555396747
additive,124,0.7,2.9615,2.88349836141
additive,125,0.7,2.8692,2.81168695777
additive,126,0.7,2.7928,2.77594239199
additive,127,0.7,2.8304,2.74051721866
additive,128,0.7,2.8444,2.8277949379
additive,129,0.7,2.8069,2.79164142954
additive,130,0.7,2.7973,2.755517311
additive,131,0.7,2.7324,2.71942677854
additive,132,0.7,2.6134,2.64737117248
additive,133,0.7,2.6409,2.57555976884
additive,134,0.7,2.5496,2.53981520306
additive,135,0.7,2.5581,2.50439002973
additive,136,0.7,2.7893,2.71795023408
additive,137,0.7,2.6375,2.68179672572
additive,138,0.7,2.6856,2.64567260718
additive,139,0.7,2.5991,2.60958207473
additive,140,0.7,2.5608,2.53752646866
additive,141,0.7,2.5043,2.46571506502
additive,142,0.7,2.4035,2.42997049924
additive,143,0.7,2.3542,2.39454532592
additive,144,0.7,2.6722,2.66414336453
additive,145,0.7,2.6214,2.62798985617
additive,146,0.7,2.5759,2.59186573763
additive,147,0.7,2.5792,2.55577520518
additive,148,0.7,2.4842,2.48371959911
additive,149,0.7,2.4416,2.41190819547
